sample_id,temperatuur_C,druk_bar,debiet_Lh,pH,conductiviteit_mScm,viscositeit_mPas,turbiditeit_NTU,opgeloste_O2_mgL,kwaliteitsscore,is_anomalie,regime,is_gelabeld,model_voorspelling,model_onzekerheid,informativiteit
AL-00000,134.7,19.4,74.0,9.1,5.02,391.7,40.4,3.4,86.4,0,1,0,88.7,7.87,9.67
AL-00001,147.2,9.65,39.5,6.0,1.8,243.7,75.4,14.5,87.5,0,3,0,85.0,6.1,7.62
AL-00002,240.7,19.62,86.8,7.6,9.32,905.0,31.2,10.7,93.0,0,0,0,98.6,11.4,15.5
AL-00003,145.7,10.98,30.0,8.5,9.05,126.5,17.6,13.8,78.2,0,1,0,75.3,6.06,6.45
AL-00004,153.5,3.04,91.7,5.0,3.53,193.1,20.6,14.2,89.0,0,3,0,93.1,6.97,8.92
AL-00005,176.1,15.15,70.7,7.2,3.09,353.4,29.5,11.6,87.1,0,3,0,87.7,5.94,7.38
AL-00006,294.9,7.26,10.9,7.7,1.97,495.9,51.9,1.6,83.3,0,3,0,84.3,12.02,14.02
AL-00007,262.6,12.07,50.4,9.0,1.98,424.1,14.6,11.7,98.6,0,0,0,100.9,8.55,12.58
AL-00008,176.6,6.83,30.9,9.1,8.32,936.5,89.6,8.0,62.7,0,2,0,69.8,5.64,7.02
AL-00009,268.7,12.81,97.8,5.6,7.08,435.6,32.6,5.1,94.3,0,0,0,91.6,9.0,12.47
AL-00010,238.5,6.22,18.9,7.1,4.7,100.7,90.2,6.0,79.8,0,3,0,70.1,7.61,8.35
AL-00011,274.8,17.06,96.3,5.4,5.27,345.9,97.0,4.8,93.7,0,0,0,91.1,11.47,15.75
AL-00012,201.1,8.61,74.9,8.9,9.09,388.6,95.3,3.6,84.2,0,3,0,86.3,4.86,5.75
AL-00013,299.8,14.74,93.7,9.3,6.39,94.3,32.4,5.9,100.0,0,0,0,98.6,10.76,16.15
AL-00014,208.6,6.59,74.7,9.2,6.41,451.7,69.5,9.0,93.3,0,3,0,97.7,5.73,7.82
AL-00015,106.1,2.87,95.4,9.1,1.7,684.2,18.8,4.1,78.2,0,1,0,66.0,8.71,9.27
AL-00016,234.6,10.84,34.4,7.0,0.11,167.6,66.2,1.1,95.8,0,0,0,87.2,6.5,9.2
AL-00017,205.5,1.84,59.6,5.8,4.37,811.4,41.1,11.3,72.9,0,2,0,76.3,9.17,9.56
AL-00018,174.2,4.45,54.9,4.2,7.89,23.7,78.4,8.3,82.4,0,3,0,94.5,5.16,5.92
AL-00019,154.5,3.31,45.0,7.6,7.18,46.8,42.0,9.3,85.8,0,3,0,82.3,7.3,8.88
AL-00020,197.9,6.9,11.0,6.5,9.29,498.0,93.1,9.4,93.9,0,3,0,93.0,5.23,7.21
AL-00021,104.5,4.57,10.5,4.7,3.56,736.6,68.7,1.3,37.8,1,2,0,36.3,15.75,27.49
AL-00022,102.7,12.67,58.3,6.8,2.31,938.0,58.2,3.5,49.4,1,2,0,47.8,12.42,18.76
AL-00023,286.5,11.71,25.7,7.9,1.08,376.7,98.0,11.2,94.6,0,0,0,93.5,11.11,15.47
AL-00024,236.4,4.08,84.1,8.6,3.81,236.8,55.9,14.2,71.5,1,3,0,68.8,15.41,16.48
AL-00025,123.2,9.16,22.0,10.0,5.84,288.9,86.2,12.4,76.5,0,1,0,74.5,6.34,6.53
AL-00026,232.9,11.54,22.3,9.1,3.13,324.4,97.3,6.7,96.1,0,0,0,109.6,6.84,9.73
AL-00027,176.9,6.38,81.1,7.5,0.36,756.9,5.6,6.7,74.2,0,2,0,70.5,6.77,6.87
AL-00028,286.7,5.3,92.3,4.6,1.02,779.6,5.2,6.0,59.4,0,2,0,56.6,11.46,15.02
AL-00029,163.2,9.73,29.9,7.2,9.19,789.5,35.5,13.5,46.4,1,2,0,39.3,8.83,13.87
AL-00030,198.0,16.21,89.6,7.4,6.88,957.0,74.8,7.5,72.2,0,2,0,75.5,7.88,8.32
AL-00031,176.0,19.77,28.5,8.9,9.75,251.1,71.7,14.0,82.6,0,3,0,89.8,6.5,7.49
AL-00032,120.6,15.66,89.6,7.3,8.67,469.9,74.3,0.5,77.9,0,1,0,73.0,8.7,9.2
AL-00033,177.0,17.6,13.1,6.8,4.97,482.0,53.2,8.1,83.1,0,3,0,75.7,6.97,8.09
AL-00034,193.4,4.09,91.8,8.3,1.85,260.4,26.4,9.0,88.4,0,3,0,83.2,5.8,7.34
AL-00035,273.3,6.69,17.9,4.4,1.19,400.6,87.0,14.6,67.8,1,3,0,69.2,14.9,17.06
AL-00036,229.0,19.03,44.8,5.6,4.74,165.7,70.7,3.8,88.7,0,0,0,91.7,8.96,11.42
AL-00037,296.6,11.88,81.7,9.8,9.2,228.3,91.5,4.7,92.2,0,0,0,83.8,10.06,13.53
AL-00038,241.2,16.72,44.0,9.5,3.96,817.7,37.6,1.2,92.9,0,0,0,92.7,8.37,11.36
AL-00039,136.3,7.38,77.3,8.6,6.01,469.4,38.4,14.8,86.1,0,1,0,93.4,8.09,9.89
AL-00040,210.7,15.84,19.3,4.3,9.72,267.7,94.7,13.7,93.4,0,0,0,96.2,6.58,9.01
AL-00041,281.9,7.5,21.6,5.8,7.67,718.4,18.1,2.1,68.7,0,2,0,66.6,10.66,12.0
AL-00042,153.3,11.95,86.7,9.0,9.75,776.4,90.1,7.0,63.7,0,2,0,61.7,5.28,6.48
AL-00043,115.8,5.71,55.4,6.2,6.35,260.3,85.6,5.5,81.1,0,3,0,83.3,8.83,9.9
AL-00044,277.8,10.85,72.4,7.3,8.31,367.8,6.8,13.3,98.8,0,0,0,99.9,9.46,13.96
AL-00045,170.5,13.61,89.5,4.2,8.08,463.0,7.1,13.8,92.8,0,3,0,82.3,5.12,6.93
AL-00046,290.8,2.59,12.8,4.7,9.97,220.8,61.6,13.7,89.3,0,3,0,92.3,11.83,15.21
AL-00047,192.6,18.84,77.5,6.0,1.57,60.9,10.8,4.9,81.7,0,3,0,79.9,9.13,10.35
AL-00048,291.5,8.94,18.9,4.7,6.99,93.5,7.1,14.1,85.7,0,3,0,86.4,9.26,11.25
AL-00049,235.5,6.71,72.0,7.0,4.82,117.8,51.8,12.2,88.4,0,3,0,102.3,9.65,12.24
AL-00050,217.6,11.66,31.1,8.8,4.2,452.1,48.5,11.1,92.5,0,0,0,91.9,5.67,7.65
