timestamp,influent_debiet_m3h,influent_COD_mgL,influent_pH,influent_TSS_mgL,influent_NH4_mgL,beluchting_m3h,slibrecirculatie_ratio,slibverblijftijd_dagen,opgeloste_O2_mgL,effluent_COD_mgL,effluent_pH,effluent_TSS_mgL,effluent_NH4_mgL,lozingsnorm_overtreding
2025-03-01 00:00:00,298.5,489.5,7.3,249.6,21.6,247.9,0.74,15.0,1.98,68.8,7.1,6.7,3.3,0
2025-03-01 01:00:00,392.7,555.2,7.8,218.6,30.4,261.3,0.71,17.3,1.84,83.9,6.9,21.6,5.4,0
2025-03-01 02:00:00,368.1,612.1,7.6,193.8,33.6,235.9,0.65,14.5,1.39,138.2,6.8,17.0,6.8,1
2025-03-01 03:00:00,381.5,698.1,7.5,261.0,28.7,235.6,0.34,19.8,1.4,124.8,7.0,12.6,4.5,0
2025-03-01 04:00:00,406.7,566.4,7.7,270.0,25.7,227.1,0.39,12.7,1.09,160.2,7.0,25.4,3.8,1
2025-03-01 05:00:00,469.6,688.6,7.8,257.5,32.7,254.6,0.67,15.9,1.68,141.1,7.1,20.7,3.6,1
2025-03-01 06:00:00,482.1,778.8,7.2,306.6,44.7,255.5,0.67,24.3,1.59,105.8,6.9,18.6,6.8,0
2025-03-01 07:00:00,607.7,910.4,7.1,335.6,45.6,248.9,0.49,18.4,1.6,121.1,7.1,31.5,8.2,0
2025-03-01 08:00:00,558.1,1056.7,7.6,332.9,41.6,264.9,0.61,20.7,1.87,195.9,7.1,12.7,6.5,1
2025-03-01 09:00:00,681.7,959.2,7.8,351.2,55.7,263.5,0.57,15.3,1.54,191.9,7.1,13.2,7.8,1
2025-03-01 10:00:00,644.7,974.6,7.5,338.0,63.9,246.5,0.64,22.2,1.53,175.8,6.9,7.7,8.7,1
2025-03-01 11:00:00,659.1,984.1,8.0,376.5,57.2,268.3,0.66,15.1,1.61,175.5,7.0,8.7,6.9,1
2025-03-01 12:00:00,679.0,959.6,7.8,363.8,54.4,265.0,0.66,12.9,1.62,220.9,7.3,23.2,9.2,1
2025-03-01 13:00:00,643.4,1031.3,7.5,376.1,51.8,269.2,0.72,16.2,1.65,215.9,7.1,20.3,8.1,1
2025-03-01 14:00:00,648.0,1017.5,8.0,391.5,58.1,258.6,0.38,13.4,1.44,217.0,7.3,37.1,8.8,1
2025-03-01 15:00:00,637.7,1036.8,7.9,386.3,52.0,261.9,0.8,20.2,1.64,188.6,7.2,14.3,6.5,1
2025-03-01 16:00:00,637.7,851.9,7.8,362.0,41.4,248.5,0.61,11.5,1.21,209.1,6.9,26.0,6.9,1
2025-03-01 17:00:00,563.4,792.3,8.0,329.5,41.2,249.6,0.5,20.7,1.91,126.2,7.3,15.0,5.6,1
2025-03-01 18:00:00,509.4,759.3,7.8,286.9,35.8,260.0,0.63,23.6,1.26,133.2,7.3,24.3,5.9,1
2025-03-01 19:00:00,456.1,908.8,7.9,267.7,34.1,245.3,0.52,23.2,1.41,201.7,7.0,24.5,2.8,1
2025-03-01 20:00:00,439.8,620.3,8.0,273.0,25.8,229.1,0.44,21.1,1.72,100.4,7.1,16.8,3.6,0
2025-03-01 21:00:00,422.9,572.9,7.9,237.7,40.6,245.7,0.7,15.2,1.66,113.5,7.1,17.6,6.0,0
2025-03-01 22:00:00,340.3,537.0,7.8,191.3,31.7,249.4,0.35,24.7,1.73,66.1,7.1,17.4,5.2,0
2025-03-01 23:00:00,366.6,479.3,8.0,198.2,34.0,253.3,0.38,21.8,1.53,72.7,7.1,10.6,3.8,0
2025-03-02 00:00:00,403.4,486.6,7.7,188.9,25.8,217.5,0.44,24.2,1.14,105.2,7.2,11.4,1.2,0
2025-03-02 01:00:00,340.6,548.2,8.0,216.5,23.7,237.6,0.32,18.6,1.4,117.1,7.0,6.4,3.4,0
2025-03-02 02:00:00,354.1,622.9,8.2,209.7,37.4,219.2,0.64,22.4,1.01,135.7,7.2,19.9,6.0,1
2025-03-02 03:00:00,377.0,644.6,8.1,256.0,28.9,222.9,0.58,13.6,0.96,154.1,7.1,15.6,4.4,1
2025-03-02 04:00:00,406.8,760.1,7.6,254.7,38.6,250.0,0.73,15.5,1.5,149.1,7.1,12.2,4.3,1
2025-03-02 05:00:00,475.6,731.7,7.9,274.7,40.9,235.8,0.58,19.8,1.08,177.2,7.3,24.9,7.8,1
2025-03-02 06:00:00,502.8,705.3,7.7,313.0,39.3,243.8,0.34,10.8,1.44,157.4,7.0,26.9,6.6,1
2025-03-02 07:00:00,496.9,811.2,7.8,335.0,46.4,261.9,0.35,12.1,1.34,190.9,7.1,12.7,8.5,1
2025-03-02 08:00:00,583.4,980.4,7.9,359.8,43.7,261.8,0.72,24.5,1.84,168.4,7.0,33.8,5.7,1
2025-03-02 09:00:00,644.9,929.3,7.9,362.9,40.3,265.8,0.6,15.5,1.35,219.9,7.2,22.5,4.2,1
2025-03-02 10:00:00,589.8,965.8,7.9,378.7,58.8,243.9,0.57,14.2,1.73,149.7,7.3,22.1,8.3,1
2025-03-02 11:00:00,581.0,1014.0,8.1,375.6,44.8,263.0,0.72,17.7,1.61,178.6,7.3,22.9,6.0,1
2025-03-02 12:00:00,678.4,1051.5,7.8,380.1,48.0,263.1,0.58,11.9,1.41,204.3,7.1,9.3,6.2,1
2025-03-02 13:00:00,609.2,1032.8,7.7,388.9,58.0,272.0,0.45,13.4,1.52,185.6,7.0,25.7,9.4,1
2025-03-02 14:00:00,686.7,1067.0,7.9,407.1,50.7,259.5,0.79,11.7,1.48,249.3,7.1,10.4,6.9,1
2025-03-02 15:00:00,585.6,998.9,8.0,343.6,53.2,260.8,0.73,11.1,1.69,166.7,7.3,11.0,6.3,1
2025-03-02 16:00:00,538.3,991.4,7.8,318.5,47.1,243.0,0.46,15.8,1.46,192.4,7.0,30.1,5.1,1
2025-03-02 17:00:00,504.5,932.8,8.0,296.9,44.0,243.7,0.65,17.3,1.39,162.9,7.2,28.0,5.4,1
2025-03-02 18:00:00,445.8,753.2,8.4,299.3,41.5,264.4,0.33,10.3,1.38,184.0,7.3,7.8,5.7,1
2025-03-02 19:00:00,461.4,781.8,7.5,272.8,42.1,239.7,0.55,12.3,1.42,177.1,7.2,18.7,4.5,1
2025-03-02 20:00:00,420.6,776.0,8.2,229.0,37.1,233.8,0.65,20.6,1.09,159.1,7.0,5.1,6.5,1
2025-03-02 21:00:00,407.3,660.5,8.0,210.3,25.2,239.7,0.49,18.3,1.5,108.2,7.1,21.0,4.1,0
