alarm_id,timestamp,tag,prioriteit,type,status,duur_sec,is_nuisance,in_alarm_flood,operator_actie,dag_type,shift
83,2025-01-01 00:09:59,XA-502,laag,equipment,teruggekeerd,501,1,0,acknowledge,werkdag,nacht
138,2025-01-01 00:17:25,CA-801,laag,communicatie,actief,41,1,0,geen,werkdag,nacht
48,2025-01-01 00:18:55,FAL-302,medium,debiet,acknowledged,44,1,0,acknowledge,werkdag,nacht
19,2025-01-01 00:41:01,PAH-201,hoog,druk,acknowledged,67,0,0,suppress,werkdag,nacht
121,2025-01-01 00:42:28,AAH-601,medium,analyse,acknowledged,67,0,0,suppress,werkdag,nacht
73,2025-01-01 00:43:03,XA-501,medium,equipment,acknowledged,271,0,0,geen,werkdag,nacht
145,2025-01-01 00:46:09,CA-801,laag,communicatie,actief,534,1,0,acknowledge,werkdag,nacht
2,2025-01-01 00:46:21,TAH-101,hoog,temperatuur,teruggekeerd,1283,0,0,actie_genomen,werkdag,nacht
77,2025-01-01 01:02:16,XA-502,laag,equipment,acknowledged,128,1,0,acknowledge,werkdag,nacht
151,2025-01-01 01:10:24,CA-801,laag,communicatie,actief,374,1,0,acknowledge,werkdag,nacht
41,2025-01-01 01:13:34,FAH-301,medium,debiet,actief,1279,0,0,acknowledge,werkdag,nacht
56,2025-01-01 01:20:05,FAL-302,medium,debiet,acknowledged,875,1,0,actie_genomen,werkdag,nacht
159,2025-01-01 01:35:13,CA-801,laag,communicatie,actief,366,1,0,actie_genomen,werkdag,nacht
136,2025-01-01 01:45:55,CA-801,laag,communicatie,teruggekeerd,583,1,0,geen,werkdag,nacht
106,2025-01-01 01:50:08,XA-502,laag,equipment,teruggekeerd,256,1,0,acknowledge,werkdag,nacht
58,2025-01-01 02:01:09,FAL-302,medium,debiet,acknowledged,146,1,0,actie_genomen,werkdag,nacht
18,2025-01-01 02:09:01,PAH-201,hoog,druk,acknowledged,112,0,0,geen,werkdag,nacht
29,2025-01-01 02:13:31,PAH-202,laag,druk,actief,277,1,0,geen,werkdag,nacht
50,2025-01-01 02:37:03,FAL-302,medium,debiet,teruggekeerd,596,1,0,acknowledge,werkdag,nacht
142,2025-01-01 03:01:11,CA-801,laag,communicatie,actief,362,1,0,acknowledge,werkdag,nacht
127,2025-01-01 03:09:36,CA-801,laag,communicatie,acknowledged,155,1,0,acknowledge,werkdag,nacht
140,2025-01-01 03:15:11,CA-801,laag,communicatie,acknowledged,200,1,0,acknowledge,werkdag,nacht
39,2025-01-01 03:16:32,FAL-301,hoog,debiet,actief,749,0,0,actie_genomen,werkdag,nacht
85,2025-01-01 03:34:24,XA-502,laag,equipment,acknowledged,53,1,0,actie_genomen,werkdag,nacht
57,2025-01-01 04:18:24,FAL-302,medium,debiet,teruggekeerd,100,1,0,actie_genomen,werkdag,nacht
156,2025-01-01 04:20:37,CA-801,laag,communicatie,actief,129,1,0,actie_genomen,werkdag,nacht
131,2025-01-01 04:28:04,CA-801,laag,communicatie,teruggekeerd,26,1,0,acknowledge,werkdag,nacht
117,2025-01-01 04:57:01,XA-502,laag,equipment,acknowledged,197,1,0,actie_genomen,werkdag,nacht
63,2025-01-01 05:23:24,LAH-401,hoog,niveau,acknowledged,1278,0,0,geen,werkdag,nacht
71,2025-01-01 05:24:43,XA-501,medium,equipment,acknowledged,8,0,0,actie_genomen,werkdag,nacht
139,2025-01-01 05:29:52,CA-801,laag,communicatie,actief,78,1,0,actie_genomen,werkdag,nacht
107,2025-01-01 05:35:36,XA-502,laag,equipment,acknowledged,268,1,0,geen,werkdag,nacht
8,2025-01-01 05:39:42,TAH-102,medium,temperatuur,acknowledged,7,1,0,actie_genomen,werkdag,nacht
150,2025-01-01 06:13:26,CA-801,laag,communicatie,acknowledged,22,1,0,acknowledge,werkdag,dag
37,2025-01-01 06:14:48,PAH-202,laag,druk,acknowledged,53,1,0,geen,werkdag,dag
60,2025-01-01 06:21:57,FAL-302,medium,debiet,acknowledged,19,1,0,acknowledge,werkdag,dag
4,2025-01-01 06:24:08,TAH-102,medium,temperatuur,acknowledged,358,1,0,geen,werkdag,dag
105,2025-01-01 06:24:45,XA-502,laag,equipment,actief,408,1,0,acknowledge,werkdag,dag
21,2025-01-01 06:29:15,PAL-201,medium,druk,acknowledged,642,0,0,acknowledge,werkdag,dag
144,2025-01-01 06:40:17,CA-801,laag,communicatie,teruggekeerd,689,1,0,acknowledge,werkdag,dag
124,2025-01-01 06:50:35,AAL-601,medium,analyse,acknowledged,1007,0,0,actie_genomen,werkdag,dag
147,2025-01-01 07:18:47,CA-801,laag,communicatie,acknowledged,79,1,0,geen,werkdag,dag
27,2025-01-01 07:33:47,PAH-202,laag,druk,teruggekeerd,58,1,0,geen,werkdag,dag
161,2025-01-01 07:35:54,CA-801,laag,communicatie,acknowledged,74,1,0,actie_genomen,werkdag,dag
76,2025-01-01 07:40:09,XA-501,medium,equipment,acknowledged,549,0,0,acknowledge,werkdag,dag
55,2025-01-01 07:43:51,FAL-302,medium,debiet,teruggekeerd,125,1,0,acknowledge,werkdag,dag
34,2025-01-01 07:54:07,PAH-202,laag,druk,teruggekeerd,666,1,0,acknowledge,werkdag,dag
92,2025-01-01 08:00:48,XA-502,laag,equipment,actief,1399,1,0,acknowledge,werkdag,dag
40,2025-01-01 08:03:07,FAL-301,hoog,debiet,acknowledged,162,0,0,actie_genomen,werkdag,dag
130,2025-01-01 08:07:35,CA-801,laag,communicatie,acknowledged,351,1,0,actie_genomen,werkdag,dag
15,2025-01-01 08:08:36,TAH-102,medium,temperatuur,acknowledged,2,1,0,geen,werkdag,dag
