sample_id,interventie,omgevingstemp_C,operator_ervaring_jaar,katalysator_type,roersnelheid_RPM,koelwater_temp_C,luchtvochtigheid_pct,druk_bar,activeringsenergie_kJmol,reactor_temp_C,menging_index,selectiviteit,conversie,opbrengst_pct,energieverbruik_kWh,vochtgehalte_product_pct
CI-00000,observatie,20.5,19.3,Pd/C,303,23.2,64.8,7.48,45.6,163.0,0.818,0.945,0.8332,79.9,57.6,2.25
CI-00001,observatie,30.7,10.3,Pt/Al2O3,232,26.6,77.3,7.64,44.7,163.5,0.752,0.846,0.7836,67.2,53.7,2.03
CI-00002,do(druk=8),12.6,15.0,Pd/C,269,21.7,56.2,8.0,47.6,157.5,0.709,0.908,0.754,70.4,53.6,1.6
CI-00003,observatie,24.3,13.2,Pt/Al2O3,266,24.6,81.9,9.7,42.7,165.4,0.803,0.879,0.8419,75.6,58.1,2.05
CI-00004,observatie,2.6,7.4,Pd/C,221,15.8,53.4,6.83,54.5,153.2,0.756,0.937,0.7256,67.6,55.4,0.98
CI-00005,observatie,20.8,3.0,Pt/Al2O3,191,23.2,61.9,6.47,48.2,160.1,0.731,0.847,0.7909,66.7,48.6,1.65
CI-00006,observatie,25.1,4.5,Pd/C,203,26.1,68.6,8.2,52.5,165.2,0.781,0.912,0.7989,73.0,52.5,1.56
CI-00007,observatie,18.9,16.0,Pt/Al2O3,233,20.2,62.3,7.02,42.6,156.5,0.789,0.856,0.7756,66.8,52.5,2.06
CI-00008,observatie,35.4,0.6,Pt/Al2O3,200,29.2,74.2,4.77,48.9,158.9,0.735,0.835,0.7185,59.8,50.3,1.95
CI-00009,observatie,16.7,8.8,Pd/C,261,22.8,61.5,1.0,46.0,143.7,0.763,0.947,0.6599,61.8,50.5,1.85
CI-00010,observatie,15.7,16.6,Pd/C,270,20.6,55.6,3.92,48.7,151.8,0.81,0.882,0.6943,64.4,54.1,1.86
CI-00011,observatie,23.5,7.2,Ni/SiO2,248,24.2,71.0,4.73,56.4,153.9,0.793,0.768,0.7166,53.9,50.8,1.5
CI-00012,observatie,24.0,18.0,Ni/SiO2,310,24.0,67.5,3.24,60.1,144.1,0.81,0.816,0.7028,57.8,56.7,2.32
CI-00013,observatie,9.7,4.8,Pd/C,232,20.0,53.6,3.89,52.3,150.9,0.719,0.893,0.7196,64.9,54.7,1.56
CI-00014,observatie,14.8,4.3,Ni/SiO2,169,19.8,66.8,2.35,62.1,141.1,0.755,0.797,0.6568,52.4,46.9,1.76
CI-00015,observatie,32.8,17.7,Pt/Al2O3,275,29.1,70.4,9.07,44.6,170.9,0.821,0.883,0.8323,73.4,59.8,1.81
CI-00016,observatie,10.3,1.0,Pd/C,200,18.4,58.0,1.71,48.7,144.7,0.755,0.899,0.6583,60.1,50.9,2.2
CI-00017,do(roersnelheid=300),18.2,6.7,Pt/Al2O3,300,23.1,59.3,7.31,42.3,157.8,0.809,0.833,0.7726,65.7,58.3,1.23
CI-00018,observatie,17.4,15.8,Pd/C,292,23.4,70.2,2.14,50.7,148.8,0.814,0.874,0.7192,64.4,56.4,1.87
CI-00019,observatie,22.5,9.0,Pd/C,241,25.6,73.2,4.52,52.3,153.0,0.758,0.864,0.6902,61.5,52.4,1.57
CI-00020,observatie,22.9,4.8,Pd/C,255,23.2,71.7,9.72,54.0,162.6,0.779,0.913,0.8014,73.2,56.7,1.3
CI-00021,observatie,9.4,15.8,Pt/Al2O3,286,20.0,54.4,4.34,42.7,155.1,0.83,0.874,0.7341,65.1,52.8,1.63
CI-00022,do(druk=8),28.8,3.1,Pd/C,209,26.2,76.9,8.0,46.1,163.7,0.768,0.928,0.8251,76.2,54.7,1.53
CI-00023,observatie,9.3,5.1,Ni/SiO2,201,18.4,53.5,1.22,58.6,144.5,0.734,0.787,0.6598,50.2,49.0,1.46
CI-00024,observatie,13.7,10.3,Pt/Al2O3,255,20.7,65.4,3.6,41.3,150.1,0.756,0.863,0.7181,61.1,52.7,2.38
CI-00025,do(roersnelheid=300),20.5,19.8,Ni/SiO2,300,24.0,60.7,5.65,59.2,152.9,0.79,0.805,0.7236,61.1,51.6,2.2
CI-00026,observatie,5.2,10.2,Pd/C,197,16.6,57.8,3.67,48.9,144.6,0.704,0.909,0.6928,63.7,48.2,1.18
CI-00027,observatie,9.4,17.1,Pd/C,256,18.4,60.8,5.56,47.2,154.4,0.827,0.929,0.7767,72.5,51.9,1.11
CI-00028,observatie,21.7,5.1,Pd/C,222,23.6,68.0,5.38,49.1,153.6,0.763,0.897,0.7357,66.7,53.1,1.67
CI-00029,observatie,13.4,9.9,Pt/Al2O3,259,21.0,53.2,9.06,43.4,161.8,0.766,0.832,0.7902,65.8,55.6,2.02
CI-00030,do(roersnelheid=300),17.0,4.5,Pt/Al2O3,300,22.8,70.4,8.59,43.8,162.5,0.821,0.859,0.7894,68.4,49.7,1.48
CI-00031,observatie,34.1,18.2,Pt/Al2O3,259,29.3,72.2,2.65,46.7,152.1,0.834,0.864,0.7266,62.3,52.9,2.23
CI-00032,observatie,15.9,6.9,Pt/Al2O3,240,20.6,63.6,9.51,45.9,166.0,0.799,0.836,0.8271,68.3,53.2,1.87
CI-00033,observatie,41.5,2.3,Ni/SiO2,202,32.6,83.1,4.5,60.0,153.4,0.785,0.789,0.6932,54.4,48.3,2.47
CI-00034,observatie,16.4,6.5,Ni/SiO2,270,22.1,64.5,9.41,62.3,160.8,0.758,0.839,0.7604,63.3,55.3,1.82
CI-00035,observatie,28.2,6.4,Pd/C,254,24.6,71.5,7.65,48.7,162.2,0.844,0.923,0.8262,76.2,57.1,1.23
CI-00036,observatie,21.1,14.8,Pd/C,268,25.7,68.8,7.32,51.1,162.9,0.801,0.928,0.7667,70.4,58.5,2.06
CI-00037,observatie,10.7,15.4,Pd/C,322,19.2,53.4,9.47,48.6,160.5,0.785,0.897,0.7806,69.7,58.8,1.11
CI-00038,observatie,21.6,12.6,Pt/Al2O3,218,24.6,75.0,3.4,44.1,154.0,0.774,0.863,0.7273,63.0,52.7,1.94
CI-00039,observatie,-3.9,9.4,Pt/Al2O3,269,14.4,41.4,6.5,44.7,152.2,0.821,0.858,0.7576,64.5,56.2,1.87
CI-00040,observatie,25.4,1.5,Ni/SiO2,211,25.4,72.2,2.29,60.7,147.6,0.797,0.807,0.6559,52.6,48.9,2.01
CI-00041,observatie,11.6,13.8,Pd/C,255,20.0,60.1,8.63,54.7,156.5,0.787,0.926,0.752,68.8,57.2,1.68
CI-00042,observatie,37.2,7.4,Pd/C,269,30.4,75.4,9.6,49.8,167.0,0.816,0.953,0.8046,77.0,59.1,1.77
CI-00043,observatie,25.0,9.5,Pd/C,238,22.5,66.7,7.02,46.8,152.1,0.758,0.869,0.7306,63.9,50.5,2.47
CI-00044,do(druk=8),23.8,7.4,Pd/C,223,24.0,66.4,8.0,45.5,161.1,0.815,0.922,0.813,76.0,53.0,1.75
CI-00045,observatie,35.5,4.1,Pt/Al2O3,204,28.2,67.0,8.09,47.5,166.9,0.796,0.85,0.7607,64.6,51.0,1.62
CI-00046,observatie,18.0,4.8,Ni/SiO2,209,21.4,63.3,3.35,56.4,147.5,0.741,0.787,0.6341,50.0,49.2,1.82
CI-00047,observatie,4.5,4.4,Pd/C,242,17.1,50.6,5.93,49.7,155.4,0.794,0.887,0.7277,65.7,53.5,1.33
CI-00048,observatie,14.5,2.9,Pd/C,204,22.0,60.8,3.96,51.6,151.0,0.772,0.897,0.7066,63.0,51.5,1.72
CI-00049,do(roersnelheid=300),10.2,3.3,Pd/C,300,17.9,64.0,4.43,49.6,155.3,0.813,0.905,0.7484,67.8,51.3,1.58
CI-00050,observatie,13.3,1.8,Ni/SiO2,196,19.5,64.5,2.49,61.3,141.1,0.747,0.773,0.6573,50.3,46.7,1.69
CI-00051,observatie,36.3,11.6,Ni/SiO2,225,29.6,80.7,8.92,62.2,165.1,0.785,0.757,0.7388,55.1,53.8,2.24
CI-00052,observatie,22.6,17.4,Pt/Al2O3,295,24.3,58.2,2.92,43.8,151.3,0.824,0.88,0.6717,59.8,60.7,2.03
CI-00053,observatie,12.7,18.7,Pt/Al2O3,307,21.5,64.5,8.21,45.9,164.1,0.826,0.855,0.7839,66.1,60.1,1.35
CI-00054,observatie,16.9,4.3,Pt/Al2O3,202,21.8,59.7,6.64,43.9,156.8,0.721,0.83,0.7976,67.1,48.9,1.61
CI-00055,observatie,25.7,13.4,Pt/Al2O3,237,25.3,74.3,7.29,42.6,161.7,0.801,0.833,0.7577,63.4,53.3,2.48
CI-00056,observatie,15.3,13.7,Pd/C,256,21.2,61.7,5.46,48.1,155.8,0.815,0.914,0.7272,67.5,53.0,1.39
CI-00057,observatie,6.1,10.5,Pd/C,234,18.2,50.5,6.56,47.9,155.7,0.775,0.93,0.7524,70.5,52.3,1.4
CI-00058,observatie,19.6,12.7,Ni/SiO2,271,23.9,69.3,5.73,61.1,153.6,0.856,0.788,0.7248,57.1,53.8,1.52
CI-00059,do(druk=8),16.5,2.7,Pt/Al2O3,196,21.6,69.7,8.0,43.6,164.6,0.795,0.861,0.8034,69.2,48.2,1.75
CI-00060,observatie,32.6,0.6,Ni/SiO2,200,28.3,71.8,8.27,60.4,162.3,0.776,0.815,0.7857,66.3,49.9,1.57
CI-00061,observatie,25.7,19.5,Ni/SiO2,298,25.7,67.1,9.2,63.4,158.3,0.799,0.818,0.7506,61.8,58.2,1.72
CI-00062,observatie,23.1,10.1,Pd/C,271,22.7,72.6,4.64,51.2,151.5,0.757,0.949,0.7264,68.2,55.5,1.85
CI-00063,observatie,26.4,17.3,Pt/Al2O3,299,25.0,73.7,4.39,47.1,154.4,0.755,0.854,0.7464,64.3,56.8,1.94
CI-00064,observatie,30.5,6.5,Ni/SiO2,234,26.8,69.2,8.01,60.9,156.5,0.725,0.821,0.7237,58.8,54.1,1.97
CI-00065,observatie,31.9,0.4,Pt/Al2O3,213,25.8,77.3,9.32,46.4,164.6,0.781,0.864,0.784,67.5,51.2,1.88
CI-00066,observatie,22.5,6.9,Pd/C,245,24.8,73.8,8.95,45.5,167.3,0.8,0.879,0.8076,71.6,58.3,1.1
CI-00067,observatie,22.1,9.2,Ni/SiO2,244,24.4,65.4,4.47,59.2,147.1,0.842,0.818,0.7216,58.8,53.6,2.21
CI-00068,observatie,27.4,17.0,Ni/SiO2,266,25.8,71.1,7.44,58.9,160.6,0.857,0.803,0.7759,65.3,60.1,1.66
CI-00069,observatie,16.2,10.5,Pd/C,294,19.7,66.6,9.37,48.5,164.7,0.813,0.918,0.7859,72.4,57.8,1.76
CI-00070,observatie,31.1,9.1,Pd/C,236,28.8,81.8,4.91,49.8,156.5,0.813,0.877,0.7339,65.2,53.9,1.83
CI-00071,observatie,28.3,15.9,Pt/Al2O3,288,25.6,67.1,9.09,45.1,164.6,0.803,0.842,0.8072,68.0,59.2,1.7
CI-00072,observatie,22.1,14.4,Pt/Al2O3,252,23.0,65.8,5.93,48.6,155.9,0.798,0.874,0.741,66.1,53.2,1.76
CI-00073,observatie,8.5,7.6,Pd/C,265,18.7,60.8,8.51,49.7,160.5,0.732,0.891,0.7632,67.7,57.1,1.6
CI-00074,observatie,8.1,16.8,Pd/C,246,19.4,52.0,8.82,49.4,163.2,0.752,0.932,0.7554,69.1,54.5,1.15
CI-00075,observatie,8.0,18.8,Pt/Al2O3,281,19.0,54.7,4.07,44.9,151.0,0.843,0.848,0.765,64.7,55.4,1.76
CI-00076,observatie,27.0,11.6,Pd/C,238,23.1,63.3,8.06,50.0,163.0,0.78,0.925,0.7816,73.1,55.3,1.35
CI-00077,observatie,10.7,1.7,Pt/Al2O3,187,21.2,70.1,5.55,45.2,152.6,0.761,0.865,0.7804,68.3,49.2,1.65
CI-00078,observatie,19.9,5.5,Pt/Al2O3,233,24.3,67.2,1.06,45.2,149.3,0.773,0.873,0.6568,58.1,49.9,2.15
CI-00079,observatie,27.6,2.2,Pd/C,193,25.8,73.3,7.43,47.2,160.8,0.801,0.904,0.798,71.5,53.2,1.82
CI-00080,observatie,28.6,12.2,Pd/C,243,26.8,76.0,8.17,52.0,163.9,0.756,0.921,0.7611,69.4,56.2,1.57
CI-00081,do(roersnelheid=300),28.3,11.3,Pd/C,300,24.8,75.9,2.7,50.2,151.4,0.778,0.913,0.7135,65.2,53.0,2.06
CI-00082,observatie,26.7,3.2,Ni/SiO2,213,25.7,61.5,7.37,60.8,157.7,0.744,0.816,0.7403,60.3,50.4,2.04
CI-00083,observatie,5.8,19.2,Pd/C,307,17.2,55.0,4.78,48.2,149.4,0.818,0.901,0.6946,63.1,49.4,1.59
CI-00084,observatie,10.7,16.2,Ni/SiO2,307,19.5,53.3,10.0,62.3,157.4,0.821,0.805,0.7681,62.7,55.2,0.99
CI-00085,observatie,12.2,6.8,Pd/C,263,22.7,55.2,7.32,49.3,157.9,0.772,0.86,0.7934,70.9,53.9,1.46
CI-00086,observatie,13.1,0.9,Ni/SiO2,188,19.9,61.3,3.21,59.8,148.0,0.753,0.806,0.6583,54.1,45.3,1.75
CI-00087,observatie,13.0,14.1,Pt/Al2O3,261,20.0,64.6,6.52,43.6,157.5,0.803,0.854,0.7544,65.3,50.9,1.49
CI-00088,observatie,16.6,3.2,Pt/Al2O3,212,22.3,60.6,9.9,42.6,164.8,0.807,0.883,0.8141,72.4,54.6,1.58
CI-00089,observatie,26.4,7.3,Pd/C,203,25.5,69.7,8.04,48.6,161.8,0.84,0.9,0.7946,70.8,55.4,2.04
CI-00090,observatie,22.9,11.8,Pd/C,244,23.4,68.3,9.22,49.0,160.5,0.819,0.886,0.7721,68.4,55.1,1.97
CI-00091,observatie,30.4,12.7,Pt/Al2O3,284,28.3,68.4,6.22,47.1,160.0,0.75,0.864,0.7611,65.4,58.3,1.63
CI-00092,observatie,27.7,0.9,Ni/SiO2,203,27.6,76.4,1.09,58.4,144.5,0.791,0.771,0.6594,49.6,47.0,2.02
CI-00093,do(roersnelheid=300),22.0,11.5,Pt/Al2O3,300,24.5,67.1,8.92,42.1,162.6,0.821,0.859,0.8448,73.1,54.5,1.81
CI-00094,observatie,19.7,1.6,Pt/Al2O3,192,23.9,62.0,9.0,46.5,167.3,0.701,0.892,0.8247,73.7,48.3,1.4
CI-00095,do(druk=8),24.2,15.4,Pd/C,291,22.7,72.3,8.0,53.1,159.3,0.77,0.897,0.764,68.2,55.2,1.72
CI-00096,observatie,21.5,7.2,Pt/Al2O3,241,23.2,66.9,6.78,45.3,160.7,0.792,0.863,0.767,66.2,59.1,1.13
CI-00097,observatie,7.8,19.9,Pd/C,336,19.2,55.5,9.69,46.4,163.9,0.786,0.907,0.7977,72.1,54.1,0.7
CI-00098,observatie,24.8,19.2,Ni/SiO2,307,25.6,69.2,8.19,61.5,161.8,0.795,0.835,0.7431,60.7,58.8,1.84
CI-00099,observatie,33.0,14.1,Pt/Al2O3,262,27.0,71.9,1.78,50.4,149.4,0.772,0.832,0.6924,57.3,53.1,1.94
CI-00100,observatie,22.6,3.1,Pd/C,210,23.4,66.0,3.12,49.2,148.7,0.744,0.887,0.6764,60.5,48.5,1.76
CI-00101,observatie,22.7,16.2,Pd/C,302,24.5,66.4,2.99,49.8,151.5,0.806,0.905,0.7484,67.4,57.9,2.18
CI-00102,observatie,6.6,16.0,Pt/Al2O3,273,17.7,51.0,4.63,48.1,149.6,0.803,0.822,0.727,60.9,53.0,1.78
CI-00103,observatie,17.4,6.1,Pt/Al2O3,229,23.4,60.1,7.02,50.1,154.9,0.787,0.858,0.773,66.9,51.3,1.54
CI-00104,observatie,30.6,19.8,Pd/C,319,27.0,78.1,3.31,47.6,152.3,0.789,0.901,0.6915,60.9,54.7,2.14
CI-00105,observatie,30.8,12.1,Pt/Al2O3,269,26.1,73.3,7.82,48.7,162.9,0.773,0.868,0.7871,67.7,57.6,2.08
CI-00106,observatie,15.2,6.3,Pt/Al2O3,210,21.5,66.6,6.46,43.5,160.3,0.743,0.892,0.7694,71.5,49.2,1.22
