timestamp,dag,temp_sp_C,temp_actueel_C,pH_sp,pH_actueel,DO_sp_pct,DO_actueel_pct,viable_celdichtheid_celmL,totale_celdichtheid_celmL,viabiliteit_pct,glucose_mmolL,glutamine_mmolL,lactaat_mmolL,ammonium_mmolL,osmolaliteit_mOsmkg,titer_gL,perfusiesnelheid_VVD,bleed_rate_VVD,lucht_sparge_Lmin,O2_sparge_Lmin,CO2_sparge_Lmin,turbiditeit_AU,filter_druk_bar,cultuur_fase,event
2025-01-15 00:00:00,0.0,37.0,36.96,7.0,6.997,40.0,38.9,560279,560279,99.8,24.56,3.98,-0.18,0.114,290,0.002,0.514,0.0,0.051,0.049,0.0025,0.56,0.208,lag,normaal
2025-01-15 01:00:00,0.04,37.0,37.0,7.0,6.996,40.0,40.8,550502,550502,99.1,25.22,4.16,-0.04,-0.019,291,0.011,0.522,0.0,0.052,-0.005,-0.0059,0.64,0.195,lag,normaal
2025-01-15 02:00:00,0.08,37.0,36.92,7.0,7.043,40.0,39.8,581624,634697,91.9,25.09,4.06,-0.05,-0.035,292,0.03,0.486,0.0,0.053,0.013,0.0074,0.4,0.218,lag,normaal
2025-01-15 03:00:00,0.12,37.0,37.07,7.0,7.053,40.0,39.2,597694,685029,87.0,24.95,3.9,0.02,-0.019,293,0.041,0.517,0.0035,0.054,0.042,-0.0098,0.37,0.211,lag,normaal
2025-01-15 04:00:00,0.17,37.0,37.08,7.0,7.046,40.0,39.0,638112,711761,89.8,24.84,4.01,-0.27,-0.027,285,0.043,0.483,0.0066,0.048,0.057,0.0061,0.75,0.213,lag,normaal
2025-01-15 05:00:00,0.21,37.0,37.08,7.0,7.061,40.0,40.7,642156,661489,97.1,24.78,4.03,-0.04,0.052,290,0.025,0.496,0.0,0.05,0.018,0.0214,0.56,0.189,lag,normaal
2025-01-15 06:00:00,0.25,37.0,36.96,7.0,7.061,40.0,39.9,633866,696951,90.4,25.02,4.11,0.31,-0.069,288,0.039,0.527,0.0,0.059,0.007,0.0038,0.47,0.204,lag,normaal
2025-01-15 07:00:00,0.29,37.0,36.92,7.0,7.089,40.0,40.2,658531,706457,93.3,25.6,4.08,0.28,-0.104,284,0.04,0.508,0.0061,0.052,-0.027,0.0051,0.54,0.197,lag,normaal
2025-01-15 08:00:00,0.33,37.0,36.97,7.0,7.105,40.0,41.4,639972,725131,88.2,25.18,3.94,0.17,0.018,292,0.048,0.537,0.0024,0.049,0.001,0.0196,0.39,0.21,lag,normaal
2025-01-15 09:00:00,0.38,37.0,37.03,7.0,7.104,40.0,37.9,705523,781132,90.4,24.86,4.15,0.08,-0.002,286,0.038,0.517,0.0013,0.052,0.119,0.0015,0.46,0.215,lag,normaal
