cyclus_id,equipment,vorig_product,vervuilingsgraad,fase,tijd_sec,tijd_in_fase_sec,temperatuur_C,conductiviteit_mScm,turbiditeit_NTU,pH,TOC_mgL,debiet_m3h,druk_bar,NaOH_pct,HNO3_pct,cyclus_resultaat
CIP-0000,tank_5000L,Product_A,3.1,voorspoeling,0,0,20.0,62.5,156.9,7.3,318.1,7.43,2.45,0.0,0.0,geslaagd
CIP-0000,tank_5000L,Product_A,3.1,voorspoeling,10,10,20.0,57.01,145.17,7.4,300.6,7.55,2.55,0.0,0.0,geslaagd
CIP-0000,tank_5000L,Product_A,3.1,voorspoeling,20,20,20.0,51.97,133.88,7.0,284.6,7.4,2.46,0.0,0.0,geslaagd
CIP-0000,tank_5000L,Product_A,3.1,voorspoeling,30,30,20.0,46.64,122.77,7.1,271.5,7.39,2.44,0.0,0.0,geslaagd
CIP-0000,tank_5000L,Product_A,3.1,voorspoeling,40,40,20.0,42.05,113.35,7.4,258.0,7.49,2.56,0.0,0.0,geslaagd
CIP-0000,tank_5000L,Product_A,3.1,voorspoeling,50,50,20.0,38.21,106.38,7.1,247.4,7.7,2.49,0.0,0.0,geslaagd
CIP-0000,tank_5000L,Product_A,3.1,voorspoeling,60,60,19.5,34.55,98.16,7.2,232.8,7.39,2.42,0.0,0.0,geslaagd
CIP-0000,tank_5000L,Product_A,3.1,voorspoeling,70,70,19.8,31.01,91.19,6.7,217.8,7.43,2.45,0.0,0.0,geslaagd
CIP-0000,tank_5000L,Product_A,3.1,voorspoeling,80,80,19.7,28.61,83.97,6.8,213.1,7.64,2.55,0.0,0.0,geslaagd
CIP-0000,tank_5000L,Product_A,3.1,voorspoeling,90,90,18.9,26.12,74.66,7.2,198.8,7.46,2.51,0.0,0.0,geslaagd
CIP-0000,tank_5000L,Product_A,3.1,voorspoeling,100,100,19.6,22.36,71.4,7.2,191.1,7.47,2.49,0.0,0.0,geslaagd
CIP-0000,tank_5000L,Product_A,3.1,voorspoeling,110,110,19.7,20.71,66.24,6.7,177.3,7.52,2.46,0.0,0.0,geslaagd
CIP-0000,tank_5000L,Product_A,3.1,voorspoeling,120,120,20.4,18.65,60.74,6.9,171.9,7.54,2.51,0.0,0.0,geslaagd
CIP-0000,tank_5000L,Product_A,3.1,voorspoeling,130,130,20.5,16.66,55.26,7.8,161.8,7.59,2.51,0.0,0.0,geslaagd
CIP-0000,tank_5000L,Product_A,3.1,voorspoeling,140,140,19.6,15.7,51.4,7.0,154.7,7.38,2.49,0.0,0.0,geslaagd
CIP-0000,tank_5000L,Product_A,3.1,voorspoeling,150,150,20.4,14.31,48.71,7.3,146.2,7.59,2.5,0.0,0.0,geslaagd
CIP-0000,tank_5000L,Product_A,3.1,voorspoeling,160,160,19.6,13.27,43.58,7.2,143.3,7.44,2.59,0.0,0.0,geslaagd
CIP-0000,tank_5000L,Product_A,3.1,voorspoeling,170,170,20.1,11.0,39.56,7.2,137.8,7.36,2.54,0.0,0.0,geslaagd
CIP-0000,tank_5000L,Product_A,3.1,voorspoeling,180,180,19.8,9.79,38.8,6.0,127.2,7.71,2.55,0.0,0.0,geslaagd
CIP-0000,tank_5000L,Product_A,3.1,voorspoeling,190,190,20.3,9.45,33.4,7.3,120.3,7.53,2.44,0.0,0.0,geslaagd
CIP-0000,tank_5000L,Product_A,3.1,voorspoeling,200,200,19.8,8.76,31.2,7.1,113.7,7.53,2.49,0.0,0.0,geslaagd
CIP-0000,tank_5000L,Product_A,3.1,voorspoeling,210,210,20.4,7.35,28.87,7.3,112.1,7.62,2.64,0.0,0.0,geslaagd
CIP-0000,tank_5000L,Product_A,3.1,voorspoeling,220,220,20.5,7.02,26.75,6.7,103.9,7.41,2.54,0.0,0.0,geslaagd
CIP-0000,tank_5000L,Product_A,3.1,voorspoeling,230,230,19.8,5.64,24.6,7.2,98.4,7.46,2.51,0.0,0.0,geslaagd
