timestamp,ruimte,GMP_grade,deeltjes_05um_per_m3,deeltjes_50um_per_m3,limiet_05um,limiet_50um,temperatuur_C,rel_vochtigheid_pct,drukverschil_kPa,min_drukverschil_kPa,in_specificatie,alarm,event
2025-06-01 00:00,Room_A1,A,427,4,3520,20,19.8,45.3,0.0438,0.035,1,geen,normaal
2025-06-01 00:00,Room_B2,B,867,5,3520,29,20.1,44.8,0.0361,0.025,1,geen,normaal
2025-06-01 00:00,Room_B1,B,984,4,3520,29,20.0,44.7,0.03,0.025,1,geen,normaal
2025-06-01 00:00,Room_D1,D,1088746,3327,3520000,29000,20.1,47.1,0.0189,0.01,1,geen,normaal
2025-06-01 00:00,Room_A2,A,547,3,3520,20,19.9,44.5,0.0469,0.035,1,geen,normaal
2025-06-01 00:00,Room_C1,C,64869,410,352000,2900,20.2,44.4,0.0254,0.015,1,geen,normaal
2025-06-01 00:30,Room_A2,A,513,3,3520,20,19.7,45.4,0.0495,0.035,1,geen,normaal
2025-06-01 00:30,Room_D1,D,1083815,2918,3520000,29000,20.2,45.3,0.0176,0.01,1,geen,normaal
2025-06-01 00:30,Room_B2,B,659,5,3520,29,19.7,45.0,0.0386,0.025,1,geen,normaal
2025-06-01 00:30,Room_A1,A,499,4,3520,20,19.7,46.2,0.0447,0.035,1,geen,normaal
2025-06-01 00:30,Room_C1,C,74278,388,352000,2900,19.7,45.0,0.0238,0.015,1,geen,normaal
2025-06-01 00:30,Room_B1,B,1298,5,3520,29,20.3,45.1,0.0317,0.025,1,geen,normaal
2025-06-01 01:00,Room_C1,C,177554,973,352000,2900,20.5,43.2,0.0115,0.015,0,druk_alarm,deuropening
2025-06-01 01:00,Room_A2,A,512,3,3520,20,19.9,45.0,0.046,0.035,1,geen,normaal
2025-06-01 01:00,Room_D1,D,975411,2959,3520000,29000,20.2,43.3,0.0184,0.01,1,geen,normaal
2025-06-01 01:00,Room_B2,B,587,4,3520,29,19.7,45.6,0.0259,0.025,1,geen,normaal
2025-06-01 01:00,Room_A1,A,446,4,3520,20,19.9,44.9,0.0509,0.035,1,geen,normaal
2025-06-01 01:00,Room_B1,B,1015,4,3520,29,20.1,46.5,0.0324,0.025,1,geen,normaal
2025-06-01 01:30,Room_A2,A,579,3,3520,20,20.0,45.9,0.046,0.035,1,geen,normaal
2025-06-01 01:30,Room_D1,D,1146570,3006,3520000,29000,20.0,43.7,0.0208,0.01,1,geen,normaal
2025-06-01 01:30,Room_C1,C,68104,397,352000,2900,20.0,44.2,0.0211,0.015,1,geen,normaal
2025-06-01 01:30,Room_B1,B,1174,4,3520,29,20.0,44.9,0.0359,0.025,1,geen,normaal
2025-06-01 01:30,Room_A1,A,466,5,3520,20,20.4,43.9,0.0443,0.035,1,geen,normaal
2025-06-01 01:30,Room_B2,B,752,5,3520,29,19.9,44.9,0.0328,0.025,1,geen,normaal
2025-06-01 02:00,Room_C1,C,70420,391,352000,2900,19.9,45.8,0.03,0.015,1,geen,normaal
2025-06-01 02:00,Room_B2,B,614,4,3520,29,19.9,45.7,0.033,0.025,1,geen,normaal
2025-06-01 02:00,Room_A1,A,456,5,3520,20,20.1,45.0,0.0425,0.035,1,geen,normaal
2025-06-01 02:00,Room_D1,D,961480,2923,3520000,29000,20.0,45.1,0.0182,0.01,1,geen,normaal
2025-06-01 02:00,Room_A2,A,511,3,3520,20,19.9,44.8,0.0457,0.035,1,geen,normaal
2025-06-01 02:00,Room_B1,B,1216,4,3520,29,19.9,45.0,0.0432,0.025,1,geen,normaal
2025-06-01 02:30,Room_B1,B,1074,4,3520,29,19.8,45.4,0.0296,0.025,1,geen,normaal
2025-06-01 02:30,Room_C1,C,69122,382,352000,2900,20.1,45.9,0.028,0.015,1,geen,normaal
2025-06-01 02:30,Room_A1,A,434,5,3520,20,20.4,44.6,0.0449,0.035,1,geen,normaal
2025-06-01 02:30,Room_B2,B,611,4,3520,29,19.7,44.7,0.0366,0.025,1,geen,normaal
2025-06-01 02:30,Room_D1,D,1076800,3447,3520000,29000,20.2,42.5,0.0202,0.01,1,geen,normaal
2025-06-01 02:30,Room_A2,A,533,3,3520,20,19.7,44.7,0.0374,0.035,1,geen,normaal
2025-06-01 03:00,Room_C1,C,68160,385,352000,2900,20.1,43.5,0.023,0.015,1,geen,normaal
2025-06-01 03:00,Room_A2,A,504,3,3520,20,20.0,45.2,0.0434,0.035,1,geen,normaal
2025-06-01 03:00,Room_A1,A,440,4,3520,20,19.9,45.4,0.0415,0.035,1,geen,normaal
2025-06-01 03:00,Room_D1,D,972042,3160,3520000,29000,19.3,45.3,0.0197,0.01,1,geen,normaal
2025-06-01 03:00,Room_B2,B,616,5,3520,29,20.6,45.3,0.0288,0.025,1,geen,normaal
2025-06-01 03:00,Room_B1,B,1123,4,3520,29,20.2,43.4,0.0362,0.025,1,geen,normaal
2025-06-01 03:30,Room_D1,D,945371,3021,3520000,29000,19.7,44.6,0.0229,0.01,1,geen,normaal
2025-06-01 03:30,Room_B2,B,597,4,3520,29,19.7,44.3,0.0296,0.025,1,geen,normaal
2025-06-01 03:30,Room_A1,A,431,4,3520,20,20.3,46.6,0.0446,0.035,1,geen,normaal
2025-06-01 03:30,Room_C1,C,67770,410,352000,2900,20.0,44.8,0.0224,0.015,1,geen,normaal
2025-06-01 03:30,Room_B1,B,996,5,3520,29,19.9,43.9,0.0306,0.025,1,geen,normaal
2025-06-01 03:30,Room_A2,A,570,3,3520,20,19.9,45.3,0.0449,0.035,1,geen,normaal
2025-06-01 04:00,Room_B2,B,641,5,3520,29,20.2,46.1,0.0333,0.025,1,geen,normaal
2025-06-01 04:00,Room_C1,C,70216,389,352000,2900,19.8,45.0,0.0251,0.015,1,geen,normaal
2025-06-01 04:00,Room_B1,B,985,4,3520,29,19.9,45.1,0.0342,0.025,1,geen,normaal
2025-06-01 04:00,Room_A2,A,542,3,3520,20,20.1,43.8,0.0441,0.035,1,geen,normaal
2025-06-01 04:00,Room_D1,D,1023615,2945,3520000,29000,19.5,44.4,0.0172,0.01,1,geen,normaal
2025-06-01 04:00,Room_A1,A,466,4,3520,20,19.9,45.7,0.0483,0.035,1,geen,normaal
2025-06-01 04:30,Room_B1,B,979,4,3520,29,20.2,44.1,0.037,0.025,1,geen,normaal
2025-06-01 04:30,Room_A2,A,602,3,3520,20,20.2,46.0,0.0462,0.035,1,geen,normaal
2025-06-01 04:30,Room_C1,C,70055,414,352000,2900,20.1,45.9,0.0215,0.015,1,geen,normaal
2025-06-01 04:30,Room_D1,D,929452,2881,3520000,29000,20.6,47.2,0.0223,0.01,1,geen,normaal
2025-06-01 04:30,Room_B2,B,724,4,3520,29,20.0,45.8,0.0283,0.025,1,geen,normaal
2025-06-01 04:30,Room_A1,A,475,5,3520,20,19.7,44.4,0.0475,0.035,1,geen,normaal
2025-06-01 05:00,Room_C1,C,187064,384,352000,2900,19.7,45.2,0.0272,0.015,1,geen,schoonmaak
2025-06-01 05:00,Room_D1,D,2582470,2927,3520000,29000,20.1,43.3,0.0247,0.01,1,geen,schoonmaak
2025-06-01 05:00,Room_A1,A,916,4,3520,20,20.5,46.0,0.0439,0.035,1,geen,schoonmaak
2025-06-01 05:00,Room_B1,B,999,4,3520,29,20.3,46.8,0.0331,0.025,1,geen,normaal
2025-06-01 05:00,Room_B2,B,617,5,3520,29,20.1,42.5,0.0359,0.025,1,geen,normaal
2025-06-01 05:00,Room_A2,A,1243,3,3520,20,20.2,45.6,0.0423,0.035,1,geen,schoonmaak
2025-06-01 05:30,Room_B1,B,1107,4,3520,29,20.3,43.9,0.0413,0.025,1,geen,normaal
2025-06-01 05:30,Room_A1,A,428,5,3520,20,19.9,45.8,0.0465,0.035,1,geen,normaal
2025-06-01 05:30,Room_B2,B,1513,5,3520,29,19.5,45.1,0.0295,0.025,1,geen,schoonmaak
2025-06-01 05:30,Room_D1,D,1533199,2900,3520000,29000,20.3,46.3,0.0186,0.01,1,geen,schoonmaak
2025-06-01 05:30,Room_A2,A,555,3,3520,20,20.3,45.2,0.047,0.035,1,geen,normaal
2025-06-01 05:30,Room_C1,C,68257,390,352000,2900,19.8,42.7,0.0277,0.015,1,geen,normaal
2025-06-01 06:00,Room_B1,B,1130,4,3520,29,20.2,44.4,0.0336,0.025,1,geen,normaal
2025-06-01 06:00,Room_A1,A,484,5,3520,20,19.8,45.0,0.0426,0.035,1,geen,normaal
2025-06-01 06:00,Room_D1,D,957013,2974,3520000,29000,20.2,42.9,0.0212,0.01,1,geen,normaal
2025-06-01 06:00,Room_B2,B,640,5,3520,29,20.0,43.6,0.0252,0.025,1,geen,normaal
2025-06-01 06:00,Room_A2,A,609,3,3520,20,20.1,45.9,0.0457,0.035,1,geen,normaal
2025-06-01 06:00,Room_C1,C,65726,405,352000,2900,20.0,43.8,0.0212,0.015,1,geen,normaal
2025-06-01 06:30,Room_C1,C,94409,434,352000,2900,20.1,42.9,0.0307,0.015,1,geen,normaal
2025-06-01 06:30,Room_A1,A,495,5,3520,20,20.1,46.4,0.046,0.035,1,geen,normaal
2025-06-01 06:30,Room_A2,A,612,3,3520,20,19.8,44.9,0.0487,0.035,1,geen,normaal
2025-06-01 06:30,Room_D1,D,951681,3007,3520000,29000,19.8,44.1,0.015,0.01,1,geen,normaal
2025-06-01 06:30,Room_B1,B,1123,4,3520,29,19.5,44.6,0.0379,0.025,1,geen,normaal
2025-06-01 06:30,Room_B2,B,617,5,3520,29,19.9,44.9,0.0353,0.025,1,geen,normaal
2025-06-01 07:00,Room_B1,B,1110,4,3520,29,19.8,46.2,0.0386,0.025,1,geen,normaal
2025-06-01 07:00,Room_B2,B,621,5,3520,29,19.9,46.1,0.0374,0.025,1,geen,normaal
2025-06-01 07:00,Room_A2,A,609,3,3520,20,19.8,46.5,0.0438,0.035,1,geen,normaal
2025-06-01 07:00,Room_A1,A,469,5,3520,20,19.8,47.1,0.0446,0.035,1,geen,normaal
2025-06-01 07:00,Room_D1,D,1079040,3567,3520000,29000,19.4,44.9,0.0215,0.01,1,geen,normaal
2025-06-01 07:00,Room_C1,C,69773,417,352000,2900,19.9,44.5,0.0243,0.015,1,geen,normaal
2025-06-01 07:30,Room_D1,D,1147223,3616,3520000,29000,19.6,44.4,0.0176,0.01,1,geen,normaal
2025-06-01 07:30,Room_A2,A,540,3,3520,20,20.2,46.2,0.0382,0.035,1,geen,normaal
2025-06-01 07:30,Room_A1,A,477,5,3520,20,20.0,46.1,0.0484,0.035,1,geen,normaal
2025-06-01 07:30,Room_B2,B,626,5,3520,29,19.9,47.5,0.031,0.025,1,geen,normaal
2025-06-01 07:30,Room_B1,B,1115,4,3520,29,19.9,44.8,0.0357,0.025,1,geen,normaal
2025-06-01 07:30,Room_C1,C,66024,401,352000,2900,19.9,44.4,0.0265,0.015,1,geen,normaal
2025-06-01 08:00,Room_A2,A,626,3,3520,20,20.0,44.7,0.0459,0.035,1,geen,normaal
2025-06-01 08:00,Room_B1,B,1096,4,3520,29,20.1,45.7,0.0364,0.025,1,geen,normaal
2025-06-01 08:00,Room_B2,B,651,5,3520,29,20.1,44.9,0.0343,0.025,1,geen,normaal
2025-06-01 08:00,Room_C1,C,66782,412,352000,2900,20.1,46.9,0.0282,0.015,1,geen,normaal
2025-06-01 08:00,Room_A1,A,472,5,3520,20,20.0,46.4,0.0476,0.035,1,geen,normaal
2025-06-01 08:00,Room_D1,D,1259736,3194,3520000,29000,19.4,45.7,0.0197,0.01,1,geen,normaal
2025-06-01 08:30,Room_A2,A,564,3,3520,20,19.7,44.3,0.0459,0.035,1,geen,normaal
2025-06-01 08:30,Room_B2,B,872,5,3520,29,19.7,45.5,0.0315,0.025,1,geen,normaal
2025-06-01 08:30,Room_C1,C,79545,423,352000,2900,20.6,46.9,0.0259,0.015,1,geen,normaal
2025-06-01 08:30,Room_D1,D,1036880,3089,3520000,29000,19.6,46.2,0.024,0.01,1,geen,normaal
2025-06-01 08:30,Room_B1,B,1089,5,3520,29,20.2,45.2,0.0401,0.025,1,geen,normaal
2025-06-01 08:30,Room_A1,A,470,5,3520,20,20.3,45.0,0.0443,0.035,1,geen,normaal
2025-06-01 09:00,Room_B2,B,692,5,3520,29,20.2,42.7,0.0324,0.025,1,geen,normaal
2025-06-01 09:00,Room_D1,D,1065322,3111,3520000,29000,19.8,45.3,0.0219,0.01,1,geen,normaal
2025-06-01 09:00,Room_A1,A,478,6,3520,20,20.6,44.9,0.0438,0.035,1,geen,normaal
