timestamp,jaar,kwartaal,voeding_kwaliteit,temperatuur_C,druk_bar,debiet_kgh,omgevingstemp_C,katalysator_leeftijd_dagen,fouling_index,conversie,energieverbruik_kWh,model_voorspelling,model_fout,model_abs_fout,drift_type
2020-01-01 00:00:00,2020,Q1,0.9489,150.3,5.03,98.5,14.1,0,0.0,0.8558,84.4,0.8527,0.00308,0.00308,geen
2020-01-01 04:00:00,2020,Q1,0.9475,151.1,5.04,107.7,19.5,0,0.00012,0.8388,88.1,0.8389,-9e-05,9e-05,geen
2020-01-01 08:00:00,2020,Q1,0.9516,151.4,5.05,109.1,19.2,0,0.00027,0.8408,87.5,0.8487,-0.00796,0.00796,geen
2020-01-01 12:00:00,2020,Q1,0.9534,150.1,4.99,101.3,15.1,0,0.00044,0.8457,83.4,0.8508,-0.00507,0.00507,geen
2020-01-01 16:00:00,2020,Q1,0.9517,148.2,4.92,90.7,11.5,1,0.00061,0.8444,83.8,0.8608,-0.0164,0.0164,geen
2020-01-01 20:00:00,2020,Q1,0.9435,147.9,4.97,91.9,10.8,1,0.0008,0.8491,85.3,0.8626,-0.01345,0.01345,geen
2020-01-02 00:00:00,2020,Q1,0.9503,150.4,4.93,100.9,16.1,1,0.001,0.8367,84.4,0.8551,-0.01833,0.01833,geen
2020-01-02 04:00:00,2020,Q1,0.9606,151.7,4.98,110.7,19.4,1,0.0012,0.8432,88.1,0.8399,0.0033,0.0033,geen
2020-01-02 08:00:00,2020,Q1,0.9489,151.7,5.06,108.9,20.8,1,0.00141,0.8356,87.8,0.8414,-0.00587,0.00587,geen
2020-01-02 12:00:00,2020,Q1,0.9589,150.4,4.93,101.2,15.7,2,0.00163,0.843,87.3,0.8506,-0.00763,0.00763,geen
2020-01-02 16:00:00,2020,Q1,0.9503,149.1,5.1,91.2,9.5,2,0.00185,0.8385,85.0,0.8551,-0.01658,0.01658,geen
2020-01-02 20:00:00,2020,Q1,0.9549,148.6,5.04,91.9,10.5,2,0.00207,0.8466,83.8,0.8576,-0.01104,0.01104,geen
2020-01-03 00:00:00,2020,Q1,0.9515,150.3,5.05,100.9,15.1,2,0.0023,0.837,87.4,0.8526,-0.01561,0.01561,geen
2020-01-03 04:00:00,2020,Q1,0.9457,152.1,5.0,108.3,19.3,2,0.00253,0.825,88.4,0.8477,-0.02263,0.02263,geen
2020-01-03 08:00:00,2020,Q1,0.9545,151.3,5.01,109.6,20.5,2,0.00276,0.8308,90.8,0.8425,-0.01165,0.01165,geen
2020-01-03 12:00:00,2020,Q1,0.9578,150.4,5.02,100.2,13.4,2,0.003,0.8305,87.5,0.845,-0.01443,0.01443,fouling
2020-01-03 16:00:00,2020,Q1,0.9514,147.7,5.06,90.7,11.0,3,0.00324,0.8386,86.7,0.8529,-0.01437,0.01437,fouling
2020-01-03 20:00:00,2020,Q1,0.9498,149.6,4.94,88.9,11.1,3,0.00349,0.8414,84.9,0.8612,-0.01986,0.01986,fouling
2020-01-04 00:00:00,2020,Q1,0.9422,150.3,5.11,99.6,15.8,3,0.00374,0.833,89.9,0.8447,-0.01174,0.01174,fouling
2020-01-04 04:00:00,2020,Q1,0.9538,151.8,5.09,108.4,20.5,3,0.00399,0.8282,92.3,0.8556,-0.02741,0.02741,fouling
2020-01-04 08:00:00,2020,Q1,0.9488,152.2,5.09,109.1,19.1,3,0.00424,0.8285,92.3,0.8441,-0.01558,0.01558,fouling
2020-01-04 12:00:00,2020,Q1,0.947,150.4,5.01,100.2,14.8,4,0.0045,0.8225,89.9,0.8496,-0.02702,0.02702,fouling
2020-01-04 16:00:00,2020,Q1,0.945,148.0,5.01,91.4,10.8,4,0.00475,0.8297,87.5,0.8502,-0.02045,0.02045,fouling
2020-01-04 20:00:00,2020,Q1,0.9545,149.1,5.03,91.6,10.6,4,0.00502,0.8344,87.2,0.8574,-0.02298,0.02298,fouling
2020-01-05 00:00:00,2020,Q1,0.9511,150.2,5.0,99.6,16.4,4,0.00528,0.8186,90.0,0.8509,-0.0323,0.0323,fouling
2020-01-05 04:00:00,2020,Q1,0.9537,151.5,5.0,109.0,20.0,4,0.00554,0.8177,92.5,0.8364,-0.01874,0.01874,fouling
2020-01-05 08:00:00,2020,Q1,0.9488,151.8,5.04,108.5,19.4,4,0.00581,0.8118,92.0,0.8426,-0.03077,0.03077,fouling
2020-01-05 12:00:00,2020,Q1,0.959,150.5,5.09,99.0,16.2,4,0.00608,0.8176,90.3,0.8443,-0.02679,0.02679,fouling
2020-01-05 16:00:00,2020,Q1,0.9583,148.5,5.03,89.5,11.2,5,0.00635,0.8205,88.1,0.8494,-0.02891,0.02891,fouling
2020-01-05 20:00:00,2020,Q1,0.9628,149.6,5.0,91.1,11.8,5,0.00662,0.8116,88.6,0.8653,-0.05368,0.05368,fouling
2020-01-06 00:00:00,2020,Q1,0.958,150.3,5.11,100.3,17.3,5,0.0069,0.8201,91.5,0.8513,-0.03114,0.03114,fouling
2020-01-06 04:00:00,2020,Q1,0.9503,152.2,5.01,110.3,20.0,5,0.00718,0.8068,93.8,0.84,-0.03323,0.03323,fouling
2020-01-06 08:00:00,2020,Q1,0.9516,151.7,4.97,107.2,18.6,5,0.00745,0.8014,92.9,0.847,-0.04567,0.04567,fouling
2020-01-06 12:00:00,2020,Q1,0.9551,150.2,5.0,99.2,17.1,6,0.00773,0.7981,93.1,0.8576,-0.0595,0.0595,fouling
2020-01-06 16:00:00,2020,Q1,0.9451,148.8,5.01,90.4,11.2,6,0.00802,0.8131,91.9,0.8588,-0.04575,0.04575,fouling
2020-01-06 20:00:00,2020,Q1,0.9438,148.7,5.07,92.7,10.0,6,0.0083,0.8098,91.3,0.8528,-0.043,0.043,fouling
2020-01-07 00:00:00,2020,Q1,0.9656,150.1,4.97,97.2,19.7,6,0.00859,0.8075,91.3,0.8524,-0.04487,0.04487,fouling
2020-01-07 04:00:00,2020,Q1,0.954,153.0,5.15,109.8,20.6,6,0.00887,0.8015,95.4,0.8476,-0.04607,0.04607,fouling
2020-01-07 08:00:00,2020,Q1,0.9501,152.3,5.04,108.1,19.3,6,0.00916,0.787,95.2,0.8413,-0.05431,0.05431,fouling
2020-01-07 12:00:00,2020,Q1,0.9558,150.1,4.96,99.3,16.3,6,0.00945,0.804,95.0,0.8502,-0.04627,0.04627,fouling
2020-01-07 16:00:00,2020,Q1,0.9458,148.2,5.02,91.0,14.7,7,0.00974,0.8106,93.5,0.8624,-0.05177,0.05177,fouling
2020-01-07 20:00:00,2020,Q1,0.9468,148.7,5.08,92.9,11.4,7,0.01004,0.8091,93.1,0.8447,-0.03564,0.03564,fouling
2020-01-08 00:00:00,2020,Q1,0.9578,150.9,5.08,99.6,15.3,7,0.01033,0.7961,95.6,0.8472,-0.05114,0.05114,fouling
2020-01-08 04:00:00,2020,Q1,0.9565,152.4,5.09,109.7,19.2,7,0.01063,0.7925,97.9,0.8434,-0.05093,0.05093,fouling
2020-01-08 08:00:00,2020,Q1,0.9444,153.7,5.09,108.5,21.3,7,0.01092,0.7916,98.0,0.8514,-0.05983,0.05983,fouling
2020-01-08 12:00:00,2020,Q1,0.9644,150.2,5.07,100.5,16.8,8,0.01122,0.7883,97.7,0.8578,-0.06943,0.06943,fouling
2020-01-08 16:00:00,2020,Q1,0.9445,149.8,5.0,92.0,11.1,8,0.01152,0.7961,94.9,0.8609,-0.06484,0.06484,fouling
2020-01-08 20:00:00,2020,Q1,0.9561,149.4,5.07,90.6,11.4,8,0.01182,0.799,95.3,0.8529,-0.05392,0.05392,fouling
2020-01-09 00:00:00,2020,Q1,0.9549,149.7,5.13,98.6,16.5,8,0.01213,0.7834,98.4,0.8577,-0.07425,0.07425,fouling
2020-01-09 04:00:00,2020,Q1,0.9653,151.7,5.12,108.3,21.4,8,0.01243,0.78,100.2,0.8462,-0.06615,0.06615,fouling
2020-01-09 08:00:00,2020,Q1,0.9633,151.9,5.06,107.7,20.6,8,0.01273,0.7762,99.4,0.8525,-0.07625,0.07625,fouling
2020-01-09 12:00:00,2020,Q1,0.9539,150.6,5.1,98.8,17.7,8,0.01304,0.782,97.1,0.8484,-0.06638,0.06638,fouling
2020-01-09 16:00:00,2020,Q1,0.9548,149.4,5.02,92.2,12.6,9,0.01335,0.7882,95.5,0.8571,-0.06887,0.06887,fouling
2020-01-09 20:00:00,2020,Q1,0.9478,148.9,5.07,92.0,12.3,9,0.01366,0.7879,98.3,0.8619,-0.074,0.074,fouling
2020-01-10 00:00:00,2020,Q1,0.951,150.2,5.06,98.7,17.9,9,0.01397,0.7707,96.8,0.8442,-0.07353,0.07353,fouling
2020-01-10 04:00:00,2020,Q1,0.9505,152.7,4.98,108.4,22.0,9,0.01428,0.7697,102.3,0.8394,-0.06974,0.06974,fouling
2020-01-10 08:00:00,2020,Q1,0.9582,153.5,5.03,108.2,20.6,9,0.01459,0.7718,102.0,0.8507,-0.07884,0.07884,fouling
2020-01-10 12:00:00,2020,Q1,0.9548,150.7,5.0,98.9,17.2,10,0.0149,0.7689,98.8,0.8532,-0.08423,0.08423,fouling
2020-01-10 16:00:00,2020,Q1,0.9463,149.6,5.06,92.0,13.1,10,0.01522,0.7759,96.5,0.8566,-0.08067,0.08067,fouling
2020-01-10 20:00:00,2020,Q1,0.9525,149.2,5.01,91.0,11.4,10,0.01553,0.7708,97.4,0.8538,-0.08301,0.08301,fouling
2020-01-11 00:00:00,2020,Q1,0.9522,151.1,5.07,99.1,17.2,10,0.01585,0.767,100.0,0.8492,-0.08227,0.08227,fouling
2020-01-11 04:00:00,2020,Q1,0.9524,153.9,5.0,108.0,22.3,10,0.01617,0.7659,105.8,0.8455,-0.0796,0.0796,fouling
