timestamp,API_voeding_kgh,excipient_voeding_kgh,glijmiddel_voeding_kgh,totaal_debiet_kgh,menger_snelheid_RPM,menger_torque_Nm,menger_temp_C,verblijftijd_sec,API_fractie,RSD_pct,NIR_RSD_pct,spec_conform,verstoring
2025-03-01 00:00:00,5.079,44.98,0.5,50.56,250,7.65,27.0,127,0.10045,,,0,normaal
2025-03-01 00:00:10,5.052,44.99,0.491,50.54,249,7.8,27.0,124,0.09997,0.5,0.3,1,normaal
2025-03-01 00:00:20,4.952,45.2,0.528,50.68,248,7.73,27.0,130,0.09771,1.48,0.83,1,normaal
2025-03-01 00:00:30,4.999,44.85,0.526,50.37,250,7.76,27.0,123,0.09925,1.21,1.36,1,normaal
2025-03-01 00:00:40,5.026,44.94,0.49,50.46,250,7.82,27.0,122,0.09962,1.05,1.3,1,normaal
2025-03-01 00:00:50,5.029,44.9,0.512,50.44,250,7.67,27.0,118,0.09971,0.95,1.4,1,normaal
2025-03-01 00:01:00,4.944,44.82,0.504,50.27,250,7.65,27.0,132,0.09835,0.96,0.74,1,normaal
2025-03-01 00:01:10,5.069,44.48,0.517,50.07,248,7.73,27.0,117,0.10125,1.13,0.94,1,normaal
2025-03-01 00:01:20,5.069,45.0,0.514,50.59,251,7.83,27.0,110,0.10019,1.08,0.98,1,normaal
2025-03-01 00:01:30,5.043,45.05,0.487,50.58,252,7.68,27.0,127,0.0997,1.02,1.24,1,normaal
2025-03-01 00:01:40,4.981,44.83,0.496,50.31,251,7.84,27.0,117,0.09901,0.99,0.66,1,normaal
2025-03-01 00:01:50,5.021,44.67,0.506,50.2,251,7.65,27.0,121,0.10002,0.95,1.04,1,normaal
2025-03-01 00:02:00,5.047,44.85,0.482,50.38,251,7.68,27.0,121,0.10018,0.92,0.8,1,normaal
2025-03-01 00:02:10,5.026,44.47,0.503,50.0,250,7.76,27.0,121,0.10052,0.92,1.13,1,normaal
2025-03-01 00:02:20,5.018,45.16,0.49,50.67,251,7.79,27.0,120,0.09903,0.9,0.47,1,normaal
2025-03-01 00:02:30,5.026,45.02,0.48,50.52,250,7.84,27.0,114,0.09948,0.87,0.6,1,normaal
2025-03-01 00:02:40,5.03,44.8,0.498,50.33,249,7.81,27.0,124,0.09994,0.85,0.43,1,normaal
2025-03-01 00:02:50,4.989,44.87,0.5,50.36,251,7.7,27.0,122,0.09907,0.84,0.67,1,normaal
2025-03-01 00:03:00,5.021,44.47,0.51,50.0,249,7.61,27.0,120,0.10042,0.83,1.13,1,normaal
2025-03-01 00:03:10,5.008,44.38,0.503,49.89,251,7.63,27.0,120,0.10039,0.83,1.24,1,normaal
2025-03-01 00:03:20,4.932,45.32,0.499,50.75,248,7.69,27.0,121,0.09719,0.98,1.1,1,normaal
2025-03-01 00:03:30,5.08,44.79,0.493,50.36,251,7.62,27.0,114,0.10088,0.99,1.21,1,normaal
2025-03-01 00:03:40,5.032,45.53,0.505,51.07,250,7.65,27.0,124,0.09853,1.0,1.01,1,normaal
2025-03-01 00:03:50,5.135,44.74,0.502,50.38,250,7.75,27.0,121,0.10192,1.09,0.68,1,normaal
2025-03-01 00:04:00,5.055,45.25,0.506,50.81,250,7.68,27.0,121,0.09948,1.07,0.84,1,normaal
2025-03-01 00:04:10,4.983,44.78,0.515,50.27,250,7.75,27.0,114,0.09912,1.05,1.6,1,normaal
2025-03-01 00:04:20,5.051,44.94,0.5,50.5,251,7.7,27.0,124,0.10003,1.03,1.33,1,normaal
2025-03-01 00:04:30,5.091,44.61,0.506,50.2,250,7.72,27.0,126,0.10142,1.07,1.22,1,normaal
2025-03-01 00:04:40,5.058,44.88,0.504,50.44,250,7.78,27.0,127,0.10028,1.05,1.25,1,normaal
2025-03-01 00:04:50,5.089,44.96,0.512,50.56,250,7.64,27.0,126,0.10066,1.05,0.79,1,normaal
2025-03-01 00:05:00,4.954,44.49,0.512,49.96,249,7.91,27.0,121,0.09916,1.05,1.34,1,normaal
2025-03-01 00:05:10,5.021,45.13,0.504,50.65,250,7.67,27.0,120,0.09912,1.05,0.79,1,normaal
2025-03-01 00:05:20,5.086,45.06,0.488,50.63,251,7.61,27.0,122,0.10046,0.99,0.9,1,normaal
2025-03-01 00:05:30,5.093,45.26,0.493,50.85,250,7.78,27.0,117,0.10017,0.98,0.69,1,normaal
2025-03-01 00:05:40,5.127,44.51,0.509,50.15,248,7.79,27.0,113,0.10223,1.07,0.59,1,normaal
2025-03-01 00:05:50,5.127,44.93,0.499,50.55,250,7.71,27.0,120,0.10142,1.11,0.69,1,normaal
2025-03-01 00:06:00,5.067,44.94,0.495,50.51,251,7.73,27.0,128,0.10033,1.06,0.87,1,normaal
2025-03-01 00:06:10,5.004,45.41,0.483,50.9,249,7.79,27.0,122,0.09832,1.09,0.88,1,normaal
2025-03-01 00:06:20,5.055,45.0,0.496,50.55,250,7.48,27.0,113,0.09998,1.08,0.77,1,normaal
2025-03-01 00:06:30,5.034,44.93,0.52,50.49,250,7.63,27.0,120,0.09971,1.08,0.95,1,normaal
2025-03-01 00:06:40,5.163,44.57,0.504,50.24,249,7.74,27.0,115,0.10278,1.19,0.89,1,normaal
2025-03-01 00:06:50,5.224,45.21,0.492,50.93,251,7.71,27.0,126,0.10257,1.27,0.57,1,normaal
2025-03-01 00:07:00,5.067,44.81,0.499,50.37,250,7.67,27.0,122,0.10059,1.28,0.74,1,normaal
2025-03-01 00:07:10,5.094,45.04,0.506,50.64,250,7.75,27.0,117,0.10059,1.28,1.58,1,normaal
2025-03-01 00:07:20,5.06,44.62,0.5,50.18,252,7.73,27.0,127,0.10084,1.26,0.83,1,normaal
2025-03-01 00:07:30,5.178,45.06,0.506,50.75,251,7.85,27.0,122,0.10204,1.3,1.04,1,normaal
2025-03-01 00:07:40,5.088,45.0,0.5,50.59,249,7.71,27.0,128,0.10058,1.3,0.95,1,normaal
2025-03-01 00:07:50,5.026,45.61,0.511,51.15,251,7.95,27.0,114,0.09826,1.33,0.89,1,normaal
2025-03-01 00:08:00,5.103,45.33,0.466,50.9,251,7.87,27.0,121,0.10025,1.33,1.14,1,normaal
2025-03-01 00:08:10,5.041,45.68,0.498,51.22,249,7.63,27.0,118,0.09841,1.38,1.54,1,normaal
2025-03-01 00:08:20,5.113,45.37,0.495,50.97,249,7.56,27.0,121,0.10031,1.25,0.84,1,normaal
2025-03-01 00:08:30,5.057,45.18,0.507,50.74,248,7.55,26.9,122,0.09966,1.25,0.78,1,normaal
2025-03-01 00:08:40,5.026,44.71,0.497,50.23,250,7.74,27.0,116,0.10007,1.2,1.02,1,normaal
2025-03-01 00:08:50,5.122,45.33,0.498,50.95,250,7.72,27.0,113,0.10054,1.17,1.79,1,normaal
2025-03-01 00:09:00,5.241,44.8,0.494,50.53,249,7.71,27.0,116,0.10372,1.31,2.07,1,normaal
2025-03-01 00:09:10,5.051,44.93,0.493,50.48,250,7.68,27.0,118,0.10008,1.29,1.4,1,normaal
2025-03-01 00:09:20,5.067,45.44,0.517,51.03,250,7.75,27.0,119,0.0993,1.31,1.6,1,normaal
2025-03-01 00:09:30,5.139,44.82,0.493,50.45,249,7.79,27.0,114,0.10186,1.32,1.08,1,normaal
2025-03-01 00:09:40,5.166,44.73,0.487,50.39,249,7.72,27.0,119,0.10252,1.37,1.0,1,normaal
2025-03-01 00:09:50,5.081,45.06,0.506,50.65,249,7.69,27.0,123,0.10033,1.37,1.47,1,normaal
2025-03-01 00:10:00,5.134,44.66,0.506,50.3,250,7.67,27.0,124,0.10206,1.37,1.48,1,normaal
2025-03-01 00:10:10,5.089,45.1,0.506,50.69,249,7.87,27.0,122,0.1004,1.34,1.48,1,normaal
2025-03-01 00:10:20,5.089,45.06,0.491,50.64,251,7.69,27.0,116,0.10049,1.34,1.22,1,normaal
2025-03-01 00:10:30,5.159,44.98,0.501,50.64,249,7.61,27.0,116,0.10187,1.36,1.5,1,normaal
2025-03-01 00:10:40,5.061,44.93,0.505,50.49,251,7.63,27.0,113,0.10023,1.33,1.43,1,normaal
2025-03-01 00:10:50,5.105,44.91,0.476,50.49,249,7.62,27.0,121,0.1011,1.33,1.36,1,normaal
2025-03-01 00:11:00,5.033,45.02,0.508,50.56,249,7.76,27.0,115,0.09954,1.34,1.28,1,normaal
2025-03-01 00:11:10,5.065,44.07,0.485,49.62,249,7.63,27.0,126,0.10208,1.29,0.88,1,normaal
2025-03-01 00:11:20,5.096,45.24,0.509,50.85,249,7.71,27.0,128,0.10023,1.29,1.18,1,normaal
2025-03-01 00:11:30,5.026,45.37,0.489,50.89,249,7.63,27.0,127,0.09877,1.32,1.44,1,normaal
2025-03-01 00:11:40,5.147,44.92,0.5,50.56,250,7.71,27.0,122,0.1018,1.28,1.63,1,normaal
2025-03-01 00:11:50,5.092,44.9,0.497,50.49,250,7.66,27.0,112,0.10086,1.23,1.22,1,normaal
2025-03-01 00:12:00,5.058,44.74,0.489,50.29,250,7.58,27.0,119,0.10059,1.23,1.8,1,normaal
2025-03-01 00:12:10,5.117,45.42,0.49,51.03,249,7.51,27.0,121,0.10028,1.24,1.95,1,normaal
2025-03-01 00:12:20,5.065,44.92,0.497,50.48,250,7.7,27.0,109,0.10034,1.24,1.68,1,normaal
2025-03-01 00:12:30,5.073,45.02,0.49,50.58,249,7.57,27.0,122,0.1003,1.21,0.87,1,normaal
2025-03-01 00:12:40,5.164,44.88,0.485,50.53,250,7.67,27.0,123,0.1022,1.24,0.58,1,normaal
2025-03-01 00:12:50,5.161,45.2,0.494,50.85,251,7.83,27.0,113,0.10149,1.17,1.49,1,normaal
2025-03-01 00:13:00,5.12,44.7,0.515,50.34,250,7.87,27.0,120,0.10172,1.18,1.35,1,normaal
2025-03-01 00:13:10,5.059,45.17,0.489,50.71,251,7.7,27.0,109,0.09976,1.11,1.19,1,normaal
2025-03-01 00:13:20,5.106,45.03,0.501,50.64,251,7.82,27.0,134,0.10084,1.1,0.69,1,normaal
2025-03-01 00:13:30,4.994,44.94,0.513,50.44,251,7.64,27.0,122,0.09901,1.14,1.15,1,normaal
2025-03-01 00:13:40,5.135,44.69,0.496,50.32,250,7.78,27.0,123,0.10205,1.15,1.16,1,normaal
2025-03-01 00:13:50,5.136,45.3,0.504,50.94,249,7.77,27.0,122,0.10083,1.15,1.02,1,normaal
2025-03-01 00:14:00,5.166,45.02,0.516,50.7,249,7.88,27.0,121,0.10189,1.03,1.51,1,normaal
2025-03-01 00:14:10,5.19,44.95,0.486,50.63,251,7.63,27.0,128,0.1025,1.07,1.65,1,normaal
