timestamp,grade,in_transitie,temp_setpoint_C,temp_actueel_C,temp_sensor_C,druk_setpoint_bar,druk_actueel_bar,katalysator_flow_kgh,monomeer_flow_kgh,waterstof_flow_kgh,comonomeer_flow_kgh,koelwater_inlet_C,koelwater_outlet_C,koelwater_flow_m3h,melt_flow_index_g10min,viscositeit_Pas,dichtheid_gcm3,vermogen_kW,verstoring
2025-01-01 00:00:00,HDPE_A,0,180.0,180.0,180.0,25.0,25.0,1.974,99.5,0.506,0.1,24.4,39.4,49.1,1.95,2546.7,0.95,81.4,normaal
2025-01-01 00:01:00,HDPE_A,0,180.0,180.1,180.1,25.0,24.86,2.006,100.8,0.485,0.11,24.7,39.3,49.4,1.86,2686.9,0.948,79.2,normaal
2025-01-01 00:02:00,HDPE_A,0,180.0,179.86,179.86,25.0,24.79,2.035,99.6,0.501,0.1,24.7,39.2,51.8,2.08,2405.7,0.9489,80.2,normaal
2025-01-01 00:03:00,HDPE_A,0,180.0,179.97,179.97,25.0,24.95,2.005,99.7,0.484,0.08,25.0,40.0,50.6,1.91,2613.6,0.9479,81.4,normaal
2025-01-01 00:04:00,HDPE_A,0,180.0,179.89,179.89,25.0,24.83,2.001,99.3,0.489,0.11,25.5,39.8,51.1,1.96,2582.0,0.949,80.0,normaal
2025-01-01 00:05:00,HDPE_A,0,180.0,179.86,179.86,25.0,25.01,2.022,100.0,0.507,0.1,24.9,40.4,48.9,2.12,2348.4,0.9493,80.8,normaal
2025-01-01 00:06:00,HDPE_A,0,180.0,179.71,179.71,25.0,24.94,2.012,100.6,0.491,0.11,25.1,38.7,49.8,2.13,2318.8,0.9485,77.9,normaal
2025-01-01 00:07:00,HDPE_A,0,180.0,179.94,179.94,25.0,25.0,1.997,100.2,0.478,0.09,24.9,38.9,48.8,2.22,2281.8,0.9498,84.4,normaal
2025-01-01 00:08:00,HDPE_A,0,180.0,179.95,179.95,25.0,25.19,1.997,100.6,0.495,0.1,24.7,39.8,50.6,1.73,2841.8,0.9503,81.8,normaal
2025-01-01 00:09:00,HDPE_A,0,180.0,180.0,180.0,25.0,25.44,2.011,99.1,0.496,0.09,24.9,39.6,51.2,2.06,2416.4,0.9495,81.5,normaal
2025-01-01 00:10:00,HDPE_A,0,180.0,179.85,179.85,25.0,25.53,1.964,100.1,0.493,0.1,24.8,40.6,49.9,1.9,2638.5,0.9495,79.5,normaal
2025-01-01 00:11:00,HDPE_A,0,180.0,179.91,179.91,25.0,25.46,1.992,99.8,0.503,0.09,25.4,39.2,50.8,2.09,2381.8,0.9494,81.1,normaal
2025-01-01 00:12:00,HDPE_A,0,180.0,180.01,180.01,25.0,25.74,1.989,100.5,0.511,0.09,25.1,40.7,48.8,1.91,2623.0,0.9482,80.1,normaal
2025-01-01 00:13:00,HDPE_A,0,180.0,180.23,180.23,25.0,25.56,1.963,100.6,0.494,0.1,24.9,38.7,50.0,2.19,2323.1,0.9504,84.7,normaal
2025-01-01 00:14:00,HDPE_A,0,180.0,180.2,180.2,25.0,25.47,1.982,99.7,0.501,0.1,25.6,39.8,50.5,2.19,2325.4,0.9501,80.6,normaal
2025-01-01 00:15:00,HDPE_A,0,180.0,180.48,180.48,25.0,25.44,2.002,99.8,0.494,0.12,24.6,38.8,49.5,1.86,2640.9,0.948,79.1,normaal
2025-01-01 00:16:00,HDPE_A,0,180.0,180.22,180.22,25.0,25.55,2.006,99.9,0.49,0.1,25.4,40.2,48.0,2.34,2136.2,0.9493,81.7,normaal
2025-01-01 00:17:00,HDPE_A,0,180.0,180.13,180.13,25.0,25.29,1.991,99.8,0.512,0.09,24.8,38.8,50.7,2.1,2323.2,0.9507,81.2,normaal
2025-01-01 00:18:00,HDPE_A,0,180.0,180.1,180.1,25.0,25.23,2.01,100.4,0.51,0.09,25.6,39.8,49.8,1.71,2893.5,0.9526,82.3,normaal
2025-01-01 00:19:00,HDPE_A,0,180.0,180.18,180.18,25.0,25.19,2.005,98.9,0.505,0.1,25.0,39.7,50.5,2.13,2392.7,0.9496,84.2,normaal
2025-01-01 00:20:00,HDPE_A,0,180.0,180.19,180.19,25.0,25.46,1.979,100.4,0.496,0.09,25.4,39.7,50.0,1.94,2524.1,0.9469,83.1,normaal
2025-01-01 00:21:00,HDPE_A,0,180.0,180.06,180.06,25.0,25.53,2.004,99.8,0.495,0.11,25.4,40.5,47.9,1.73,2908.8,0.9493,82.7,normaal
2025-01-01 00:22:00,HDPE_A,0,180.0,180.25,180.25,25.0,25.57,2.002,99.8,0.502,0.09,25.4,40.4,49.8,1.99,2494.3,0.9485,81.6,normaal
2025-01-01 00:23:00,HDPE_A,0,180.0,180.09,180.09,25.0,25.63,1.96,100.8,0.504,0.1,25.6,39.5,50.5,2.15,2300.1,0.9493,79.0,normaal
2025-01-01 00:24:00,HDPE_A,0,180.0,180.17,180.17,25.0,25.47,2.007,100.5,0.482,0.11,25.3,40.4,51.5,2.14,2325.7,0.9486,81.9,normaal
2025-01-01 00:25:00,HDPE_A,0,180.0,180.03,180.03,25.0,25.31,2.007,100.3,0.499,0.08,25.1,39.8,52.0,2.12,2369.3,0.9481,82.6,normaal
2025-01-01 00:26:00,HDPE_A,0,180.0,180.05,180.05,25.0,25.29,2.012,100.8,0.495,0.1,25.2,39.3,51.2,1.89,2623.3,0.9494,77.4,normaal
2025-01-01 00:27:00,HDPE_A,0,180.0,179.91,179.91,25.0,25.31,1.995,100.1,0.508,0.09,24.9,38.3,49.1,2.08,2345.7,0.9469,82.7,normaal
2025-01-01 00:28:00,HDPE_A,0,180.0,180.12,180.12,25.0,25.41,1.974,100.3,0.508,0.1,25.3,40.2,49.3,1.85,2683.0,0.9497,80.5,normaal
2025-01-01 00:29:00,HDPE_A,0,180.0,179.94,179.94,25.0,25.53,2.034,99.8,0.497,0.1,24.9,39.7,51.6,1.83,2709.4,0.9509,81.2,normaal
2025-01-01 00:30:00,HDPE_A,0,180.0,179.72,179.72,25.0,25.64,2.008,99.4,0.507,0.11,25.4,39.7,51.0,2.06,2417.4,0.9513,79.5,normaal
2025-01-01 00:31:00,HDPE_A,0,180.0,180.15,180.15,25.0,25.77,2.03,99.3,0.497,0.1,25.3,40.2,49.2,2.12,2310.6,0.9498,80.0,normaal
2025-01-01 00:32:00,HDPE_A,0,180.0,180.21,180.21,25.0,25.86,2.044,99.9,0.513,0.08,25.0,39.9,48.5,1.96,2586.7,0.9509,78.8,normaal
2025-01-01 00:33:00,HDPE_A,0,180.0,180.16,180.16,25.0,25.73,1.977,99.4,0.513,0.09,26.0,40.5,51.4,1.87,2680.8,0.949,80.9,normaal
2025-01-01 00:34:00,HDPE_A,0,180.0,180.08,180.08,25.0,25.66,1.978,100.6,0.497,0.1,25.3,40.1,49.5,2.15,2326.0,0.948,80.8,normaal
2025-01-01 00:35:00,HDPE_A,0,180.0,180.13,180.13,25.0,25.57,1.999,100.8,0.505,0.1,25.2,38.9,49.3,1.9,2635.8,0.9488,81.7,normaal
