timestamp,buitentemp_C,productiebelasting,stoom_tonh,stoom_druk_bar,boiler_rendement,gasverbruik_Nm3h,elektriciteit_kW,piekbelasting,koelwater_m3h,koelwater_aanvoer_C,koelwater_retour_C,koeltoren_approach_C,perslucht_Nm3h,compressor_vermogen_kW,stikstof_Nm3h,energiekost_EURh,CO2_kgh,onderhoudsstop
2025-01-01 00:00:00,3.0,0.479,19.0,9.4,0.891,1692,244,0,92,7.8,11.4,4.8,155,23,23,623,3479,0
2025-01-01 00:15:00,-1.0,0.559,23.8,9.9,0.881,2150,360,0,105,4.3,8.8,5.3,155,20,31,798,4445,0
2025-01-01 00:30:00,0.7,0.536,22.0,9.8,0.88,1987,316,0,109,5.7,10.6,5.0,163,26,28,736,4109,0
2025-01-01 00:45:00,-0.7,0.496,23.2,9.9,0.885,2098,309,0,102,4.3,7.8,5.0,153,25,27,774,4314,0
2025-01-01 01:00:00,0.8,0.504,21.1,9.4,0.883,1907,311,0,120,5.9,9.8,5.0,156,26,28,707,3943,0
2025-01-01 01:15:00,1.5,0.558,23.7,9.8,0.882,2158,345,0,106,6.2,11.2,4.7,162,23,25,799,4450,0
2025-01-01 01:30:00,-0.4,0.487,22.0,9.7,0.881,1992,304,0,98,4.5,8.1,4.9,153,25,26,736,4108,0
2025-01-01 01:45:00,1.3,0.566,24.1,10.0,0.888,2146,320,0,124,6.7,10.9,5.4,165,28,24,792,4420,0
2025-01-01 02:00:00,1.1,0.515,23.9,10.0,0.883,2174,306,0,103,5.9,9.6,4.9,152,19,25,800,4475,0
2025-01-01 02:15:00,4.2,0.536,20.8,9.6,0.883,1875,304,0,103,9.4,14.4,5.2,174,25,24,695,3878,0
2025-01-01 02:30:00,4.3,0.531,19.8,9.5,0.877,1804,264,0,92,9.3,13.6,5.0,169,27,29,665,3713,0
2025-01-01 02:45:00,4.2,0.522,22.8,9.8,0.88,2066,283,0,99,8.8,13.3,4.6,154,18,25,759,4240,0
2025-01-01 03:00:00,7.4,0.551,19.6,9.4,0.89,1763,288,0,96,12.1,16.7,4.8,155,22,26,653,3635,0
2025-01-01 03:15:00,4.8,0.554,21.4,9.4,0.884,1950,292,0,99,9.9,14.9,5.1,156,22,29,720,4017,0
2025-01-01 03:30:00,4.4,0.539,20.9,9.7,0.89,1880,293,0,119,9.5,14.1,5.0,161,25,28,696,3884,0
2025-01-01 03:45:00,4.1,0.576,22.4,9.7,0.886,2019,292,0,109,8.9,13.9,4.8,157,23,33,744,4161,0
2025-01-01 04:00:00,2.7,0.66,27.1,10.3,0.881,2452,358,0,124,7.5,12.7,4.7,205,32,37,904,5042,0
2025-01-01 04:15:00,5.6,0.645,24.5,10.0,0.887,2221,340,0,123,10.6,15.1,5.0,186,32,34,821,4575,0
2025-01-01 04:30:00,3.4,0.626,24.9,9.9,0.884,2254,345,0,119,8.6,13.8,5.2,193,30,25,833,4643,0
2025-01-01 04:45:00,7.6,0.629,21.0,9.5,0.886,1909,331,0,128,12.6,18.2,5.0,184,23,32,710,3955,0
2025-01-01 05:00:00,7.8,0.62,22.6,9.9,0.878,2056,312,0,117,13.0,19.0,5.2,180,25,33,760,4241,0
2025-01-01 05:15:00,3.0,0.669,25.1,10.0,0.878,2276,387,0,137,7.8,13.1,4.8,209,33,33,846,4710,0
2025-01-01 05:30:00,7.0,0.675,26.1,10.3,0.879,2361,341,0,154,11.8,16.7,4.8,194,27,34,870,4859,0
2025-01-01 05:45:00,7.5,0.718,24.9,9.9,0.889,2236,354,0,159,12.3,18.5,4.8,206,31,36,828,4612,0
2025-01-01 06:00:00,4.3,0.704,26.2,10.1,0.88,2369,375,0,134,8.9,14.9,4.6,217,36,37,877,4888,0
2025-01-01 06:15:00,6.5,0.722,27.2,10.2,0.873,2498,379,0,136,11.5,17.7,5.0,223,34,35,922,5148,0
2025-01-01 06:30:00,5.8,0.726,26.9,10.1,0.881,2433,372,0,142,10.4,15.8,4.6,223,37,37,899,5014,0
2025-01-01 06:45:00,4.7,0.786,29.3,10.4,0.873,2701,423,0,144,9.6,15.7,4.8,229,35,46,999,5575,0
2025-01-01 07:00:00,6.7,0.771,28.8,10.5,0.864,2668,396,0,167,11.8,17.1,5.1,243,34,36,985,5485,0
2025-01-01 07:15:00,3.2,0.708,27.7,10.3,0.875,2536,382,0,148,7.9,13.8,4.7,221,32,37,936,5221,0
2025-01-01 07:30:00,4.7,0.804,29.2,10.5,0.879,2656,431,0,168,9.2,16.1,4.5,256,37,39,985,5482,0
2025-01-01 07:45:00,8.8,0.819,27.8,10.2,0.88,2537,422,0,161,13.5,19.5,4.6,234,38,36,942,5243,0
2025-01-01 08:00:00,2.5,0.788,29.9,10.5,0.867,2772,429,0,171,7.6,13.3,5.1,236,36,38,1025,5711,0
2025-01-01 08:15:00,7.6,0.836,28.6,10.3,0.874,2612,421,0,166,12.8,19.4,5.2,274,36,42,968,5386,0
2025-01-01 08:30:00,3.6,0.804,30.6,10.6,0.867,2832,430,0,158,8.8,15.3,5.2,237,34,38,1046,5846,0
2025-01-01 08:45:00,5.9,0.838,28.0,10.4,0.883,2534,438,0,170,10.9,17.9,5.0,227,37,40,943,5247,0
2025-01-01 09:00:00,5.9,0.873,31.0,10.4,0.87,2846,463,0,165,10.8,17.7,4.8,261,40,45,1055,5877,0
2025-01-01 09:15:00,3.2,0.842,30.5,10.7,0.874,2792,476,0,158,8.2,15.0,5.0,269,39,47,1037,5776,0
2025-01-01 09:30:00,2.6,0.856,32.6,11.0,0.875,2982,469,0,184,7.7,14.6,5.2,246,38,39,1104,6153,0
2025-01-01 09:45:00,2.5,0.897,32.7,10.8,0.869,3001,487,0,183,7.7,14.6,5.2,260,36,48,1112,6198,0
2025-01-01 10:00:00,4.5,0.836,30.9,10.6,0.868,2855,441,0,163,9.8,16.1,5.3,249,39,41,1056,5893,0
2025-01-01 10:15:00,1.8,0.921,35.2,11.0,0.875,3202,507,0,185,7.1,15.0,5.3,272,43,44,1185,6608,0
2025-01-01 10:30:00,5.8,0.94,34.2,10.9,0.871,3161,485,0,186,10.4,17.5,4.6,269,39,54,1168,6511,0
2025-01-01 10:45:00,-1.2,0.86,33.9,10.9,0.869,3100,486,0,151,3.7,10.3,4.9,226,33,45,1146,6402,0
2025-01-01 11:00:00,1.6,0.893,34.0,10.9,0.866,3141,500,0,160,7.0,14.5,5.4,271,41,45,1163,6479,0
2025-01-01 11:15:00,3.1,0.891,34.2,10.8,0.87,3146,495,0,174,7.9,14.0,4.8,270,41,44,1164,6487,0
2025-01-01 11:30:00,1.3,0.859,32.7,10.9,0.875,2976,450,0,161,6.3,12.8,5.0,280,43,41,1099,6138,0
2025-01-01 11:45:00,3.4,0.889,31.6,10.7,0.869,2931,454,0,161,8.7,15.8,5.3,280,45,46,1083,6047,0
2025-01-01 12:00:00,1.7,0.928,35.1,11.0,0.868,3244,484,0,181,6.8,13.2,5.1,279,40,43,1197,6685,0
2025-01-01 12:15:00,-0.9,0.909,35.4,10.9,0.868,3266,523,0,174,4.2,11.5,5.1,286,41,43,1209,6744,0
2025-01-01 12:30:00,-1.2,0.91,37.0,11.4,0.872,3402,499,0,186,4.0,12.0,5.2,254,37,44,1254,7005,0
2025-01-01 12:45:00,0.4,0.949,34.8,11.1,0.877,3166,519,0,198,5.6,12.9,5.2,287,43,46,1174,6540,0
2025-01-01 13:00:00,-2.3,0.939,38.1,11.2,0.883,3472,526,0,180,2.9,9.4,5.2,273,41,44,1282,7159,0
2025-01-01 13:15:00,-4.4,0.881,38.0,11.3,0.874,3472,530,0,172,0.8,7.6,5.2,260,42,46,1282,7151,0
2025-01-01 13:30:00,-1.6,0.867,34.3,10.9,0.874,3123,481,0,172,3.8,9.6,5.4,263,35,44,1154,6437,0
2025-01-01 13:45:00,-3.8,0.932,37.6,11.2,0.866,3477,546,0,191,1.3,8.9,5.0,277,39,47,1286,7172,0
2025-01-01 14:00:00,-6.9,0.848,36.7,11.1,0.87,3371,499,0,178,-1.7,4.5,5.1,266,41,39,1243,6941,0
2025-01-01 14:15:00,-2.3,0.868,35.9,11.1,0.875,3279,477,0,186,2.5,9.7,4.8,247,38,41,1209,6748,0
2025-01-01 14:30:00,-8.7,0.856,38.6,11.2,0.877,3500,530,0,174,-3.8,3.5,4.9,248,33,41,1292,7207,0
2025-01-01 14:45:00,-0.7,0.87,33.9,10.8,0.871,3103,499,0,169,4.4,11.4,5.1,282,44,43,1149,6418,0
