timestamp,schroefsnelheid_RPM,voeding_kgh,torque_pct,SME_kWhkg,die_druk_bar,smelt_temp_C,zone1_temp_C,zone1_sp_C,zone2_temp_C,zone2_sp_C,zone3_temp_C,zone3_sp_C,zone4_temp_C,zone4_sp_C,zone5_temp_C,zone5_sp_C,zone6_temp_C,zone6_sp_C,zone7_temp_C,zone7_sp_C,zone8_temp_C,zone8_sp_C,API_gehalte_pct,degradatie_pct,Raman_API_pct,Raman_gemeten,event
2025-09-01 00:00:00,199,4.969,36.9,0.7649,24.7,167.6,40.1,40,77.3,80,118.1,120,148.4,150,159.2,160,169.3,170,165.1,165,155.4,155,30.78,0.197,30.61,1,normaal
2025-09-01 00:00:05,201,4.999,37.7,0.7915,25.2,167.8,39.5,40,77.9,80,118.6,120,148.5,150,159.8,160,169.8,170,165.6,165,156.1,155,31.01,0.208,,0,normaal
2025-09-01 00:00:10,198,5.048,37.2,0.7664,25.5,167.5,39.8,40,77.5,80,116.9,120,148.2,150,159.7,160,169.5,170,166.1,165,155.1,155,30.56,0.187,,0,normaal
2025-09-01 00:00:15,201,4.927,36.3,0.7721,24.4,168.0,39.5,40,77.9,80,117.7,120,148.4,150,159.7,160,169.3,170,165.4,165,155.4,155,30.47,0.184,,0,normaal
2025-09-01 00:00:20,199,4.977,36.6,0.7676,25.3,168.0,39.3,40,77.8,80,118.5,120,148.0,150,159.0,160,169.0,170,165.7,165,155.5,155,30.36,0.341,,0,normaal
2025-09-01 00:00:25,200,4.951,37.7,0.7965,25.8,168.2,40.0,40,77.8,80,117.2,120,148.3,150,158.9,160,169.6,170,165.4,165,155.7,155,30.49,0.2,,0,normaal
2025-09-01 00:00:30,200,4.95,35.9,0.7493,25.5,168.3,40.1,40,78.6,80,116.8,120,148.3,150,159.0,160,169.4,170,165.0,165,156.0,155,30.4,0.251,30.94,1,normaal
2025-09-01 00:00:35,201,5.091,36.6,0.7747,26.2,168.2,40.0,40,77.6,80,117.6,120,148.7,150,159.3,160,170.2,170,165.9,165,155.4,155,30.31,0.227,,0,normaal
2025-09-01 00:00:40,200,5.025,36.7,0.7812,25.1,169.0,40.6,40,77.9,80,118.5,120,148.1,150,159.4,160,169.4,170,164.8,165,155.6,155,30.87,0.212,,0,normaal
2025-09-01 00:00:45,201,5.122,36.4,0.7524,25.4,167.6,41.4,40,78.4,80,118.5,120,147.9,150,159.0,160,169.9,170,165.7,165,155.0,155,30.25,0.176,,0,normaal
2025-09-01 00:00:50,201,4.999,37.6,0.8066,25.3,169.1,40.7,40,78.2,80,117.9,120,148.1,150,159.1,160,169.3,170,165.7,165,156.3,155,31.35,0.214,,0,normaal
2025-09-01 00:00:55,200,5.059,37.0,0.7804,25.0,167.1,39.8,40,78.3,80,118.3,120,149.2,150,160.0,160,169.5,170,164.7,165,156.8,155,30.46,0.356,,0,normaal
2025-09-01 00:01:00,203,5.046,37.0,0.778,25.1,168.1,40.1,40,77.7,80,118.2,120,148.0,150,159.3,160,169.1,170,164.1,165,155.4,155,30.9,0.182,30.33,1,normaal
2025-09-01 00:01:05,202,5.071,37.4,0.7736,25.5,168.0,39.8,40,78.7,80,117.8,120,148.7,150,159.3,160,168.9,170,165.6,165,155.9,155,30.36,0.186,,0,normaal
2025-09-01 00:01:10,200,5.069,37.2,0.7512,25.7,168.0,40.4,40,78.1,80,117.4,120,148.5,150,159.1,160,169.5,170,166.0,165,155.7,155,30.9,0.225,,0,normaal
2025-09-01 00:01:15,202,5.041,37.6,0.7931,25.6,167.8,39.9,40,78.1,80,118.6,120,147.2,150,159.2,160,169.9,170,165.2,165,155.7,155,30.8,0.195,,0,normaal
2025-09-01 00:01:20,202,5.06,37.1,0.767,25.3,167.5,39.8,40,78.0,80,117.2,120,148.6,150,159.6,160,169.8,170,166.0,165,155.4,155,30.29,0.184,,0,normaal
2025-09-01 00:01:25,205,5.101,37.4,0.7887,25.4,167.6,40.0,40,78.3,80,118.1,120,148.0,150,158.9,160,169.4,170,165.4,165,155.3,155,30.89,0.21,,0,normaal
2025-09-01 00:01:30,203,5.131,36.7,0.7541,25.9,168.8,38.5,40,78.8,80,117.8,120,149.0,150,159.0,160,169.5,170,165.0,165,155.5,155,31.1,0.252,31.73,1,normaal
2025-09-01 00:01:35,202,5.082,37.0,0.7787,24.7,167.8,39.5,40,77.9,80,117.8,120,148.7,150,159.4,160,169.5,170,165.0,165,154.8,155,30.1,0.188,,0,normaal
2025-09-01 00:01:40,206,5.137,38.2,0.7909,25.9,168.9,40.5,40,77.2,80,117.7,120,148.2,150,160.7,160,170.0,170,164.6,165,155.1,155,30.64,0.303,,0,normaal
