sample_id,site,temperatuur_C,druk_bar,debiet_kgh,luchtvochtigheid_pct,roersnelheid_RPM,API_zuiverheid_pct,excipient_vocht_pct,equipment_leeftijd_jaar,kwaliteitsscore,dissolutie_pct,goedgekeurd
Site_NL-0000,Site_NL,150.0,4.79,98.5,47.1,255.0,99.41,2.65,2,88.4,86.8,1
Site_NL-0001,Site_NL,147.6,5.26,102.2,44.9,299.0,99.27,2.78,2,89.3,90.5,1
Site_NL-0002,Site_NL,149.2,4.85,101.8,48.7,268.0,99.23,2.46,2,86.3,87.3,1
Site_NL-0003,Site_NL,150.0,5.1,99.5,49.4,265.0,99.13,2.5,2,89.2,86.4,1
Site_NL-0004,Site_NL,151.2,5.39,104.7,51.0,272.0,99.59,2.89,2,88.9,90.7,1
Site_NL-0005,Site_NL,145.1,4.64,100.5,42.9,237.0,99.49,3.14,2,82.1,87.7,1
Site_NL-0006,Site_NL,148.5,4.98,94.8,48.1,267.0,99.59,2.35,2,88.0,86.4,1
Site_NL-0007,Site_NL,152.3,4.87,96.9,40.0,273.0,99.36,2.34,2,91.9,90.0,1
Site_NL-0008,Site_NL,150.8,4.5,105.9,48.7,258.0,99.53,2.02,2,89.3,90.0,1
Site_NL-0009,Site_NL,146.0,4.66,93.6,42.8,277.0,99.49,2.58,2,87.4,90.5,1
Site_NL-0010,Site_NL,148.1,5.0,106.4,52.5,295.0,99.61,2.48,2,88.5,89.3,1
Site_NL-0011,Site_NL,148.5,5.24,95.9,50.1,307.0,99.52,2.08,2,90.3,88.8,1
Site_NL-0012,Site_NL,151.8,4.37,100.9,41.9,268.0,99.65,2.96,2,88.5,91.3,1
Site_NL-0013,Site_NL,147.8,4.98,100.5,47.1,278.0,99.48,2.46,2,86.9,88.9,1
Site_NL-0014,Site_NL,150.8,4.87,97.3,45.4,281.0,99.62,2.33,2,88.7,89.3,1
Site_NL-0015,Site_NL,153.4,4.89,94.9,43.7,275.0,99.67,2.62,2,90.7,94.5,1
Site_NL-0016,Site_NL,150.1,5.45,99.4,45.0,278.0,99.33,2.29,2,91.1,89.0,1
Site_NL-0017,Site_NL,145.9,4.85,101.1,43.2,268.0,99.51,2.39,2,86.6,90.9,1
Site_NL-0018,Site_NL,152.9,5.22,105.7,41.5,232.0,99.6,2.95,2,86.0,90.9,1
Site_NL-0019,Site_NL,148.8,5.15,103.4,45.3,295.0,99.38,2.44,2,88.5,88.3,1
Site_NL-0020,Site_NL,148.1,5.1,99.9,50.0,250.0,99.75,2.51,2,88.0,87.5,1
Site_NL-0021,Site_NL,147.2,4.49,100.3,47.3,277.0,99.51,2.75,2,84.7,91.8,1
Site_NL-0022,Site_NL,147.3,5.26,92.4,43.4,239.0,99.7,2.61,2,90.1,85.9,1
Site_NL-0023,Site_NL,149.6,5.12,97.1,40.4,248.0,99.32,2.54,2,90.9,90.9,1
Site_NL-0024,Site_NL,149.6,5.17,97.6,43.7,246.0,99.25,2.2,2,87.3,89.1,1
Site_NL-0025,Site_NL,147.2,4.71,100.8,47.3,268.0,99.15,2.28,2,88.5,87.1,1
Site_NL-0026,Site_NL,151.1,5.16,102.9,47.3,281.0,99.59,2.31,2,89.5,90.7,1
Site_NL-0027,Site_NL,154.4,4.83,85.9,48.2,250.0,99.52,2.16,2,91.5,92.7,1
Site_NL-0028,Site_NL,150.9,5.11,91.9,46.6,274.0,99.7,2.43,2,88.8,88.6,1
Site_NL-0029,Site_NL,147.8,4.5,102.9,47.6,250.0,99.71,2.73,2,86.4,84.1,1
Site_NL-0030,Site_NL,151.4,5.13,97.2,45.5,257.0,99.27,2.48,2,88.3,90.3,1
Site_NL-0031,Site_NL,152.1,5.21,93.8,39.1,280.0,99.17,2.73,2,88.3,90.5,1
Site_NL-0032,Site_NL,150.6,5.54,107.2,48.9,282.0,99.46,2.93,2,88.1,91.5,1
Site_NL-0033,Site_NL,146.5,4.72,89.6,44.7,261.0,99.74,2.89,2,88.5,89.4,1
Site_NL-0034,Site_NL,147.0,5.2,98.6,47.6,279.0,99.71,2.57,2,89.8,89.7,1
Site_NL-0035,Site_NL,148.9,4.66,101.4,40.1,280.0,100.16,3.1,2,92.0,87.0,1
Site_NL-0036,Site_NL,150.0,5.03,94.2,49.1,266.0,99.79,2.44,2,88.7,91.6,1
Site_NL-0037,Site_NL,153.4,4.94,108.6,44.9,289.0,99.46,2.89,2,90.2,91.4,1
Site_NL-0038,Site_NL,148.6,5.29,104.9,43.5,286.0,99.39,1.97,2,89.6,87.5,1
Site_NL-0039,Site_NL,150.3,4.88,106.2,49.6,273.0,99.21,2.14,2,87.4,89.5,1
Site_NL-0040,Site_NL,150.8,5.24,96.7,49.1,262.0,99.54,2.56,2,88.0,89.1,1
Site_NL-0041,Site_NL,153.5,4.5,99.0,46.7,283.0,99.58,2.64,2,88.2,86.7,1
Site_NL-0042,Site_NL,152.0,5.47,102.2,48.1,284.0,99.72,3.06,2,88.7,88.8,1
Site_NL-0043,Site_NL,149.0,4.93,105.8,41.5,239.0,99.61,2.58,2,89.0,87.6,1
Site_NL-0044,Site_NL,147.7,4.81,101.4,42.8,300.0,99.52,2.67,2,87.1,90.5,1
Site_NL-0045,Site_NL,148.2,5.12,99.6,44.1,279.0,99.47,2.54,2,88.4,91.1,1
Site_NL-0046,Site_NL,152.9,5.37,106.1,49.4,252.0,99.6,2.88,2,87.7,90.3,1
Site_NL-0047,Site_NL,150.6,4.9,97.8,45.0,305.0,99.34,1.9,2,90.0,90.0,1
Site_NL-0048,Site_NL,149.4,4.93,96.0,48.6,221.0,99.75,2.29,2,88.0,90.6,1
Site_NL-0049,Site_NL,148.8,5.24,94.7,45.8,262.0,99.58,2.68,2,90.2,86.3,1
Site_NL-0050,Site_NL,155.7,5.19,107.7,43.1,254.0,99.4,2.26,2,91.0,89.8,1
Site_NL-0051,Site_NL,152.5,4.51,97.6,47.1,261.0,99.67,2.75,2,88.7,92.5,1
