batch_id,tijdstip_uur,temp_setpoint_C,temp_actueel_C,pH_setpoint,pH_actueel,biomassa_gL,glucose_gL,voedingssnelheid_gLh,voedingsstrategie,opgeloste_O2_pct,product_gL
FERM-000,0,37,37.3,6.8,6.8,1.65,22.56,0.0,constant,84.6,0.0
FERM-000,2,37,36.9,6.8,6.85,1.46,21.75,0.0,constant,80.2,0.007
FERM-000,4,37,37.0,6.8,6.92,1.84,21.14,0.0,constant,82.6,0.0
FERM-000,6,37,36.8,6.8,6.83,2.2,20.75,0.0,constant,74.8,0.0
FERM-000,8,37,37.2,6.8,6.83,1.57,21.76,0.0,constant,76.5,0.017
FERM-000,10,37,36.9,6.8,6.83,1.91,21.59,0.0,constant,82.0,0.0
FERM-000,12,37,37.1,6.8,6.89,2.56,20.73,0.0,constant,79.1,0.023
FERM-000,14,37,36.7,6.8,6.91,2.29,21.38,0.0,constant,78.4,0.037
FERM-000,16,37,36.8,6.8,6.92,3.44,20.78,0.0,constant,79.5,0.022
FERM-000,18,37,37.0,6.8,6.93,2.84,21.24,0.0,constant,79.4,0.029
FERM-000,20,37,37.0,6.8,6.83,2.84,21.05,0.0,constant,83.8,0.055
FERM-000,22,37,37.3,6.8,6.84,3.71,20.66,2.0,constant,76.3,0.069
FERM-000,24,37,36.8,6.8,6.92,3.49,21.26,2.0,constant,73.0,0.028
FERM-000,26,37,36.9,6.8,6.86,3.06,21.41,2.0,constant,74.0,0.034
FERM-000,28,37,36.9,6.8,6.86,3.81,21.03,2.0,constant,73.4,0.074
FERM-000,30,37,37.0,6.8,6.92,4.25,20.29,2.0,constant,73.3,0.075
FERM-000,32,37,36.8,6.8,6.87,4.23,19.94,2.0,constant,71.4,0.068
FERM-000,34,37,37.1,6.8,6.86,4.39,21.21,2.0,constant,73.5,0.105
FERM-000,36,37,36.9,6.8,6.79,5.44,19.9,2.0,constant,64.7,0.135
FERM-000,38,37,36.9,6.8,6.91,5.54,19.64,2.0,constant,68.1,0.161
FERM-000,40,37,36.9,6.8,6.87,5.74,19.4,2.0,constant,69.9,0.159
FERM-000,42,37,36.9,6.8,6.81,6.78,20.23,2.0,constant,64.8,0.193
FERM-000,44,37,37.0,6.8,6.86,6.63,19.65,2.0,constant,70.5,0.253
FERM-000,46,37,36.9,6.8,6.9,7.62,18.34,2.0,constant,66.1,0.279
FERM-000,48,37,37.2,6.8,6.91,7.85,18.64,2.0,constant,66.2,0.314
FERM-000,50,37,37.0,6.8,6.94,8.43,18.34,2.0,constant,61.1,0.353
FERM-000,52,37,37.2,6.8,6.9,8.86,19.24,2.0,constant,66.7,0.402
FERM-000,54,37,37.0,6.8,6.88,8.91,18.62,2.0,constant,65.5,0.396
