sample_id,site,temperatuur_C,druk_bar,debiet_kgh,luchtvochtigheid_pct,roersnelheid_RPM,API_zuiverheid_pct,excipient_vocht_pct,equipment_leeftijd_jaar,kwaliteitsscore,dissolutie_pct,goedgekeurd
Site_DE-0000,Site_DE,140.4,5.11,108.5,42.6,230.0,99.47,2.26,5,87.7,86.3,1
Site_DE-0001,Site_DE,148.4,4.57,103.0,42.1,244.0,99.52,2.18,5,88.7,91.4,1
Site_DE-0002,Site_DE,150.7,5.39,101.0,41.2,261.0,99.4,2.04,5,89.9,91.0,1
Site_DE-0003,Site_DE,152.0,5.1,102.7,40.1,242.0,99.63,2.7,5,88.0,90.5,1
Site_DE-0004,Site_DE,145.5,4.89,97.5,42.3,257.0,99.37,2.37,5,86.8,91.0,1
Site_DE-0005,Site_DE,140.6,4.77,104.7,41.6,226.0,99.36,2.08,5,88.0,87.5,1
Site_DE-0006,Site_DE,148.3,5.19,109.5,39.8,284.0,99.5,2.26,5,88.5,92.5,1
Site_DE-0007,Site_DE,149.0,5.38,109.9,43.3,231.0,99.41,2.1,5,87.6,92.7,1
Site_DE-0008,Site_DE,144.1,5.29,108.2,36.9,296.0,99.39,2.64,5,88.1,90.3,1
Site_DE-0009,Site_DE,152.0,5.26,93.4,36.0,255.0,99.43,2.75,5,90.4,90.7,1
Site_DE-0010,Site_DE,144.2,5.11,100.6,46.3,265.0,99.98,2.83,5,89.9,91.4,1
Site_DE-0011,Site_DE,150.1,4.83,105.2,44.4,273.0,99.91,2.45,5,93.1,89.3,1
Site_DE-0012,Site_DE,145.2,5.02,108.5,42.6,224.0,99.41,2.41,5,88.1,86.4,1
Site_DE-0013,Site_DE,149.4,5.0,106.4,39.8,221.0,99.28,2.39,5,89.7,89.5,1
Site_DE-0014,Site_DE,145.5,4.94,96.9,38.4,272.0,99.37,2.53,5,89.0,90.2,1
Site_DE-0015,Site_DE,151.2,4.84,97.7,38.0,217.0,99.37,2.42,5,89.3,86.4,1
Site_DE-0016,Site_DE,144.2,5.47,104.2,42.8,241.0,99.35,2.71,5,86.5,88.5,1
Site_DE-0017,Site_DE,145.0,5.35,88.7,39.0,249.0,99.34,2.68,5,86.1,87.8,1
Site_DE-0018,Site_DE,148.7,4.72,99.6,37.4,265.0,99.73,2.29,5,89.8,88.6,1
Site_DE-0019,Site_DE,146.4,5.21,98.3,48.2,248.0,99.21,1.86,5,88.1,89.9,1
Site_DE-0020,Site_DE,148.3,4.8,98.5,37.4,256.0,99.42,2.47,5,87.2,89.9,1
Site_DE-0021,Site_DE,145.8,4.99,91.8,36.8,268.0,99.36,2.12,5,94.8,86.5,1
Site_DE-0022,Site_DE,148.3,5.64,107.5,40.0,279.0,99.33,2.99,5,85.3,91.8,1
Site_DE-0023,Site_DE,149.2,4.87,105.8,46.2,238.0,99.55,2.02,5,87.7,91.1,1
Site_DE-0024,Site_DE,148.2,5.52,99.1,40.9,303.0,99.15,3.06,5,87.7,89.8,1
Site_DE-0025,Site_DE,144.0,5.27,97.4,43.0,244.0,99.12,1.88,5,87.1,90.0,1
Site_DE-0026,Site_DE,149.4,4.87,96.4,38.1,283.0,99.97,2.78,5,93.0,90.1,1
Site_DE-0027,Site_DE,151.6,4.94,99.9,39.1,227.0,99.29,2.82,5,90.0,88.7,1
Site_DE-0028,Site_DE,149.6,4.91,98.9,37.4,245.0,99.37,2.5,5,90.7,91.3,1
Site_DE-0029,Site_DE,145.7,5.53,106.1,41.8,240.0,99.09,2.06,5,90.0,94.4,1
Site_DE-0030,Site_DE,148.5,5.2,106.6,38.2,266.0,99.49,2.58,5,90.4,88.4,1
Site_DE-0031,Site_DE,148.4,4.96,98.7,37.0,287.0,99.81,1.39,5,93.7,88.7,1
Site_DE-0032,Site_DE,146.8,4.85,92.9,42.1,235.0,99.59,2.19,5,89.0,88.8,1
Site_DE-0033,Site_DE,146.6,5.22,102.8,42.7,298.0,99.67,2.34,5,91.9,86.4,1
Site_DE-0034,Site_DE,149.9,5.34,103.1,34.4,234.0,99.15,2.7,5,90.6,91.2,1
Site_DE-0035,Site_DE,143.4,5.08,101.7,37.2,254.0,99.15,2.3,5,89.0,87.4,1
Site_DE-0036,Site_DE,146.6,4.61,101.0,42.7,285.0,99.13,2.47,5,86.9,91.2,1
Site_DE-0037,Site_DE,144.2,4.86,94.8,42.1,280.0,99.78,2.51,5,89.2,90.7,1
Site_DE-0038,Site_DE,146.0,4.9,100.5,41.2,271.0,99.3,2.59,5,89.0,88.9,1
Site_DE-0039,Site_DE,143.4,5.1,104.0,43.2,229.0,99.53,2.51,5,88.0,89.7,1
Site_DE-0040,Site_DE,150.7,5.24,109.8,40.2,281.0,99.78,2.13,5,91.7,88.2,1
Site_DE-0041,Site_DE,149.4,5.65,100.2,37.1,246.0,99.55,1.56,5,94.0,88.2,1
Site_DE-0042,Site_DE,148.1,5.11,105.6,38.1,253.0,99.34,2.55,5,89.0,88.8,1
Site_DE-0043,Site_DE,147.1,5.04,106.0,40.9,215.0,99.42,2.55,5,87.2,86.9,1
Site_DE-0044,Site_DE,145.8,5.03,101.8,39.9,250.0,99.29,2.07,5,89.6,87.8,1
Site_DE-0045,Site_DE,143.1,5.1,100.8,37.2,271.0,99.3,2.6,5,88.3,90.5,1
Site_DE-0046,Site_DE,154.1,4.85,85.5,44.3,245.0,99.52,1.64,5,92.3,88.5,1
Site_DE-0047,Site_DE,143.4,4.84,104.6,36.8,221.0,99.78,2.24,5,90.0,87.2,1
Site_DE-0048,Site_DE,143.4,5.37,101.5,37.5,255.0,99.46,2.82,5,87.2,88.4,1
Site_DE-0049,Site_DE,150.7,4.82,101.5,41.2,206.0,99.6,2.78,5,90.9,87.5,1
Site_DE-0050,Site_DE,151.5,4.9,95.6,44.3,268.0,99.41,2.44,5,88.2,89.5,1
Site_DE-0051,Site_DE,148.3,4.58,103.3,36.8,253.0,99.51,2.7,5,88.1,90.2,1
Site_DE-0052,Site_DE,150.6,5.09,101.3,36.9,292.0,99.63,2.37,5,91.2,89.2,1
