sample_id,site,temperatuur_C,druk_bar,debiet_kgh,luchtvochtigheid_pct,roersnelheid_RPM,API_zuiverheid_pct,excipient_vocht_pct,equipment_leeftijd_jaar,kwaliteitsscore,dissolutie_pct,goedgekeurd
Site_IN-0000,Site_IN,154.9,4.7,96.0,66.9,240.0,99.22,2.36,8,82.5,90.1,1
Site_IN-0001,Site_IN,154.2,4.76,100.4,70.5,249.0,99.39,2.32,8,85.6,91.7,1
Site_IN-0002,Site_IN,159.8,4.53,101.3,72.0,237.0,99.37,3.01,8,85.3,92.7,1
Site_IN-0003,Site_IN,158.7,4.77,97.1,71.5,201.0,99.56,2.17,8,87.9,90.2,1
Site_IN-0004,Site_IN,161.1,4.92,103.1,69.0,228.0,99.54,2.29,8,85.2,88.0,1
Site_IN-0005,Site_IN,158.6,5.21,102.7,72.2,213.0,99.69,2.96,8,84.5,93.4,1
Site_IN-0006,Site_IN,153.0,4.8,108.6,70.6,210.0,98.94,2.66,8,82.7,89.7,1
Site_IN-0007,Site_IN,154.5,4.63,98.3,68.2,224.0,99.48,3.04,8,80.1,88.2,1
Site_IN-0008,Site_IN,155.2,4.88,97.0,73.9,225.0,99.39,2.66,8,83.4,88.0,1
Site_IN-0009,Site_IN,160.1,4.65,96.7,66.0,214.0,99.59,2.82,8,82.8,92.5,1
Site_IN-0010,Site_IN,153.7,5.13,102.5,68.5,217.0,99.6,3.0,8,81.7,86.4,1
Site_IN-0011,Site_IN,155.5,5.07,96.6,69.5,214.0,99.56,2.35,8,84.7,91.0,1
Site_IN-0012,Site_IN,162.3,4.91,95.0,68.3,235.0,99.59,3.37,8,83.7,90.1,1
Site_IN-0013,Site_IN,155.7,4.7,99.9,67.2,209.0,99.43,2.9,8,85.1,92.2,1
Site_IN-0014,Site_IN,159.3,4.78,95.9,69.8,196.0,99.18,2.77,8,86.9,90.9,1
Site_IN-0015,Site_IN,153.4,5.35,102.6,70.5,196.0,99.28,3.3,8,80.2,94.9,1
Site_IN-0016,Site_IN,154.9,5.21,93.7,70.8,227.0,99.62,2.76,8,83.6,92.9,1
Site_IN-0017,Site_IN,153.4,4.34,99.7,66.9,236.0,99.89,2.7,8,82.7,92.4,1
Site_IN-0018,Site_IN,157.5,5.53,97.0,71.6,226.0,98.96,2.92,8,82.0,91.7,1
Site_IN-0019,Site_IN,154.8,5.07,90.5,72.2,222.0,99.56,2.55,8,85.3,94.8,1
Site_IN-0020,Site_IN,155.5,4.9,95.0,69.9,197.0,99.62,2.68,8,80.5,93.2,1
Site_IN-0021,Site_IN,153.5,5.13,102.1,74.1,247.0,99.41,2.46,8,84.2,92.1,1
Site_IN-0022,Site_IN,157.4,4.75,95.2,68.3,229.0,99.77,2.48,8,86.6,87.8,1
Site_IN-0023,Site_IN,154.0,4.88,102.6,74.3,215.0,99.4,2.43,8,86.5,89.7,1
Site_IN-0024,Site_IN,159.3,5.31,100.1,70.1,241.0,99.05,2.74,8,82.2,93.3,1
