sample_id,site,temperatuur_C,druk_bar,debiet_kgh,luchtvochtigheid_pct,roersnelheid_RPM,API_zuiverheid_pct,excipient_vocht_pct,equipment_leeftijd_jaar,kwaliteitsscore,dissolutie_pct,goedgekeurd
Site_US-0000,Site_US,154.1,4.69,97.2,56.3,266.0,99.39,2.85,1,87.3,91.2,1
Site_US-0001,Site_US,155.7,5.37,98.6,59.3,208.0,99.37,2.16,1,86.5,88.6,1
Site_US-0002,Site_US,148.4,4.82,96.6,58.2,216.0,99.94,2.94,1,84.7,89.4,1
Site_US-0003,Site_US,151.5,4.88,96.9,56.3,221.0,99.83,2.0,1,86.8,91.0,1
Site_US-0004,Site_US,158.8,5.42,110.6,55.4,245.0,99.32,2.37,1,89.8,91.9,1
Site_US-0005,Site_US,153.7,5.59,105.1,53.3,251.0,99.7,2.22,1,90.0,88.4,1
Site_US-0006,Site_US,155.6,4.56,100.0,52.2,237.0,99.41,2.52,1,88.0,89.8,1
Site_US-0007,Site_US,150.8,4.43,103.5,53.3,223.0,99.48,2.39,1,86.9,89.3,1
Site_US-0008,Site_US,151.9,5.15,93.9,56.0,224.0,99.64,3.33,1,84.7,89.8,1
Site_US-0009,Site_US,154.9,4.76,96.3,56.9,239.0,99.41,2.65,1,87.5,88.4,1
Site_US-0010,Site_US,154.3,4.9,101.0,52.1,222.0,99.52,2.67,1,89.2,90.9,1
Site_US-0011,Site_US,151.2,5.53,105.9,53.9,240.0,99.5,2.41,1,89.6,89.0,1
Site_US-0012,Site_US,151.8,5.03,103.9,55.1,223.0,99.72,2.45,1,86.3,92.2,1
Site_US-0013,Site_US,144.8,4.65,93.0,58.9,228.0,99.36,2.08,1,84.7,90.9,1
Site_US-0014,Site_US,152.5,5.02,100.3,54.7,229.0,99.42,2.47,1,85.8,89.7,1
Site_US-0015,Site_US,154.3,4.95,100.8,56.0,282.0,99.05,2.52,1,87.5,90.7,1
Site_US-0016,Site_US,151.7,5.05,103.6,56.0,251.0,99.59,2.73,1,85.8,91.2,1
Site_US-0017,Site_US,155.7,5.94,93.9,48.9,262.0,99.58,2.27,1,90.1,93.3,1
Site_US-0018,Site_US,152.6,5.59,95.9,55.2,190.0,99.46,2.47,1,86.9,90.9,1
Site_US-0019,Site_US,153.6,4.3,100.9,56.3,242.0,99.77,2.99,1,84.9,90.5,1
Site_US-0020,Site_US,154.1,4.5,88.8,57.3,241.0,99.78,2.59,1,86.8,89.1,1
Site_US-0021,Site_US,151.8,5.03,101.5,52.0,205.0,99.65,2.55,1,88.6,89.2,1
Site_US-0022,Site_US,148.0,5.47,97.2,53.3,227.0,99.29,2.97,1,86.6,90.5,1
Site_US-0023,Site_US,149.9,4.83,104.2,56.4,226.0,99.72,1.88,1,88.4,89.5,1
Site_US-0024,Site_US,150.3,5.24,95.9,63.7,252.0,99.7,2.49,1,85.3,89.2,1
Site_US-0025,Site_US,144.0,4.77,103.7,54.8,236.0,99.6,2.49,1,84.1,90.6,1
Site_US-0026,Site_US,157.0,4.77,97.8,60.5,206.0,99.42,2.89,1,84.2,94.3,1
Site_US-0027,Site_US,151.1,4.9,95.5,56.5,241.0,99.72,2.8,1,85.0,87.7,1
Site_US-0028,Site_US,151.0,4.8,103.7,53.8,208.0,99.12,2.9,1,85.6,87.4,1
Site_US-0029,Site_US,154.7,4.57,103.6,51.5,240.0,99.88,3.21,1,87.6,91.2,1
Site_US-0030,Site_US,151.4,4.99,105.9,53.8,238.0,99.11,1.77,1,89.8,92.3,1
Site_US-0031,Site_US,151.7,4.67,93.4,54.4,263.0,99.61,2.72,1,87.5,89.6,1
Site_US-0032,Site_US,151.7,4.85,100.5,53.1,273.0,99.41,2.99,1,87.7,86.2,1
Site_US-0033,Site_US,155.0,5.09,97.2,55.8,231.0,99.4,2.19,1,90.3,93.2,1
Site_US-0034,Site_US,148.9,4.26,94.6,57.9,270.0,99.5,2.24,1,86.8,88.5,1
Site_US-0035,Site_US,150.8,5.15,100.3,51.2,209.0,99.59,2.11,1,88.1,90.0,1
Site_US-0036,Site_US,152.0,5.27,97.9,58.4,193.0,99.4,2.92,1,83.4,91.9,1
Site_US-0037,Site_US,155.0,5.44,93.3,54.3,229.0,99.77,2.47,1,88.3,93.0,1
Site_US-0038,Site_US,148.9,4.45,98.4,57.1,236.0,99.96,2.13,1,89.3,90.4,1
Site_US-0039,Site_US,148.6,5.04,100.4,56.5,204.0,99.52,2.74,1,83.3,93.2,1
