timestamp,R_voeding_flow_kgh,R_voeding_temp_C,R_voeding_zuiverheid,R_temp_sp_C,R_temp_actueel_C,R_druk_bar,R_niveau_pct,R_conversie,S_temp_C,S_druk_bar,S_niveau_pct,S_damp_flow_kgh,S_vloeistof_flow_kgh,S_vloeistof_zuiverheid,K_reflux_ratio,K_reboiler_duty_kW,K_top_temp_C,K_bodem_temp_C,K_drukval_bar,product_zuiverheid,product_flow_kgh,totaal_energie_kW,on_spec,event
2025-04-01 00:00:00,99.0,25.2,0.937,150.0,150.0,4.99,58.2,0.857,120.4,2.02,50.9,29.6,69.6,0.9338,2.61,78.6,77.5,119.8,0.3096,0.99488,65.0,109.3,1,normaal
2025-04-01 00:05:00,99.7,25.0,0.951,150.0,149.79,5.04,59.9,0.84,119.2,2.04,50.6,29.5,70.1,0.9385,2.51,82.9,78.6,120.4,0.3166,0.99477,65.8,112.0,1,normaal
2025-04-01 00:10:00,101.2,25.9,0.955,150.0,149.81,4.98,60.2,0.864,120.2,1.99,51.8,29.6,71.3,0.9388,2.51,82.2,77.8,120.7,0.304,0.99474,66.9,111.5,1,normaal
2025-04-01 00:15:00,100.6,25.3,0.975,150.0,149.82,5.03,60.9,0.856,119.7,2.05,47.1,29.5,70.0,0.9353,2.53,77.7,77.5,120.4,0.3088,0.99446,65.6,106.0,1,normaal
2025-04-01 00:20:00,100.7,25.6,0.951,150.1,149.88,4.97,62.2,0.846,119.6,1.97,48.1,29.9,70.9,0.9374,2.56,77.3,77.6,119.5,0.3034,0.99426,66.8,109.6,1,normaal
2025-04-01 00:25:00,100.9,25.6,0.95,150.1,149.82,4.99,60.8,0.841,119.6,2.01,48.3,31.1,70.4,0.9407,2.52,84.1,78.3,119.9,0.3073,0.99503,66.2,114.1,1,normaal
2025-04-01 00:30:00,100.2,24.3,0.95,150.1,149.96,5.0,61.1,0.854,119.0,1.96,50.0,29.5,70.2,0.9377,2.53,78.1,78.0,119.6,0.3065,0.99417,65.6,108.2,1,normaal
2025-04-01 00:35:00,101.0,25.0,0.966,150.1,149.97,4.99,61.1,0.858,119.9,2.01,48.7,30.8,71.3,0.938,2.48,81.2,78.6,119.9,0.3113,0.99405,66.7,111.5,1,normaal
2025-04-01 00:40:00,102.1,24.8,0.951,150.1,149.83,4.97,61.1,0.834,120.3,1.98,51.1,29.4,71.3,0.9442,2.46,79.6,77.9,119.4,0.3152,0.99249,67.3,110.6,1,normaal
2025-04-01 00:45:00,101.7,25.3,0.934,150.1,149.84,4.97,59.5,0.838,120.3,1.97,51.4,30.6,71.8,0.9386,2.51,84.4,77.9,120.6,0.31,0.99567,68.0,112.6,1,normaal
