batch_id,tijd_min,inlet_temp_C,exhaust_temp_C,bed_temp_C,spray_rate_gmin,pan_snelheid_RPM,exhaust_humidity_pct,drukval_mbar,gewichtstoename_pct,kern_gewicht_mg,coating_conc_pct,afwijking_temp,afwijking_spray,batch_kwaliteit
COAT-000,0,40.3,30.3,35.0,0.0,5.0,30.5,3.0,-0.002,350.2,14.6,0.34,0.0,goed
COAT-000,1,41.1,31.0,36.5,0.53,4.9,30.0,3.0,-0.022,350.2,14.6,0.39,0.035,goed
COAT-000,2,41.7,30.8,36.2,0.72,5.0,32.7,3.1,-0.007,350.2,14.6,0.23,0.276,goed
COAT-000,3,42.6,31.3,36.8,1.53,5.0,35.0,3.3,0.027,350.2,14.6,0.53,0.031,goed
COAT-000,4,43.0,32.6,38.1,1.92,4.8,37.2,3.2,0.047,350.2,14.6,0.31,0.082,goed
COAT-000,5,43.1,31.7,37.3,2.5,12.0,36.5,3.3,0.088,350.2,14.6,0.24,0.004,goed
COAT-000,6,43.7,32.6,37.7,2.95,12.0,38.6,3.5,0.083,350.2,14.6,0.2,0.048,goed
COAT-000,7,44.7,33.2,39.4,3.34,11.9,41.6,3.4,0.167,350.2,14.6,0.24,0.159,goed
COAT-000,8,45.2,33.0,39.3,4.1,12.2,42.8,3.5,0.185,350.2,14.6,0.28,0.099,goed
COAT-000,9,45.1,32.0,38.6,4.3,12.3,41.4,3.5,0.212,350.2,14.6,0.32,0.204,goed
COAT-000,10,45.8,32.5,38.7,4.99,11.9,44.6,3.7,0.302,350.2,14.6,0.11,0.011,goed
COAT-000,11,46.4,33.7,40.3,4.89,12.0,47.1,3.7,0.349,350.2,14.6,0.05,0.107,goed
COAT-000,12,46.9,33.5,40.4,4.72,12.1,44.9,3.4,0.385,350.2,14.6,0.14,0.283,goed
COAT-000,13,47.4,35.8,41.3,4.93,11.8,41.9,3.6,0.447,350.2,14.6,0.18,0.067,goed
COAT-000,14,47.5,34.4,40.2,5.05,12.1,45.8,3.7,0.449,350.2,14.6,0.08,0.053,goed
COAT-000,15,48.2,35.2,41.2,4.83,12.3,43.8,3.4,0.516,350.2,14.6,0.26,0.17,goed
