lot_id,datum,leverancier,grondstof,zuiverheid_pct,vochtgehalte_pct,deeltjesgrootte_d50_um,deeltjesgrootte_d90_um,bulkdichtheid_gmL,tapdichtheid_gmL,carr_index_pct,zware_metalen_ppm,microbieel_CFUg,besluit
LOT-00000,2024-11-27,Leverancier_C,Lactose,99.31,2.12,72.9,126.8,0.465,0.565,17.8,8.0,0,goedgekeurd
LOT-00001,2024-11-13,Leverancier_A,Lactose,99.98,1.85,81.7,150.8,0.409,0.494,17.3,6.0,0,goedgekeurd
LOT-00002,2025-01-18,Leverancier_C,Paracetamol_API,99.53,2.07,95.0,162.0,0.432,0.532,18.7,7.8,50,goedgekeurd
LOT-00003,2024-10-13,Leverancier_B,Lactose,99.56,1.64,85.5,166.1,0.461,0.571,19.3,6.9,0,goedgekeurd
LOT-00004,2025-03-16,Leverancier_B,Paracetamol_API,99.3,1.67,95.9,175.6,0.439,0.546,19.6,6.6,10,goedgekeurd
LOT-00005,2025-01-14,Leverancier_B,Lactose,99.73,2.04,77.5,147.0,0.442,0.559,20.9,6.2,10,goedgekeurd
LOT-00006,2024-12-25,Leverancier_D,Paracetamol_API,100.0,1.74,79.9,151.4,0.424,0.56,24.3,7.7,0,goedgekeurd
LOT-00007,2024-08-07,Leverancier_A,Magnesiumstearaat,99.22,1.83,68.0,124.6,0.468,0.62,24.6,5.6,100,goedgekeurd
LOT-00008,2024-07-01,Leverancier_D,Paracetamol_API,99.55,1.6,90.4,169.5,0.448,0.588,23.8,10.0,500,goedgekeurd
LOT-00009,2025-03-07,Leverancier_A,Lactose,99.02,1.99,66.9,120.4,0.47,0.565,16.9,7.8,10,goedgekeurd
LOT-00010,2025-05-15,Leverancier_C,Lactose,99.18,2.23,91.4,174.3,0.47,0.616,23.6,6.1,0,goedgekeurd
LOT-00011,2025-05-11,Leverancier_D,Paracetamol_API,99.4,1.63,62.5,111.7,0.478,0.597,20.0,12.1,1000,afgekeurd
LOT-00012,2024-12-27,Leverancier_A,Paracetamol_API,99.39,2.37,83.7,149.4,0.455,0.54,15.8,6.0,0,goedgekeurd
LOT-00013,2024-08-02,Leverancier_D,Cellulose_MCC,99.7,2.25,77.0,139.4,0.496,0.597,16.9,10.6,500,goedgekeurd
LOT-00014,2025-01-08,Leverancier_B,Paracetamol_API,99.76,2.4,97.0,172.9,0.498,0.584,14.7,6.5,10,goedgekeurd
LOT-00015,2024-11-23,Leverancier_A,Paracetamol_API,99.68,2.05,79.0,144.6,0.436,0.549,20.6,7.6,10,goedgekeurd
LOT-00016,2024-06-07,Leverancier_B,Paracetamol_API,99.18,2.04,83.0,139.1,0.429,0.524,18.2,7.1,100,goedgekeurd
LOT-00017,2024-06-18,Leverancier_B,Lactose,99.66,2.28,74.2,137.0,0.443,0.546,18.8,6.2,1000,afgekeurd
LOT-00018,2024-07-12,Leverancier_C,Lactose,99.98,2.41,79.8,144.0,0.382,0.487,21.6,5.8,10,goedgekeurd
LOT-00019,2025-01-21,Leverancier_D,Magnesiumstearaat,99.59,1.44,84.6,157.0,0.471,0.616,23.6,7.8,50,goedgekeurd
LOT-00020,2024-08-11,Leverancier_A,Lactose,99.87,2.34,73.8,118.6,0.474,0.602,21.3,7.3,0,goedgekeurd
LOT-00021,2025-03-04,Leverancier_D,Cellulose_MCC,99.37,1.95,83.7,152.2,0.484,0.599,19.2,8.3,1000,afgekeurd
LOT-00022,2025-02-21,Leverancier_C,Paracetamol_API,99.44,1.99,67.0,125.3,0.469,0.54,13.2,12.9,50,goedgekeurd
LOT-00023,2024-09-18,Leverancier_A,Magnesiumstearaat,99.0,1.78,97.8,168.1,0.44,0.553,20.5,7.2,10,hertest
LOT-00024,2024-08-29,Leverancier_B,Paracetamol_API,99.43,2.01,87.1,150.7,0.497,0.629,21.0,6.0,10,goedgekeurd
LOT-00025,2024-06-28,Leverancier_D,Magnesiumstearaat,99.26,1.54,86.1,143.7,0.525,0.652,19.5,7.6,100,goedgekeurd
LOT-00026,2024-10-17,Leverancier_B,Paracetamol_API,99.63,1.55,85.8,149.1,0.442,0.552,19.9,8.9,100,goedgekeurd
LOT-00027,2024-12-30,Leverancier_B,Paracetamol_API,99.11,1.86,81.9,163.0,0.506,0.602,16.0,6.7,0,goedgekeurd
LOT-00028,2024-12-17,Leverancier_A,Paracetamol_API,99.53,2.44,100.4,176.0,0.414,0.506,18.1,8.8,0,goedgekeurd
LOT-00029,2025-01-12,Leverancier_B,Lactose,99.39,2.14,94.1,170.4,0.471,0.593,20.5,7.7,0,goedgekeurd
LOT-00030,2024-12-23,Leverancier_B,Lactose,99.58,2.01,73.5,127.4,0.444,0.543,18.2,7.7,0,goedgekeurd
LOT-00031,2024-10-09,Leverancier_C,Lactose,99.75,1.94,81.9,149.5,0.459,0.597,23.0,5.8,0,goedgekeurd
LOT-00032,2024-09-08,Leverancier_B,Paracetamol_API,98.91,2.86,96.1,178.7,0.488,0.605,19.4,6.1,0,hertest
LOT-00033,2024-06-30,Leverancier_A,Magnesiumstearaat,99.5,1.64,66.1,110.9,0.481,0.573,16.1,5.0,500,goedgekeurd
LOT-00034,2024-12-01,Leverancier_C,Paracetamol_API,99.91,2.09,80.8,149.5,0.452,0.571,21.0,9.4,1000,afgekeurd
LOT-00035,2025-05-02,Leverancier_B,Paracetamol_API,99.69,1.87,81.6,140.1,0.521,0.676,23.0,10.3,10,goedgekeurd
LOT-00036,2024-08-04,Leverancier_B,Magnesiumstearaat,99.23,2.3,82.8,147.9,0.477,0.62,23.0,7.5,0,goedgekeurd
LOT-00037,2025-05-13,Leverancier_A,Lactose,99.66,2.3,72.1,136.3,0.395,0.506,21.9,5.8,0,goedgekeurd
LOT-00038,2025-02-17,Leverancier_B,Lactose,99.78,2.0,86.5,158.7,0.483,0.59,18.1,7.7,10,goedgekeurd
LOT-00039,2024-07-22,Leverancier_A,Cellulose_MCC,99.75,2.47,67.3,112.5,0.44,0.548,19.7,6.4,500,goedgekeurd
LOT-00040,2024-09-12,Leverancier_D,Paracetamol_API,99.84,2.02,80.9,140.7,0.486,0.61,20.3,12.2,500,goedgekeurd
LOT-00041,2025-01-03,Leverancier_C,Magnesiumstearaat,99.35,1.88,77.4,142.8,0.405,0.501,19.2,6.2,100,goedgekeurd
LOT-00042,2025-03-31,Leverancier_C,Cellulose_MCC,99.51,1.8,76.3,141.3,0.422,0.5,15.5,12.4,0,goedgekeurd
LOT-00043,2024-11-19,Leverancier_C,Magnesiumstearaat,99.92,1.77,74.2,126.4,0.449,0.544,17.4,5.7,0,goedgekeurd
LOT-00044,2025-02-02,Leverancier_A,Paracetamol_API,99.63,1.87,78.6,145.3,0.455,0.545,16.4,8.1,10,goedgekeurd
LOT-00045,2025-05-26,Leverancier_B,Paracetamol_API,99.43,2.26,82.1,149.5,0.447,0.552,19.0,9.9,10,goedgekeurd
LOT-00046,2024-07-20,Leverancier_B,Paracetamol_API,99.64,1.66,66.0,116.3,0.465,0.567,18.0,6.5,0,goedgekeurd
LOT-00047,2024-07-15,Leverancier_A,Paracetamol_API,99.88,2.04,90.6,165.0,0.45,0.543,17.0,5.1,0,goedgekeurd
LOT-00048,2024-06-21,Leverancier_B,Magnesiumstearaat,99.42,1.69,102.4,183.4,0.47,0.566,17.0,6.8,10,goedgekeurd
LOT-00049,2025-01-14,Leverancier_B,Magnesiumstearaat,99.46,2.18,83.5,151.5,0.459,0.559,17.8,6.1,50,goedgekeurd
LOT-00050,2024-07-26,Leverancier_A,Paracetamol_API,99.69,2.17,78.5,140.2,0.396,0.474,16.6,5.6,1000,afgekeurd
LOT-00051,2024-07-26,Leverancier_C,Paracetamol_API,98.78,2.24,74.0,127.3,0.498,0.651,23.5,5.6,10,hertest
LOT-00052,2025-05-13,Leverancier_D,Lactose,99.39,1.83,85.0,146.6,0.471,0.553,14.8,8.2,0,goedgekeurd
LOT-00053,2024-07-10,Leverancier_A,Cellulose_MCC,99.23,1.29,58.0,110.9,0.47,0.581,19.1,6.0,50,goedgekeurd
LOT-00054,2024-07-21,Leverancier_B,Cellulose_MCC,99.68,2.02,89.0,157.6,0.417,0.498,16.2,6.1,0,goedgekeurd
LOT-00055,2024-11-01,Leverancier_A,Paracetamol_API,99.6,2.17,96.2,159.1,0.43,0.545,21.2,6.2,50,goedgekeurd
LOT-00056,2024-10-19,Leverancier_A,Magnesiumstearaat,99.98,1.79,80.6,143.2,0.448,0.561,20.1,9.6,10,goedgekeurd
LOT-00057,2025-01-16,Leverancier_D,Lactose,99.42,1.88,79.0,141.8,0.513,0.673,23.8,11.5,500,goedgekeurd
LOT-00058,2025-03-12,Leverancier_B,Magnesiumstearaat,99.66,1.86,88.3,153.1,0.455,0.558,18.4,9.7,50,goedgekeurd
