klep_id,test_nr,leeftijd_maanden,klep_type,diameter_inch,actuator_type,cycli_totaal,procestemperatuur_C,pakkingwrijving_N,slagafwijking_pct,staptijd_sec,dodeband_pct,hysterese_pct,luchtverbruik_Lmin,zittinglek_Lmin,overshoot_pct,undershoot_pct,settling_time_sec,voedingsdruk_bar,dp_ratio,faalmodus
CV-000,1,0,butterfly,8,pneumatisch,0,78.0,203.3,0.24,2.41,1.01,1.8,5.8,0.019,3.9,2.5,3.59,5.9,0.41,gezond
CV-000,2,6,butterfly,8,pneumatisch,4374,174.0,201.5,-0.55,3.48,1.28,1.35,4.6,0.016,3.9,1.5,5.41,6.2,0.57,gezond
CV-000,3,12,butterfly,8,pneumatisch,8580,110.0,206.4,-1.35,2.64,0.77,0.78,4.9,0.02,0.3,0.9,4.01,5.8,0.57,gezond
CV-000,4,18,butterfly,8,pneumatisch,15606,151.0,204.9,-0.09,3.03,0.52,1.66,4.4,0.011,2.2,2.5,4.61,6.0,0.35,gezond
CV-000,5,24,butterfly,8,pneumatisch,28344,121.0,200.0,0.32,3.27,1.32,1.08,5.6,0.019,2.9,2.8,4.78,5.9,0.24,gezond
CV-000,6,30,butterfly,8,pneumatisch,37770,133.0,217.6,-0.61,2.65,0.97,2.16,4.6,0.011,3.6,2.1,3.47,6.1,0.47,gezond
CV-000,7,36,butterfly,8,pneumatisch,37728,106.0,195.1,0.93,3.23,1.13,1.72,4.3,0.017,3.2,1.4,5.25,6.1,0.24,gezond
CV-000,8,42,butterfly,8,pneumatisch,63210,115.0,188.0,-0.16,3.25,0.7,1.54,5.7,0.014,3.4,1.5,5.43,6.1,0.48,gezond
CV-000,9,48,butterfly,8,pneumatisch,87456,128.0,199.5,0.07,3.35,0.73,1.24,3.7,0.01,2.7,2.0,4.98,5.9,0.48,gezond
CV-000,10,54,butterfly,8,pneumatisch,37260,57.0,211.6,-0.49,3.2,0.88,2.63,4.8,0.013,2.9,1.3,5.13,5.8,0.5,gezond
CV-000,11,60,butterfly,8,pneumatisch,35820,159.0,187.9,-0.43,2.92,0.79,1.85,5.0,0.011,1.6,2.7,4.08,6.0,0.51,gezond
CV-000,12,66,butterfly,8,pneumatisch,112464,118.0,209.1,0.31,3.07,1.17,1.61,5.0,0.013,4.5,1.9,5.2,5.9,0.41,gezond
CV-000,13,72,butterfly,8,pneumatisch,135072,88.0,219.8,0.22,3.06,1.16,1.32,4.2,0.026,2.3,2.9,4.43,6.1,0.38,gezond
CV-000,14,78,butterfly,8,pneumatisch,63726,92.0,205.9,-0.23,3.0,1.0,1.64,4.8,0.014,3.3,1.1,5.64,6.0,0.22,gezond
CV-000,15,84,butterfly,8,pneumatisch,67200,132.0,182.6,-0.22,2.57,1.09,1.73,4.7,0.011,2.5,0.9,3.49,6.0,0.48,gezond
CV-000,16,90,butterfly,8,pneumatisch,132750,185.0,185.9,-0.27,3.01,0.99,1.42,5.5,0.014,3.8,2.4,4.63,6.0,0.55,gezond
CV-000,17,96,butterfly,8,pneumatisch,99072,33.0,203.6,0.16,3.02,1.0,1.81,5.0,0.013,4.6,1.1,5.07,6.0,0.3,gezond
CV-000,18,102,butterfly,8,pneumatisch,107202,175.0,217.5,-0.44,2.82,0.71,2.2,4.6,0.013,2.9,1.7,4.01,6.0,0.55,gezond
CV-000,19,108,butterfly,8,pneumatisch,188136,197.0,201.7,0.4,3.16,1.15,1.98,4.9,0.012,3.5,1.1,4.72,5.8,0.51,gezond
CV-000,20,114,butterfly,8,pneumatisch,60192,90.0,208.1,-0.3,2.47,0.79,1.52,5.4,0.017,4.3,1.9,3.53,6.1,0.3,gezond
CV-001,1,0,butterfly,6,elektrisch,0,40.0,227.0,0.37,3.12,0.82,2.02,0.0,0.013,2.5,2.5,4.32,6.0,0.21,gezond
CV-001,2,6,butterfly,6,elektrisch,9990,21.0,189.7,-0.06,3.17,0.9,1.42,0.0,0.014,4.2,1.8,4.54,6.2,0.41,gezond
CV-001,3,12,butterfly,6,elektrisch,12264,121.0,206.9,-0.64,2.56,1.01,1.63,0.0,0.013,2.6,1.7,3.51,5.9,0.27,gezond
CV-001,4,18,butterfly,6,elektrisch,22374,84.0,163.7,0.88,3.55,0.7,1.61,0.0,0.011,3.5,2.2,5.67,5.9,0.38,gezond
CV-001,5,24,butterfly,6,elektrisch,23640,159.0,199.1,-0.4,2.89,1.23,1.2,0.0,0.018,3.8,2.5,4.39,6.1,0.39,gezond
CV-001,6,30,butterfly,6,elektrisch,45300,103.0,198.6,-0.06,2.63,0.87,1.38,0.0,0.012,2.7,1.1,3.75,6.1,0.59,gezond
CV-001,7,36,butterfly,6,elektrisch,31356,31.0,221.0,-0.11,2.55,0.6,1.72,0.0,0.012,3.6,1.7,4.0,6.1,0.44,gezond
CV-001,8,42,butterfly,6,elektrisch,30450,27.0,227.8,-0.04,3.47,0.83,1.72,0.0,0.025,3.3,1.2,5.13,6.1,0.26,gezond
CV-001,9,48,butterfly,6,elektrisch,43152,134.0,201.2,-0.49,2.67,1.14,1.4,0.0,0.01,3.6,2.5,3.83,6.1,0.22,gezond
CV-001,10,54,butterfly,6,elektrisch,49950,78.0,221.7,0.36,3.2,1.15,1.65,0.0,0.015,3.5,2.0,5.49,5.9,0.38,gezond
CV-001,11,60,butterfly,6,elektrisch,47400,100.0,205.3,0.64,2.43,1.29,0.99,0.0,0.012,2.8,1.5,5.06,6.0,0.43,gezond
CV-001,12,66,butterfly,6,elektrisch,38280,191.0,190.1,-0.6,3.1,1.25,1.77,0.0,0.012,3.1,1.1,5.17,6.1,0.36,gezond
CV-001,13,72,butterfly,6,elektrisch,115272,163.0,196.7,-0.7,3.03,1.21,1.16,0.0,0.024,3.8,1.8,5.0,5.9,0.31,gezond
CV-001,14,78,butterfly,6,elektrisch,80808,89.0,185.6,-0.03,3.36,0.83,1.37,0.0,0.017,3.0,1.7,3.99,6.1,0.53,gezond
