inspectie_id,product_type,productielijn,lijnsnelheid_per_min,oppervlakte_px,omtrek_px,circulariteit,aspectverhouding,compactheid,gem_intensiteit,std_intensiteit,kleuruniformiteit,contrast,correlatie,energie,homogeniteit,randdichtheid,ruwheid,aantal_contouren,confidence_score,defect_type,goedgekeurd
VIS-000000,capsule,Lijn_3,154,5944,275.1,0.98,1.054,0.853,175.2,12.7,0.846,8.38,0.817,0.309,0.762,0.166,0.0362,6,0.926,geen,1
VIS-000001,vial,Lijn_3,154,14614,447.1,0.892,1.0,0.85,136.7,19.9,0.797,12.37,0.813,0.334,0.816,0.091,0.0708,2,0.264,verkleuring,0
VIS-000002,vial,Lijn_2,297,14651,446.3,0.93,1.017,0.883,197.4,6.8,0.941,3.33,0.822,0.274,0.836,0.199,0.0406,3,0.91,geen,1
VIS-000003,tablet,Lijn_3,150,7990,322.0,0.965,1.013,0.899,169.4,9.5,0.899,22.13,0.802,0.233,0.74,0.186,0.0565,4,0.874,geen,1
VIS-000004,vial,Lijn_2,309,14713,435.5,0.997,0.995,0.851,165.8,9.2,0.941,17.33,0.931,0.299,0.76,0.153,0.0468,2,0.639,geen,1
VIS-000005,tablet,Lijn_1,190,7713,307.8,1.06,0.949,0.913,166.6,15.5,0.895,12.03,0.879,0.255,0.799,0.132,0.0616,5,0.346,deeltje,0
VIS-000006,tablet,Lijn_1,195,8143,335.5,0.904,1.0,0.925,192.2,8.5,0.967,8.03,0.841,0.339,0.759,0.141,0.0663,2,0.894,geen,1
VIS-000007,vial,Lijn_3,151,14372,440.0,0.93,0.978,0.852,177.3,14.9,0.92,4.01,0.854,0.315,0.838,0.161,0.0402,1,0.818,geen,1
VIS-000008,vial,Lijn_1,207,15029,450.1,0.929,1.034,0.798,193.7,10.8,0.906,10.3,0.926,0.343,0.724,0.163,0.0493,4,0.832,geen,1
VIS-000009,capsule,Lijn_3,152,6190,269.3,1.075,1.032,0.926,176.8,15.5,0.925,4.78,0.81,0.315,0.793,0.197,0.0516,2,0.836,geen,1
VIS-000010,vial,Lijn_2,301,14732,454.0,0.923,1.026,0.85,168.3,12.1,0.92,2.31,0.805,0.256,0.828,0.111,0.0487,2,0.872,geen,1
VIS-000011,tablet,Lijn_1,208,7218,318.2,0.876,0.974,0.871,182.2,18.6,0.882,3.79,0.871,0.278,0.867,0.162,0.0419,2,0.787,geen,1
VIS-000012,vial,Lijn_3,158,15499,473.1,0.893,0.984,0.836,172.7,9.5,0.916,7.11,0.879,0.23,0.789,0.154,0.0368,2,0.885,geen,1
VIS-000013,vial,Lijn_2,298,14685,415.3,1.063,1.041,0.886,194.5,18.7,0.914,13.32,0.86,0.412,0.796,0.178,0.0609,7,0.267,deeltje,0
VIS-000014,vial,Lijn_3,159,15396,433.0,1.014,0.977,0.834,180.7,6.3,0.925,17.38,0.766,0.38,0.754,0.155,0.0655,1,0.887,geen,1
VIS-000015,vial,Lijn_2,307,15316,441.7,0.805,1.123,0.721,164.9,10.9,0.908,7.84,0.845,0.282,0.746,0.14,0.0359,2,0.46,vormafwijking,0
VIS-000016,vial,Lijn_2,309,15400,464.9,0.862,0.999,0.813,208.9,15.7,0.941,5.3,0.822,0.359,0.798,0.145,0.0532,4,0.759,geen,1
VIS-000017,capsule,Lijn_3,153,6043,270.9,1.073,0.953,0.836,206.1,17.1,0.955,11.17,0.824,0.266,0.811,0.177,0.0356,2,0.807,geen,1
VIS-000018,vial,Lijn_2,298,14750,428.4,1.061,1.003,0.823,165.1,11.3,0.913,4.9,0.92,0.327,0.76,0.137,0.0548,4,0.767,geen,1
VIS-000019,vial,Lijn_3,145,15320,427.8,1.012,1.012,0.834,175.7,6.0,0.894,5.16,0.896,0.287,0.846,0.072,0.0512,3,0.843,geen,1
VIS-000020,tablet,Lijn_3,158,8028,320.8,0.974,0.995,0.833,195.2,24.3,0.935,10.13,0.766,0.311,0.775,0.147,0.0265,1,0.292,deeltje,0
VIS-000021,capsule,Lijn_1,206,6326,274.8,1.043,0.982,0.859,181.4,10.2,0.929,2.2,0.77,0.255,0.783,0.136,0.0395,2,0.722,geen,1
VIS-000022,vial,Lijn_1,196,16343,436.0,1.111,0.986,0.842,190.0,17.2,0.943,10.12,0.849,0.286,0.808,0.168,0.0507,3,0.609,geen,1
VIS-000023,tablet,Lijn_2,303,8165,317.4,1.014,0.989,0.824,177.0,10.2,0.925,8.42,0.804,0.217,0.744,0.145,0.0518,0,0.707,geen,1
VIS-000024,vial,Lijn_1,202,14178,415.1,1.032,0.968,0.813,179.3,10.9,0.899,3.33,0.867,0.279,0.844,0.185,0.0546,1,0.656,geen,1
VIS-000025,tablet,Lijn_2,306,8176,327.8,0.959,0.986,0.903,198.0,18.9,0.936,14.79,0.814,0.384,0.826,0.215,0.0437,2,0.704,geen,1
VIS-000026,vial,Lijn_3,149,15110,464.2,0.873,1.028,0.893,207.6,5.9,0.914,4.97,0.931,0.363,0.763,0.169,0.0661,1,0.874,geen,1
VIS-000027,vial,Lijn_3,159,15260,462.5,0.887,0.928,0.849,171.8,13.7,0.911,3.34,0.724,0.216,0.775,0.124,0.0622,1,0.852,geen,1
VIS-000028,tablet,Lijn_1,194,8193,322.0,0.98,0.978,0.856,148.2,23.5,0.763,3.99,0.912,0.361,0.829,0.153,0.0399,2,0.293,verkleuring,0
VIS-000029,tablet,Lijn_2,302,8145,325.6,0.936,0.956,0.815,172.9,9.7,0.952,6.07,0.833,0.202,0.81,0.141,0.0412,2,0.863,geen,1
VIS-000030,capsule,Lijn_3,140,6186,294.5,0.879,0.991,0.884,152.6,16.6,0.913,13.18,0.817,0.314,0.728,0.115,0.0452,2,0.847,geen,1
VIS-000031,vial,Lijn_3,149,14773,433.6,0.99,1.024,0.821,186.6,15.1,0.835,7.33,0.887,0.331,0.725,0.164,0.055,3,0.708,geen,1
VIS-000032,tablet,Lijn_1,197,7569,328.4,0.869,0.986,0.837,201.1,9.0,0.87,3.38,0.742,0.285,0.82,0.161,0.0505,4,0.923,geen,1
VIS-000033,tablet,Lijn_2,305,7725,313.5,0.967,1.033,0.86,128.1,13.1,0.824,3.32,0.893,0.251,0.812,0.161,0.0322,5,0.339,verkleuring,0
VIS-000034,capsule,Lijn_2,308,5762,284.8,0.916,0.96,0.847,161.6,13.0,0.9,3.16,0.782,0.4,0.718,0.142,0.062,3,0.906,geen,1
VIS-000035,tablet,Lijn_1,194,8119,307.7,0.986,0.974,0.837,169.6,18.6,0.926,2.54,0.888,0.316,0.794,0.311,0.0913,8,0.356,barst,0
VIS-000036,vial,Lijn_3,149,13394,473.6,0.888,0.959,0.861,178.1,12.6,0.895,3.07,0.916,0.279,0.85,0.143,0.0597,4,0.333,vulniveau,0
VIS-000037,vial,Lijn_2,294,14196,433.9,0.932,0.999,0.849,158.9,14.1,0.896,5.3,0.846,0.191,0.774,0.155,0.05,1,0.816,geen,1
VIS-000038,vial,Lijn_1,190,14741,433.7,1.015,0.998,0.846,195.1,12.0,0.885,2.42,0.912,0.256,0.715,0.074,0.0668,0,0.943,geen,1
VIS-000039,tablet,Lijn_1,193,8112,328.6,0.945,1.018,0.845,195.6,10.2,0.936,11.96,0.9,0.356,0.819,0.158,0.0513,3,0.906,geen,1
VIS-000040,tablet,Lijn_1,204,8487,315.4,1.049,0.998,0.844,183.3,12.7,0.908,15.77,0.926,0.314,0.811,0.122,0.0479,1,0.746,geen,1
VIS-000041,tablet,Lijn_1,196,8486,328.4,1.0,0.981,0.831,172.0,5.1,0.965,11.27,0.905,0.285,0.748,0.147,0.0483,2,0.799,geen,1
VIS-000042,vial,Lijn_3,148,14508,418.3,1.037,1.027,0.892,154.6,16.8,0.884,9.82,0.833,0.28,0.767,0.172,0.0556,2,0.208,verkleuring,0
VIS-000043,vial,Lijn_3,148,14981,422.9,1.041,1.031,0.854,181.5,10.1,0.91,8.35,0.847,0.356,0.741,0.121,0.0468,3,0.939,geen,1
