timestamp,module_id,module_type,voeding_TDS_mgL,voeding_turbiditeit_NTU,voeding_temp_C,voeding_pH,voeding_druk_bar,TMP_bar,flux_Lm2h,specifieke_flux_Lm2hbar,permeaat_TDS_mgL,permeaat_conductiviteit_mScm,recovery,fouling_weerstand,SEC_kWhm3,is_reiniging,fouling_fase
2025-01-01 00:00,MEM-01,RO,533.0,2.38,5.9,7.1,14.87,14.97,16.9,1.13,3.4,0.0,0.784,0.0,2.468,0,schoon
2025-01-01 01:00,MEM-01,RO,497.0,2.58,8.9,7.1,15.08,15.06,17.5,1.16,2.8,0.0,0.745,0.0,2.381,0,schoon
2025-01-01 02:00,MEM-01,RO,511.0,2.45,6.8,7.2,15.24,15.29,16.8,1.1,2.7,0.007,0.773,0.0,2.468,0,schoon
2025-01-01 03:00,MEM-01,RO,478.0,2.59,5.9,7.4,15.1,15.67,15.8,1.01,2.9,0.0,0.794,0.00038,2.72,0,schoon
2025-01-01 04:00,MEM-01,RO,524.0,2.34,8.7,7.2,15.13,16.43,15.7,0.95,0.7,0.015,0.818,0.00086,2.969,0,schoon
2025-01-01 05:00,MEM-01,RO,461.0,2.16,9.0,7.2,14.94,15.67,15.9,1.02,2.1,0.018,0.757,0.00044,2.658,0,schoon
2025-01-01 06:00,MEM-01,RO,505.0,2.28,8.3,7.2,14.72,16.91,14.0,0.83,4.1,0.0,0.732,0.0015,3.195,0,schoon
2025-01-01 07:00,MEM-01,RO,488.0,2.61,5.9,7.2,15.25,16.26,14.6,0.9,0.9,0.0,0.718,0.00063,3.063,0,schoon
2025-01-01 08:00,MEM-01,RO,506.0,2.32,6.7,7.2,15.09,15.91,15.0,0.94,2.7,0.0,0.741,0.00055,2.861,0,schoon
2025-01-01 09:00,MEM-01,RO,482.0,2.06,8.5,7.2,15.04,16.2,16.1,0.99,3.7,0.003,0.777,0.00075,2.829,0,schoon
2025-01-01 10:00,MEM-01,RO,524.0,2.76,7.0,7.3,15.03,16.67,13.9,0.84,1.3,0.024,0.806,0.00104,3.302,0,schoon
2025-01-01 11:00,MEM-01,RO,529.0,2.13,7.7,7.3,15.07,16.37,14.7,0.9,1.5,0.0,0.712,0.0009,3.064,0,schoon
2025-01-01 12:00,MEM-01,RO,513.0,2.04,7.0,7.3,14.69,16.82,12.4,0.74,5.2,0.025,0.702,0.00151,3.804,0,schoon
2025-01-01 13:00,MEM-01,RO,494.0,2.14,7.5,7.3,15.09,15.38,16.3,1.06,3.5,0.0,0.797,0.00021,2.603,0,schoon
2025-01-01 14:00,MEM-01,RO,501.0,3.25,6.3,6.9,14.9,16.16,12.7,0.79,4.2,0.044,0.811,0.00092,3.461,0,schoon
2025-01-01 15:00,MEM-01,RO,531.0,2.45,8.4,7.3,15.07,17.13,12.7,0.74,3.2,0.0,0.813,0.00135,3.751,0,schoon
2025-01-01 16:00,MEM-01,RO,479.0,2.48,7.5,7.2,14.64,16.39,13.8,0.84,4.4,0.007,0.821,0.00123,3.298,0,schoon
2025-01-01 17:00,MEM-01,RO,510.0,3.6,7.5,7.1,14.94,17.48,12.5,0.71,5.0,0.0,0.752,0.00166,3.828,0,schoon
2025-01-01 18:00,MEM-01,RO,505.0,2.33,6.4,7.1,15.35,15.99,15.3,0.96,3.4,0.019,0.83,0.0004,2.878,0,schoon
2025-01-01 19:00,MEM-01,RO,468.0,2.19,7.4,7.4,15.27,17.16,13.6,0.79,5.1,0.011,0.751,0.00124,3.537,0,schoon
