timestamp,CV_top_zuiverheid,CV_bodem_zuiverheid,CV_kolom_druk_bar,CV_condenser_niveau_pct,SP_top_zuiverheid,SP_bodem_zuiverheid,SP_kolom_druk_bar,SP_condenser_niveau_pct,MV_reflux_flow_kgh,MV_reboiler_duty_kW,MV_feed_flow_kgh,DV_feed_compositie,DV_omgevingstemp_C,mpc_status,sp_verandering,cv_constraint_overtreding,mv_constraint_actief,objectieffunctie
2025-07-01 00:00:00,0.995,0.005,1.5,60.0,0.995,0.005,1.5,60.0,100.0,200.0,100.0,0.4972,24.9,actief,0,0,0,20.0
2025-07-01 00:01:00,0.99501,0.00506,1.502,60.2,0.995,0.005,1.5,60.0,100.3,199.6,100.0,0.4978,24.7,actief,0,0,0,20.1
2025-07-01 00:02:00,0.99482,0.00503,1.485,60.2,0.995,0.005,1.5,60.0,100.4,199.6,100.6,0.5028,25.5,actief,0,0,0,21.8
2025-07-01 00:03:00,0.99526,0.00483,1.505,60.0,0.995,0.005,1.5,60.0,100.9,199.7,99.9,0.4969,24.4,actief,0,0,0,22.6
2025-07-01 00:04:00,0.99488,0.00505,1.514,59.6,0.995,0.005,1.5,60.0,99.9,199.0,100.6,0.4981,25.2,actief,0,0,0,21.1
2025-07-01 00:05:00,0.99506,0.00499,1.494,59.9,0.995,0.005,1.5,60.0,100.1,199.1,100.9,0.5043,25.6,actief,0,0,0,20.5
2025-07-01 00:06:00,0.99509,0.00494,1.493,59.9,0.995,0.005,1.5,60.0,99.7,199.5,100.7,0.507,25.9,actief,0,0,0,20.8
2025-07-01 00:07:00,0.99488,0.00502,1.508,59.9,0.995,0.005,1.5,60.0,99.6,200.2,100.7,0.5154,25.5,actief,0,0,0,21.2
2025-07-01 00:08:00,0.995,0.00503,1.507,59.6,0.995,0.005,1.5,60.0,99.9,200.0,101.7,0.5036,24.9,actief,0,0,0,20.0
2025-07-01 00:09:00,0.99514,0.00512,1.514,59.5,0.995,0.005,1.5,60.0,99.2,199.9,100.0,0.5055,24.9,actief,0,0,0,21.4
2025-07-01 00:10:00,0.99489,0.00514,1.508,59.3,0.995,0.005,1.5,60.0,98.8,200.4,100.9,0.5065,25.7,actief,0,0,0,21.2
2025-07-01 00:11:00,0.99473,0.00509,1.496,59.3,0.995,0.005,1.5,60.0,99.0,200.3,101.1,0.5044,24.7,actief,0,0,0,22.8
2025-07-01 00:12:00,0.99531,0.00506,1.493,59.1,0.995,0.005,1.5,60.0,99.7,200.8,101.3,0.5092,25.0,actief,0,0,0,23.2
2025-07-01 00:13:00,0.995,0.00491,1.496,59.6,0.995,0.005,1.5,60.0,98.9,200.7,100.6,0.5093,25.5,actief,0,0,0,20.1
2025-07-01 00:14:00,0.99482,0.0051,1.514,59.4,0.995,0.005,1.5,60.0,99.1,199.0,102.0,0.5148,24.3,actief,0,0,0,21.7
