loop_tag,loop_type,tuning_kwaliteit,tijd_sec,setpoint,proceswaarde,regeluitgang_pct,afwijking,abs_afwijking
TIC-101,temperatuur,goed,0,150.0,150.0,50.0,0.0,0.0
TIC-101,temperatuur,goed,5,150.0,151.003,48.88,-1.0029,1.0029
TIC-101,temperatuur,goed,10,150.0,151.251,48.73,-1.2515,1.2515
TIC-101,temperatuur,goed,15,150.0,150.653,49.08,-0.6532,0.6532
TIC-101,temperatuur,goed,20,150.0,151.157,49.01,-1.1572,1.1572
TIC-101,temperatuur,goed,25,150.0,151.307,48.5,-1.3067,1.3067
TIC-101,temperatuur,goed,30,150.0,151.333,47.71,-1.3327,1.3327
TIC-101,temperatuur,goed,35,150.0,151.955,47.46,-1.9545,1.9545
TIC-101,temperatuur,goed,40,150.0,151.691,47.68,-1.6905,1.6905
TIC-101,temperatuur,goed,45,150.0,151.246,48.76,-1.2457,1.2457
TIC-101,temperatuur,goed,50,150.0,150.917,48.48,-0.9169,0.9169
TIC-101,temperatuur,goed,55,150.0,150.142,49.5,-0.1424,0.1424
TIC-101,temperatuur,goed,60,150.0,150.163,49.27,-0.1633,0.1633
TIC-101,temperatuur,goed,65,150.0,149.944,49.61,0.0557,0.0557
TIC-101,temperatuur,goed,70,150.0,149.451,49.78,0.5491,0.5491
TIC-101,temperatuur,goed,75,150.0,150.475,49.39,-0.4747,0.4747
TIC-101,temperatuur,goed,80,150.0,150.675,48.5,-0.6746,0.6746
TIC-101,temperatuur,goed,85,150.0,150.808,49.17,-0.8084,0.8084
TIC-101,temperatuur,goed,90,150.0,150.436,48.69,-0.436,0.436
TIC-101,temperatuur,goed,95,150.0,150.466,48.9,-0.4659,0.4659
TIC-101,temperatuur,goed,100,150.0,150.263,48.83,-0.2629,0.2629
TIC-101,temperatuur,goed,105,150.0,150.001,49.3,-0.0007,0.0007
TIC-101,temperatuur,goed,110,150.0,149.976,49.47,0.0236,0.0236
TIC-101,temperatuur,goed,115,150.0,149.6,49.01,0.3995,0.3995
TIC-101,temperatuur,goed,120,150.0,150.159,48.71,-0.1587,0.1587
TIC-101,temperatuur,goed,125,150.0,149.512,49.86,0.4875,0.4875
TIC-101,temperatuur,goed,130,150.0,150.385,49.3,-0.3853,0.3853
TIC-101,temperatuur,goed,135,150.0,150.924,48.5,-0.9236,0.9236
TIC-101,temperatuur,goed,140,150.0,151.238,48.34,-1.2383,1.2383
TIC-101,temperatuur,goed,145,150.0,150.405,48.53,-0.4053,0.4053
TIC-101,temperatuur,goed,150,150.0,150.523,48.66,-0.5232,0.5232
TIC-101,temperatuur,goed,155,150.0,150.813,48.17,-0.8131,0.8131
TIC-101,temperatuur,goed,160,150.0,149.782,48.89,0.2182,0.2182
TIC-101,temperatuur,goed,165,150.0,151.083,48.18,-1.083,1.083
TIC-101,temperatuur,goed,170,150.0,150.24,48.56,-0.2395,0.2395
TIC-101,temperatuur,goed,175,150.0,149.501,49.67,0.499,0.499
TIC-101,temperatuur,goed,180,150.0,150.88,48.02,-0.8801,0.8801
TIC-101,temperatuur,goed,185,150.0,150.909,47.69,-0.9086,0.9086
TIC-101,temperatuur,goed,190,150.0,151.732,47.21,-1.7316,1.7316
TIC-101,temperatuur,goed,195,150.0,151.27,47.32,-1.2702,1.2702
TIC-101,temperatuur,goed,200,150.0,151.248,47.95,-1.248,1.248
TIC-101,temperatuur,goed,205,150.0,150.185,48.5,-0.1851,0.1851
TIC-101,temperatuur,goed,210,150.0,150.038,48.88,-0.0376,0.0376
TIC-101,temperatuur,goed,215,150.0,149.91,48.46,0.0898,0.0898
TIC-101,temperatuur,goed,220,150.0,149.802,49.03,0.1984,0.1984
TIC-101,temperatuur,goed,225,150.0,149.53,48.8,0.4704,0.4704
TIC-101,temperatuur,goed,230,150.0,149.719,49.88,0.2808,0.2808
TIC-101,temperatuur,goed,235,150.0,149.992,49.47,0.0084,0.0084
TIC-101,temperatuur,goed,240,150.0,149.088,49.64,0.9119,0.9119
TIC-101,temperatuur,goed,245,150.0,149.256,50.23,0.7435,0.7435
TIC-101,temperatuur,goed,250,150.0,149.037,49.94,0.9633,0.9633
TIC-101,temperatuur,goed,255,150.0,149.031,50.0,0.9686,0.9686
TIC-101,temperatuur,goed,260,150.0,147.047,52.04,2.9531,2.9531
TIC-101,temperatuur,goed,265,150.0,147.624,51.69,2.376,2.376
TIC-101,temperatuur,goed,270,150.0,148.309,51.09,1.691,1.691
TIC-101,temperatuur,goed,275,150.0,148.935,50.9,1.0649,1.0649
TIC-101,temperatuur,goed,280,150.0,149.055,50.41,0.9449,0.9449
