batch_id,datum,seizoen,product,leverancier,API_zuiverheid_pct,API_vochtgehalte_pct,API_deeltjesgrootte_d50_um,API_bulkdichtheid_gmL,granulatie_water_pct,mengtijd_min,perskracht_kN,perssnelheid_RPM,droogtemp_C,droogtijd_min,coatingtijd_min,ruimte_temp_C,ruimte_RV_pct,gewicht_mg,hardheid_N,dissolutie_pct,brosheid_pct,gehalte_uniformiteit_RSD,restvochtgehalte_pct,coating_gewichtstoename_pct,uiterlijk_score,cyclustijd_min,batchkosten_EUR,goedgekeurd
RX-0000,2025-05-25,lente,Paracetamol_500mg,Sup_B,99.66,1.98,46.3,0.461,28.3,18.3,11.9,30.0,65.0,30.0,52.0,21.1,50.6,505.4,72.1,100.0,0.327,1.12,1.27,4.1,4.1,168.0,224.0,1
RX-0001,2025-12-08,winter,Paracetamol_500mg,Sup_B,99.64,1.97,41.0,0.467,18.9,16.3,18.5,40.0,59.0,47.0,51.0,17.6,39.7,495.7,92.8,87.3,0.412,1.17,1.09,3.9,4.1,169.0,233.0,1
RX-0002,2025-08-19,zomer,Paracetamol_500mg,Sup_B,99.49,2.72,60.0,0.441,22.8,9.4,15.7,53.0,59.0,32.0,53.0,22.0,57.5,497.6,76.9,92.2,0.595,2.0,1.8,3.8,3.6,157.0,219.0,1
RX-0003,2025-02-08,winter,Ibuprofen_400mg,Sup_A,99.26,2.13,59.9,0.485,20.0,15.7,24.2,35.0,68.0,35.0,74.0,20.4,37.7,401.4,99.2,69.6,0.328,3.84,1.37,4.3,5.0,180.0,243.0,0
RX-0004,2025-08-02,zomer,Metformin_850mg,Sup_A,99.36,3.18,46.1,0.5,17.3,11.5,22.3,28.0,66.0,23.0,58.0,24.8,52.1,852.1,129.3,71.7,0.331,1.54,2.58,4.2,4.5,150.0,214.0,0
RX-0005,2025-05-11,lente,Omeprazol_20mg,Sup_A,99.35,1.89,51.7,0.408,24.8,18.9,18.1,25.0,53.0,55.0,46.0,20.7,46.9,200.2,76.2,72.4,0.331,0.57,1.39,3.9,4.7,186.0,242.0,0
RX-0006,2025-01-15,winter,Paracetamol_500mg,Sup_A,99.36,2.24,54.5,0.46,22.0,15.9,22.6,37.0,64.0,20.0,49.0,20.6,40.7,492.2,112.3,66.4,0.357,0.38,1.83,3.7,4.6,151.0,210.0,0
RX-0007,2025-03-09,lente,Metformin_850mg,Sup_C,99.51,2.08,47.7,0.466,20.9,9.0,22.2,44.0,58.0,22.0,40.0,22.3,43.8,851.4,119.9,76.7,0.47,1.05,1.85,3.9,4.3,130.0,196.0,1
RX-0008,2025-03-15,lente,Ibuprofen_400mg,Sup_B,98.69,2.19,42.7,0.493,17.3,10.7,9.4,33.0,65.0,33.0,85.0,20.3,43.9,398.4,49.7,100.0,0.607,1.58,1.54,4.4,4.9,184.0,243.0,1
RX-0009,2025-09-29,herfst,Metformin_850mg,Sup_A,98.99,1.88,50.4,0.413,24.2,11.0,20.0,41.0,52.0,47.0,60.0,20.2,49.0,855.3,113.6,78.6,0.454,1.02,0.91,4.2,4.3,177.0,238.0,1
