episode,stap,policy,setpoint_C,state_temp_C,state_conc_molL,state_coolant_C,state_error_C,state_verstoring,action_coolant_adj,reward_tracking,reward_energie,reward_constraint,reward_totaal,cumulatief_reward,next_temp_C,next_conc_molL,next_coolant_C,done
0,0,PID_agressief,160,154.79,1.0829,19.9,5.21,0.007,10.0,-2.512,-0.11,0,-2.622,-2.62,147.44,1.0846,20.1,0
0,1,PID_agressief,160,147.44,1.0846,20.1,12.56,-0.262,10.0,-3.982,-0.11,0,-4.092,-6.71,140.09,1.0863,20.2,0
0,2,PID_agressief,160,140.09,1.0863,20.2,19.91,-0.18,10.0,-5.316,-0.11,0,-5.426,-12.14,133.42,1.0879,20.3,0
0,3,PID_agressief,160,133.42,1.0879,20.3,26.58,0.001,10.0,-6.533,-0.11,0,-6.643,-18.78,127.33,1.0896,20.2,0
0,4,PID_agressief,160,127.33,1.0896,20.2,32.67,0.266,10.0,-7.634,-0.11,0,-7.744,-26.53,121.83,1.0913,20.2,0
0,5,PID_agressief,160,121.83,1.0913,20.2,38.17,0.004,10.0,-8.703,-0.11,-10,-18.813,-45.34,116.49,1.093,20.2,0
0,6,PID_agressief,160,116.49,1.093,20.2,43.51,0.349,10.0,-9.658,-0.11,-10,-19.768,-65.11,111.71,1.0947,20.3,0
0,7,PID_agressief,160,111.71,1.0947,20.3,48.29,0.466,10.0,-10.55,-0.11,-10,-20.66,-85.77,107.25,1.0964,20.5,1
1,0,random,155,142.59,0.8891,29.7,12.41,0.073,6.36,-3.669,-0.07,0,-3.739,-3.74,136.66,0.8908,29.5,0
1,1,random,155,136.66,0.8908,29.5,18.34,-0.286,2.39,-4.76,-0.026,0,-4.787,-8.53,131.2,0.8926,29.3,0
1,2,random,155,131.2,0.8926,29.3,23.8,0.308,-8.16,-5.46,-0.082,0,-5.542,-14.07,127.7,0.8943,29.1,0
1,3,random,155,127.7,0.8943,29.1,27.3,0.278,9.5,-6.441,-0.105,0,-6.546,-20.61,122.79,0.896,29.1,0
1,4,random,155,122.79,0.896,29.1,32.21,0.307,7.45,-7.383,-0.082,-10,-17.465,-38.08,118.09,0.8978,29.2,0
1,5,random,155,118.09,0.8978,29.2,36.91,0.46,-0.38,-8.064,-0.004,-10,-18.068,-56.15,114.68,0.8995,29.1,0
1,6,random,155,114.68,0.8995,29.1,40.32,0.339,0.73,-8.7,-0.008,-10,-18.708,-74.85,111.5,0.9013,29.1,0
1,7,random,155,111.5,0.9013,29.1,43.5,0.255,2.49,-9.458,-0.027,-10,-19.485,-94.34,107.71,0.903,29.1,1
2,0,PID_conservatief,160,144.43,1.0186,29.2,15.57,0.112,3.0,-4.194,-0.033,0,-4.227,-4.23,139.03,1.0203,29.1,0
2,1,PID_conservatief,160,139.03,1.0203,29.1,20.97,-0.127,3.0,-5.212,-0.033,0,-5.245,-9.47,133.94,1.022,29.0,0
2,2,PID_conservatief,160,133.94,1.022,29.0,26.06,-0.104,3.0,-6.217,-0.033,0,-6.25,-15.72,128.91,1.0237,29.1,0
2,3,PID_conservatief,160,128.91,1.0237,29.1,31.09,0.258,3.0,-7.046,-0.033,0,-7.079,-22.8,124.77,1.0254,29.0,0
2,4,PID_conservatief,160,124.77,1.0254,29.0,35.23,0.129,3.0,-7.956,-0.033,0,-7.989,-30.79,120.22,1.0272,28.9,0
2,5,PID_conservatief,160,120.22,1.0272,28.9,39.78,0.325,3.0,-8.727,-0.033,-10,-18.76,-49.55,116.37,1.0289,28.9,0
2,6,PID_conservatief,160,116.37,1.0289,28.9,43.63,-0.241,3.0,-9.589,-0.033,-10,-19.622,-69.17,112.05,1.0306,28.8,0
