sensor_id,dag,uur,werkelijke_pH,gemeten_pH,afwijking,ruis_std,status
pH-00,0,0,7.0,6.971,-0.029,0.0207,ok
pH-00,0,1,7.0,6.979,-0.021,0.0207,ok
pH-00,0,2,7.0,7.004,0.004,0.0207,ok
pH-00,0,3,7.0,7.027,0.027,0.0207,ok
pH-00,0,4,7.0,6.99,-0.01,0.0207,ok
pH-00,0,5,7.0,6.98,-0.02,0.0207,ok
pH-00,0,6,7.0,6.981,-0.019,0.0207,ok
pH-00,0,7,7.0,7.009,0.009,0.0207,ok
pH-00,0,8,7.0,7.022,0.022,0.0207,ok
pH-00,0,9,7.0,7.021,0.021,0.0207,ok
pH-00,0,10,7.0,6.986,-0.014,0.0207,ok
pH-00,0,11,7.0,6.969,-0.031,0.0207,ok
pH-00,0,12,7.0,7.002,0.002,0.0207,ok
pH-00,0,13,7.0,7.031,0.031,0.0207,ok
pH-00,0,14,7.0,7.009,0.009,0.0207,ok
pH-00,0,15,7.0,6.972,-0.028,0.0207,ok
pH-00,0,16,7.0,6.999,-0.001,0.0207,ok
pH-00,0,17,7.0,6.979,-0.021,0.0207,ok
pH-00,0,18,7.0,7.007,0.007,0.0207,ok
pH-00,0,19,7.0,6.999,-0.001,0.0207,ok
pH-00,0,20,7.0,6.994,-0.006,0.0207,ok
pH-00,0,21,7.0,6.987,-0.013,0.0207,ok
pH-00,0,22,7.0,7.009,0.009,0.0207,ok
pH-00,0,23,7.0,7.025,0.025,0.0207,ok
pH-00,1,0,7.0,7.038,0.038,0.021,ok
pH-00,1,1,7.0,7.012,0.012,0.021,ok
pH-00,1,2,7.0,7.03,0.03,0.021,ok
pH-00,1,3,7.0,6.982,-0.018,0.021,ok
pH-00,1,4,7.0,6.997,-0.003,0.021,ok
pH-00,1,5,7.0,6.984,-0.016,0.021,ok
pH-00,1,6,7.0,6.993,-0.007,0.021,ok
pH-00,1,7,7.0,6.982,-0.018,0.021,ok
pH-00,1,8,7.0,7.038,0.038,0.021,ok
pH-00,1,9,7.0,6.996,-0.004,0.021,ok
pH-00,1,10,7.0,7.001,0.001,0.021,ok
pH-00,1,11,7.0,6.971,-0.029,0.021,ok
pH-00,1,12,7.0,6.962,-0.038,0.021,ok
pH-00,1,13,7.0,7.039,0.039,0.021,ok
pH-00,1,14,7.0,6.999,-0.001,0.021,ok
pH-00,1,15,7.0,7.052,0.052,0.021,ok
pH-00,1,16,7.0,7.0,0.0,0.021,ok
