tablet_id,deeltjesgrootte_um,vochtgehalte_pct,menguniformiteit_pct,perskracht_kN,voorcompressie_kN,draaisnelheid_RPM,vuldiepte_mm,gewicht_mg,dikte_mm,hardheid_N,brosheid_pct,dissolutie_30min_pct,goedgekeurd
TAB-00000,32.0,2.31,98.0,13.1,2.6,30,11.84,347.5,4.13,67.3,0.412,90.3,1
TAB-00001,37.7,2.19,98.5,11.6,3.8,41,11.67,346.0,4.13,69.4,0.529,91.6,1
TAB-00002,27.0,4.03,98.1,15.1,2.6,40,11.46,346.9,3.86,66.7,0.49,90.4,1
TAB-00003,68.0,2.74,97.1,16.8,2.8,29,12.3,350.4,3.96,96.6,0.416,75.4,1
TAB-00004,53.3,2.91,98.7,12.5,2.6,48,11.83,355.6,4.14,65.3,0.63,94.7,1
TAB-00005,56.6,2.44,98.9,15.5,2.6,21,12.31,354.3,3.97,92.5,0.395,83.4,1
TAB-00006,53.0,3.47,96.5,16.7,3.0,48,11.44,345.6,3.86,87.7,0.56,84.4,1
TAB-00007,55.7,2.61,98.9,15.0,2.9,38,11.67,348.4,3.96,82.3,0.376,86.8,1
TAB-00008,50.8,2.75,100.4,11.8,2.8,48,11.89,349.2,4.22,58.8,0.567,90.8,1
TAB-00009,52.7,3.15,99.4,15.8,2.9,39,11.94,349.6,4.05,74.3,0.476,80.8,1
TAB-00010,51.1,2.47,99.9,14.9,2.6,59,12.38,347.8,4.1,76.4,0.644,88.0,1
TAB-00011,43.9,2.91,98.3,14.7,3.2,33,11.78,350.1,3.99,79.3,0.44,82.7,1
TAB-00012,49.5,3.7,96.1,13.9,4.0,59,12.37,355.8,4.15,63.6,0.538,86.3,1
TAB-00013,52.7,3.21,96.4,15.2,2.6,23,12.19,348.9,4.04,85.0,0.37,84.7,1
TAB-00014,51.1,3.07,98.6,16.0,3.2,47,11.95,355.7,3.94,87.5,0.487,82.1,1
TAB-00015,35.2,3.11,99.9,19.8,3.0,38,11.52,352.4,3.82,106.6,0.293,75.0,1
TAB-00016,36.6,2.81,103.6,15.2,3.3,53,12.38,353.1,3.99,68.5,0.599,83.0,1
TAB-00017,60.8,4.0,100.0,18.0,3.3,52,11.54,346.0,3.83,87.7,0.469,86.5,1
TAB-00018,46.9,2.59,95.7,15.7,3.1,52,11.99,350.3,4.01,86.4,0.548,83.6,1
TAB-00019,55.8,3.11,96.5,14.8,3.0,24,11.97,350.9,3.99,92.5,0.374,83.4,1
TAB-00020,39.1,3.06,102.6,15.3,2.8,53,11.9,351.1,4.0,70.6,0.637,81.9,1
TAB-00021,35.3,3.5,97.6,12.6,2.6,29,11.81,354.8,4.15,71.9,0.503,89.5,1
TAB-00022,41.6,3.55,98.1,15.6,3.0,21,11.59,348.5,3.94,77.5,0.397,83.9,1
TAB-00023,47.8,2.98,96.1,11.0,2.4,29,11.19,352.1,4.14,67.6,0.549,91.3,1
TAB-00024,43.3,3.15,101.1,13.3,2.7,39,12.7,355.0,4.16,67.6,0.487,85.2,1
TAB-00025,62.9,3.16,99.0,15.2,3.6,50,11.75,348.2,4.0,88.9,0.581,86.6,1
TAB-00026,51.8,1.86,96.5,17.4,3.0,29,11.94,354.6,3.86,99.1,0.315,75.5,1
TAB-00027,68.5,2.21,96.0,17.9,3.4,25,11.93,350.6,3.83,106.0,0.296,75.0,0
TAB-00028,54.0,2.7,98.6,14.5,3.7,46,12.55,350.8,4.08,79.0,0.519,86.7,1
TAB-00029,25.9,2.72,98.1,15.3,2.9,59,12.97,354.5,4.14,64.5,0.522,84.9,1
TAB-00030,60.6,2.4,99.7,17.0,3.1,44,12.08,351.1,3.82,85.1,0.441,79.1,1
TAB-00031,34.9,3.37,99.1,12.3,2.8,48,11.92,349.9,4.08,61.8,0.627,96.0,1
TAB-00032,52.3,3.0,97.5,15.8,2.6,42,11.44,347.6,4.02,87.9,0.381,90.1,1
TAB-00033,42.3,2.89,96.9,13.3,2.5,51,11.28,343.7,4.02,69.4,0.639,89.1,1
TAB-00034,71.4,2.37,97.7,14.7,3.4,59,11.11,339.3,3.91,74.6,0.611,83.5,1
TAB-00035,64.4,2.98,96.9,14.1,3.1,42,11.6,348.3,4.05,80.5,0.433,88.3,1
TAB-00036,42.6,1.69,97.7,15.9,3.9,37,10.95,342.6,3.81,87.3,0.3,75.3,1
TAB-00037,48.7,2.92,98.0,16.1,3.5,54,12.54,354.1,3.89,84.3,0.588,79.9,1
TAB-00038,52.4,3.03,96.2,16.8,2.6,59,12.21,349.4,3.95,88.5,0.598,76.6,1
TAB-00039,58.6,3.12,99.3,15.7,3.4,25,11.87,345.6,3.92,91.7,0.449,82.5,1
TAB-00040,50.3,2.22,97.3,15.3,2.8,43,12.55,348.3,4.04,91.8,0.398,78.3,1
TAB-00041,39.8,3.11,96.3,18.7,3.6,52,11.46,350.7,3.78,92.9,0.581,79.3,1
TAB-00042,42.8,2.48,97.3,12.0,2.8,41,11.59,344.9,4.12,64.0,0.504,86.9,1
TAB-00043,50.0,2.59,98.5,18.4,2.5,36,11.03,343.0,3.65,99.4,0.406,77.8,1
TAB-00044,62.3,3.36,98.2,14.4,2.6,46,12.39,351.7,4.07,68.4,0.573,90.1,1
TAB-00045,54.3,4.01,98.8,16.1,2.6,31,11.59,348.1,3.92,81.5,0.561,89.5,1
TAB-00046,42.3,3.03,99.8,14.3,2.6,34,12.01,348.0,3.96,74.5,0.49,84.9,1
TAB-00047,56.5,2.59,100.6,13.6,2.7,60,12.5,349.1,4.04,68.4,0.627,87.8,1
TAB-00048,46.1,3.09,98.6,16.0,3.4,45,12.69,357.8,3.97,84.2,0.509,84.2,1
TAB-00049,58.9,3.47,95.9,17.1,3.9,55,11.99,352.9,3.93,79.8,0.497,86.5,1
TAB-00050,75.3,3.31,97.5,15.9,2.3,52,12.19,355.3,3.87,77.5,0.442,87.7,1
TAB-00051,46.4,4.37,96.0,13.9,3.6,46,11.55,354.8,4.05,72.1,0.622,95.0,1
TAB-00052,58.0,2.64,101.4,22.2,2.8,54,12.84,346.4,3.74,104.9,0.335,64.9,0
TAB-00053,42.5,3.13,102.0,17.4,3.2,31,11.92,350.9,3.86,95.8,0.433,78.2,1
TAB-00054,48.9,3.77,99.3,16.9,2.2,45,12.04,350.0,3.84,80.1,0.536,86.6,1
TAB-00055,50.3,3.74,99.7,14.3,3.3,44,11.8,353.8,3.98,73.1,0.576,90.4,1
TAB-00056,48.1,2.02,98.5,13.7,2.0,45,12.6,348.8,4.16,82.6,0.448,84.1,1
TAB-00057,74.6,3.0,98.7,14.4,3.2,27,12.1,347.3,4.1,85.8,0.497,85.9,1
TAB-00058,46.9,3.74,94.8,17.2,3.1,31,12.38,349.1,3.88,92.5,0.473,85.1,1
TAB-00059,55.9,4.45,97.9,13.0,3.1,31,12.18,352.9,4.17,67.1,0.51,87.7,1
TAB-00060,30.7,3.35,96.2,12.9,2.6,44,11.89,352.9,4.13,61.2,0.684,91.7,1
TAB-00061,54.3,2.82,98.6,16.1,3.3,59,12.46,352.7,3.99,80.9,0.553,82.8,1
TAB-00062,61.4,2.5,97.9,15.6,3.2,58,12.17,346.2,3.95,86.4,0.486,81.3,1
TAB-00063,44.7,4.11,101.9,13.5,2.9,29,11.52,356.3,4.0,65.1,0.494,92.7,1
TAB-00064,24.9,3.36,99.8,12.8,3.3,32,11.51,350.2,4.15,59.6,0.447,88.0,1
TAB-00065,49.6,2.58,98.6,17.9,3.0,21,12.07,351.9,3.87,102.3,0.396,78.0,1
TAB-00066,50.2,2.9,97.5,15.7,3.3,36,12.45,355.9,4.08,86.8,0.514,83.1,1
TAB-00067,57.2,3.16,101.4,12.3,2.9,53,12.82,349.5,4.23,53.8,0.666,93.5,1
TAB-00068,70.1,3.27,97.9,12.4,3.1,57,11.11,343.4,4.02,64.9,0.676,92.5,1
TAB-00069,46.2,2.55,98.7,14.3,3.3,29,12.01,351.6,4.07,75.5,0.502,79.2,1
TAB-00070,41.4,2.69,98.1,16.5,2.8,31,12.24,348.2,4.06,92.7,0.396,76.5,1
TAB-00071,38.3,2.17,97.2,16.2,2.4,29,12.15,348.3,3.92,80.8,0.4,76.3,1
TAB-00072,52.0,3.52,98.1,17.3,3.1,34,12.5,353.3,3.98,100.8,0.41,83.5,1
TAB-00073,54.8,2.83,94.1,12.0,3.6,52,12.33,347.5,4.19,62.8,0.604,92.4,1
TAB-00074,44.5,3.23,94.9,15.4,3.1,46,11.51,346.9,3.86,74.2,0.555,89.5,1
TAB-00075,57.8,3.71,98.7,17.9,3.2,51,11.49,351.6,3.73,87.7,0.382,78.8,1
TAB-00076,54.7,3.11,101.1,17.7,3.0,43,12.16,353.2,3.86,95.5,0.438,84.2,1
TAB-00077,50.4,2.94,98.7,15.7,3.4,30,12.5,355.7,4.03,92.1,0.443,77.6,1
TAB-00078,41.0,3.1,96.6,19.7,2.9,29,12.07,353.6,3.82,102.9,0.353,75.5,1
TAB-00079,45.2,3.03,95.1,16.2,2.8,20,11.21,347.3,3.78,83.2,0.356,83.2,1
TAB-00080,25.7,3.62,99.6,17.1,3.6,51,11.48,349.6,3.88,74.1,0.575,82.2,1
TAB-00081,52.4,3.16,96.9,15.1,2.7,54,12.35,352.8,4.02,76.9,0.54,84.5,1
TAB-00082,50.3,2.73,99.3,13.4,3.4,51,11.83,346.7,4.06,76.2,0.51,87.7,1
TAB-00083,51.9,3.52,98.8,13.2,3.6,23,12.06,348.3,4.12,80.8,0.535,86.5,1
TAB-00084,55.0,3.62,99.0,15.4,3.3,50,12.53,351.8,4.12,78.0,0.628,89.0,1
TAB-00085,53.9,2.33,98.1,14.6,2.4,22,11.4,344.7,3.98,91.0,0.354,84.8,1
