sample_id,plant,temperatuur_C,druk_bar,debiet_kgh,katalysator_kgh,voeding_conc_molL,conversie,selectiviteit,opbrengst_pct,energie_kWh,heeft_label
Plant_A-00000,Plant_A,146.8,4.57,105.5,0.8,1.404,0.6943,0.808,56.1,62.5,1
Plant_A-00001,Plant_A,171.4,6.94,60.3,4.79,1.564,0.8486,0.8831,74.94,52.4,1
Plant_A-00002,Plant_A,189.8,1.77,89.9,1.79,1.221,0.7263,0.8962,65.09,60.7,1
Plant_A-00003,Plant_A,197.8,4.91,62.2,3.4,1.011,0.8111,0.9124,74.0,55.8,1
Plant_A-00004,Plant_A,147.9,9.19,137.2,0.77,1.447,0.668,0.8058,53.83,67.2,1
Plant_A-00005,Plant_A,152.9,3.89,84.3,1.23,1.242,0.6689,0.837,55.99,56.5,1
Plant_A-00006,Plant_A,183.9,3.2,77.9,1.81,0.871,0.7445,0.8931,66.49,57.7,1
Plant_A-00007,Plant_A,188.3,9.68,74.2,4.43,0.657,0.7796,0.9205,71.76,57.6,1
Plant_A-00008,Plant_A,162.3,1.98,67.2,2.05,0.635,0.6303,0.8647,54.5,55.1,1
Plant_A-00009,Plant_A,143.4,2.91,121.1,0.96,0.526,0.5296,0.8468,44.85,65.6,1
Plant_A-00010,Plant_A,195.1,5.33,149.3,2.31,1.529,0.7745,0.8707,67.43,73.0,1
Plant_A-00011,Plant_A,150.6,1.73,62.7,1.36,1.608,0.6924,0.8545,59.16,52.1,1
Plant_A-00012,Plant_A,181.3,5.49,70.5,1.69,0.892,0.7766,0.868,67.4,55.4,1
Plant_A-00013,Plant_A,169.6,1.97,98.7,2.97,0.571,0.6452,0.8735,56.35,61.6,1
Plant_A-00014,Plant_A,154.1,8.65,130.2,3.46,1.036,0.7131,0.8327,59.38,66.8,1
Plant_A-00015,Plant_A,193.5,5.93,73.8,1.05,1.318,0.8139,0.8806,71.68,58.7,1
Plant_A-00016,Plant_A,146.4,8.01,135.0,0.73,1.738,0.7275,0.7995,58.16,67.6,1
Plant_A-00017,Plant_A,156.7,5.72,94.5,2.65,1.835,0.79,0.8415,66.47,58.6,1
Plant_A-00018,Plant_A,188.2,1.76,120.5,3.84,1.471,0.7509,0.9288,69.75,66.1,1
