sample_id,kamer,positie,onderhoudscyclus,temp_zone1_C,temp_zone2_C,temp_zone3_C,druk_mbar,gasflow_1_sccm,gasflow_2_sccm,vermogen_W,procestijd_min,kamer_vochtigheid_pct,substraat_temp_C,inline_dikte_nm,inline_reflectantie,lab_dikte_nm,lab_uniformiteit_pct,lab_stress_MPa,lab_gemeten
VM-00000,Chamber_B,center,14,201.7,212.6,214.9,4.74,107.4,46.1,497,87.6,1.79,178.3,101.8,0.5008,,,,0
VM-00001,Chamber_A,center,3,192.0,211.7,212.5,4.88,97.2,49.4,511,52.9,1.1,182.0,108.7,0.4995,,,,0
VM-00002,Chamber_C,edge,15,210.2,208.5,220.9,4.67,92.2,50.8,509,75.4,1.57,183.2,96.5,0.4938,97.98,93.7,38.8,1
VM-00003,Chamber_A,center,43,203.8,218.1,209.5,4.89,91.9,50.4,493,79.0,2.17,185.6,91.9,0.4923,,,,0
VM-00004,Chamber_A,edge,36,196.2,205.4,216.8,5.04,107.7,50.8,535,95.0,2.53,182.5,99.1,0.4988,,,,0
VM-00005,Chamber_C,corner,1,189.7,208.3,223.7,4.74,100.3,54.1,505,99.5,1.91,182.9,103.8,0.4962,,,,0
VM-00006,Chamber_B,corner,29,199.7,195.5,222.4,5.43,98.3,48.7,507,38.0,1.55,181.3,86.2,0.4837,,,,0
VM-00007,Chamber_B,center,42,201.6,202.9,229.1,5.13,93.4,50.3,514,41.4,1.25,181.8,98.0,0.4687,,,,0
VM-00008,Chamber_B,edge,41,197.4,204.3,220.9,5.2,92.4,51.8,533,96.5,2.2,177.4,99.5,0.545,,,,0
VM-00009,Chamber_B,center,13,194.9,211.0,220.8,5.2,102.7,46.7,462,39.8,3.09,179.4,100.4,0.4928,,,,0
VM-00010,Chamber_C,edge,26,207.8,209.0,221.9,5.31,95.0,49.1,521,111.0,1.65,179.9,105.0,0.5015,,,,0
VM-00011,Chamber_A,center,4,204.9,212.8,221.8,4.94,97.4,51.1,464,34.7,1.48,176.4,98.2,0.5066,,,,0
VM-00012,Chamber_C,center,17,201.2,207.4,214.7,5.16,88.8,47.0,485,114.6,1.53,177.7,95.9,0.5048,,,,0
VM-00013,Chamber_A,corner,22,189.0,213.7,216.9,5.27,100.4,48.4,500,89.7,2.25,182.9,95.7,0.5092,,,,0
VM-00014,Chamber_A,edge,39,207.1,203.1,209.6,4.53,104.9,46.8,490,50.6,2.63,176.8,98.7,0.4964,,,,0
VM-00015,Chamber_B,center,9,195.0,212.2,225.1,4.56,102.9,50.2,512,86.6,1.74,182.1,89.4,0.5167,,,,0
VM-00016,Chamber_C,corner,32,198.3,217.4,221.1,5.19,97.6,48.1,519,104.1,2.05,176.2,106.7,0.5059,,,,0
VM-00017,Chamber_C,corner,4,192.6,220.0,218.2,5.06,95.3,44.2,510,80.7,2.13,185.6,111.6,0.4963,102.5,91.8,58.1,1
VM-00018,Chamber_C,edge,11,197.8,206.8,218.4,4.54,95.4,48.9,497,37.7,1.67,178.9,104.2,0.4738,,,,0
VM-00019,Chamber_C,edge,12,202.1,210.0,218.3,5.04,95.1,50.9,497,82.7,2.03,176.6,99.4,0.4885,,,,0
VM-00020,Chamber_C,edge,18,199.7,205.3,215.2,4.82,100.7,53.0,464,81.5,1.95,179.1,103.3,0.4859,,,,0
VM-00021,Chamber_B,edge,30,205.3,208.4,218.5,4.68,104.5,52.9,491,54.8,1.35,173.5,97.7,0.4875,,,,0
VM-00022,Chamber_B,edge,42,202.9,194.3,218.9,5.34,99.8,49.3,536,67.8,1.79,181.4,91.7,0.471,,,,0
VM-00023,Chamber_A,center,33,194.6,209.2,218.9,4.87,98.3,50.3,497,116.6,1.97,177.1,108.0,0.4983,102.05,93.5,51.9,1
VM-00024,Chamber_C,center,14,194.3,207.7,222.4,5.03,103.0,51.4,541,97.8,1.31,180.0,95.7,0.5076,,,,0
VM-00025,Chamber_C,edge,7,206.5,201.4,218.5,5.42,97.2,57.1,452,91.4,2.52,180.8,92.1,0.4999,,,,0
VM-00026,Chamber_B,edge,27,202.6,207.1,220.5,5.31,99.5,52.7,462,57.3,1.68,179.3,85.7,0.5058,,,,0
VM-00027,Chamber_C,center,2,201.7,214.0,214.7,4.87,105.0,51.6,516,66.3,2.28,179.7,104.2,0.4956,,,,0
VM-00028,Chamber_B,center,16,200.8,211.3,220.0,5.24,106.4,52.4,487,80.5,1.7,173.8,94.9,0.5116,,,,0
VM-00029,Chamber_C,corner,34,200.9,208.8,219.8,5.14,103.1,53.7,497,69.6,1.92,185.9,104.3,0.5053,,,,0
VM-00030,Chamber_C,edge,17,196.8,211.7,222.7,5.22,96.3,51.0,476,119.2,2.03,177.1,104.3,0.513,,,,0
VM-00031,Chamber_A,center,23,198.3,202.3,213.0,5.17,95.7,54.6,504,34.6,2.27,176.5,84.9,0.4677,93.65,93.4,42.6,1
VM-00032,Chamber_C,corner,37,197.0,214.0,219.6,5.22,100.3,53.1,540,76.0,2.92,182.3,102.4,0.5071,,,,0
VM-00033,Chamber_A,edge,10,197.1,212.1,224.0,4.91,103.0,54.0,525,52.5,1.81,179.3,101.7,0.4922,,,,0
VM-00034,Chamber_C,edge,16,201.4,217.9,221.2,5.02,98.5,52.4,486,54.9,2.41,169.2,102.7,0.5196,,,,0
VM-00035,Chamber_B,center,46,202.7,209.1,226.2,4.87,102.1,60.1,489,36.8,1.72,175.6,97.4,0.4974,,,,0
VM-00036,Chamber_B,center,18,199.9,212.8,232.3,5.14,96.9,51.0,527,49.8,1.79,184.5,109.9,0.4966,,,,0
VM-00037,Chamber_A,center,39,201.0,209.6,221.5,5.36,108.1,50.5,515,89.3,1.78,181.0,94.7,0.487,,,,0
VM-00038,Chamber_A,edge,16,197.1,212.8,209.1,5.27,102.9,54.1,522,105.9,2.45,179.9,99.9,0.5212,,,,0
VM-00039,Chamber_A,center,13,193.3,207.8,217.3,4.67,98.1,47.7,491,82.7,2.06,177.5,103.7,0.5083,101.14,93.4,42.3,1
VM-00040,Chamber_C,edge,28,206.7,211.1,214.7,5.35,95.5,51.6,523,48.0,0.99,177.7,103.2,0.4956,,,,0
VM-00041,Chamber_A,edge,25,189.2,215.0,226.6,5.1,102.5,48.1,516,40.4,2.44,180.9,94.0,0.5012,,,,0
VM-00042,Chamber_A,edge,19,211.7,212.9,210.3,5.01,103.0,47.1,436,80.7,2.46,182.0,87.8,0.4643,,,,0
VM-00043,Chamber_B,edge,44,199.3,215.3,228.4,5.44,102.8,45.0,491,104.3,1.99,184.0,99.8,0.5076,,,,0
VM-00044,Chamber_A,edge,22,211.5,215.1,217.2,5.16,104.0,46.1,498,44.6,2.38,179.8,93.3,0.4964,,,,0
VM-00045,Chamber_B,center,33,207.9,214.3,227.1,4.9,94.4,52.7,529,31.9,1.71,179.1,98.3,0.4921,,,,0
VM-00046,Chamber_B,center,3,198.9,212.7,218.2,4.95,106.7,50.4,488,78.1,1.65,181.1,113.4,0.494,,,,0
VM-00047,Chamber_A,corner,19,193.8,209.0,219.2,4.97,100.3,41.8,502,52.8,3.12,178.3,99.2,0.5109,,,,0
VM-00048,Chamber_C,center,11,201.8,203.8,221.8,4.76,100.2,56.1,497,47.1,2.71,184.0,98.3,0.4807,,,,0
VM-00049,Chamber_A,center,42,199.8,216.4,228.9,5.12,103.5,50.7,483,97.6,1.57,180.2,106.9,0.4935,106.29,92.5,76.6,1
VM-00050,Chamber_B,corner,20,210.9,204.2,220.4,4.89,96.0,49.3,515,52.5,2.48,176.9,97.6,0.5114,,,,0
VM-00051,Chamber_B,corner,6,199.8,212.2,223.6,4.88,96.8,48.6,454,118.3,2.17,177.4,104.5,0.5105,,,,0
VM-00052,Chamber_C,center,10,200.0,202.3,227.2,4.93,95.9,57.8,494,53.2,2.18,181.3,92.9,0.4777,91.05,93.3,30.6,1
VM-00053,Chamber_A,edge,44,208.6,218.7,221.1,4.96,102.6,51.9,489,108.6,1.82,182.4,99.1,0.5216,,,,0
VM-00054,Chamber_B,center,25,200.4,213.6,217.4,5.05,103.5,51.9,487,106.1,2.14,182.4,107.8,0.5157,,,,0
VM-00055,Chamber_B,center,18,197.0,208.2,212.3,4.69,100.6,45.7,508,52.1,2.33,179.3,98.1,0.5023,,,,0
VM-00056,Chamber_C,center,41,204.0,206.6,224.9,5.33,98.1,51.0,528,41.0,3.19,176.4,95.8,0.4779,,,,0
VM-00057,Chamber_C,edge,45,203.1,210.7,214.6,5.03,101.5,53.2,510,105.5,2.03,182.1,97.8,0.5178,,,,0
VM-00058,Chamber_C,edge,42,210.3,212.0,225.2,4.88,102.0,50.9,522,112.2,2.75,176.5,95.6,0.4888,,,,0
VM-00059,Chamber_B,edge,20,204.9,205.1,219.2,4.38,88.1,50.3,509,45.0,1.48,183.1,95.6,0.5105,,,,0
VM-00060,Chamber_A,edge,34,194.8,217.1,218.2,4.19,94.1,50.0,488,101.9,3.08,175.5,112.3,0.4793,,,,0
VM-00061,Chamber_A,center,30,198.0,198.2,212.7,4.78,95.8,50.4,511,91.7,2.83,185.8,88.3,0.4773,,,,0
VM-00062,Chamber_A,edge,29,195.2,209.0,218.6,4.67,98.8,48.0,518,87.2,1.49,176.7,96.1,0.5095,,,,0
VM-00063,Chamber_B,edge,16,200.2,219.1,211.9,5.65,102.9,48.4,493,57.3,2.05,177.8,109.5,0.4936,,,,0
VM-00064,Chamber_B,edge,13,200.1,211.7,215.8,4.83,96.9,52.1,534,112.7,1.56,181.8,109.9,0.5024,104.17,93.1,45.1,1
VM-00065,Chamber_C,center,29,193.8,215.8,215.7,4.91,104.3,46.1,534,85.9,1.98,181.3,103.6,0.5029,,,,0
VM-00066,Chamber_C,center,6,203.9,217.3,218.8,4.78,99.3,49.8,538,36.5,3.57,175.2,112.3,0.4998,,,,0
VM-00067,Chamber_B,center,4,203.6,210.0,214.8,4.67,101.7,49.8,493,73.7,2.55,182.3,94.8,0.493,,,,0
VM-00068,Chamber_C,edge,44,205.9,202.9,214.8,5.28,100.7,49.7,506,84.9,2.62,181.0,98.4,0.4888,,,,0
VM-00069,Chamber_C,edge,37,200.8,215.1,227.0,4.92,100.7,49.2,497,73.6,1.57,179.7,106.0,0.492,,,,0
VM-00070,Chamber_C,corner,31,205.4,209.6,227.7,5.05,104.8,48.9,523,87.3,2.64,179.5,101.6,0.5077,,,,0
VM-00071,Chamber_A,center,4,208.4,206.2,219.3,4.88,102.4,52.8,483,50.7,1.75,183.2,88.2,0.5164,,,,0
VM-00072,Chamber_C,corner,27,202.9,213.3,219.8,4.63,93.6,42.2,516,82.3,2.95,180.7,100.1,0.4867,,,,0
VM-00073,Chamber_C,center,7,199.6,198.5,227.7,4.87,104.9,53.1,503,49.8,1.89,180.2,90.2,0.4863,,,,0
VM-00074,Chamber_C,center,33,200.0,210.7,215.6,4.99,95.4,53.2,511,105.5,1.73,176.3,95.4,0.4935,98.33,94.3,50.6,1
VM-00075,Chamber_B,corner,40,202.2,211.9,218.9,4.75,98.9,51.4,498,53.3,1.54,184.3,102.3,0.5081,,,,0
VM-00076,Chamber_C,edge,18,203.3,199.6,212.4,5.38,107.1,48.2,487,89.3,2.01,181.9,89.0,0.4797,,,,0
VM-00077,Chamber_B,edge,28,206.8,210.0,217.0,5.19,97.6,49.6,504,58.8,2.67,174.7,102.4,0.5039,,,,0
VM-00078,Chamber_B,center,36,197.9,214.5,227.7,5.11,100.0,48.5,494,112.0,2.0,179.6,106.8,0.5047,,,,0
VM-00079,Chamber_C,center,2,192.7,200.5,224.4,4.94,104.5,52.6,512,107.2,2.02,181.9,94.5,0.4966,,,,0
VM-00080,Chamber_C,corner,10,200.2,211.7,214.9,5.02,88.2,49.6,507,78.3,2.72,181.4,99.9,0.5036,,,,0
VM-00081,Chamber_B,center,43,200.2,211.4,231.6,4.64,99.1,44.1,474,32.0,1.42,182.2,109.4,0.4953,,,,0
VM-00082,Chamber_A,center,15,191.3,209.7,212.6,4.71,106.3,50.1,519,53.4,2.25,180.6,100.4,0.4963,,,,0
VM-00083,Chamber_B,edge,48,206.9,210.1,212.7,5.1,100.6,50.2,479,42.1,0.51,177.3,106.7,0.5094,103.87,94.5,45.6,1
VM-00084,Chamber_B,center,33,202.2,212.0,220.9,4.99,107.9,52.3,507,52.1,2.48,179.5,104.9,0.5065,,,,0
VM-00085,Chamber_A,corner,25,200.6,206.6,215.2,5.35,101.0,51.5,479,43.9,1.72,183.4,91.7,0.4883,,,,0
VM-00086,Chamber_A,edge,46,193.4,206.2,216.1,5.33,95.2,48.7,485,68.8,1.49,181.4,103.6,0.5027,,,,0
VM-00087,Chamber_C,center,23,203.7,213.1,227.9,5.26,96.2,45.4,519,97.6,2.51,176.4,112.1,0.4918,,,,0
VM-00088,Chamber_B,center,27,202.2,205.0,217.2,5.1,102.3,49.1,489,76.8,0.76,182.1,99.8,0.4929,,,,0
VM-00089,Chamber_B,center,28,201.0,213.4,225.1,4.91,99.5,52.2,515,65.3,3.14,183.9,104.7,0.5011,,,,0
VM-00090,Chamber_B,edge,45,190.7,212.4,219.6,4.87,96.9,48.6,499,75.0,1.84,184.3,100.1,0.5096,104.41,90.4,53.0,1
VM-00091,Chamber_C,center,39,198.6,209.3,213.3,5.13,106.0,49.1,508,52.5,1.5,175.3,95.3,0.4842,,,,0
VM-00092,Chamber_B,edge,6,205.6,206.2,231.0,4.97,101.2,53.3,496,46.3,1.8,184.1,94.0,0.4981,,,,0
VM-00093,Chamber_B,edge,3,203.3,208.6,213.7,5.3,95.2,48.7,497,32.9,2.1,180.8,109.2,0.4918,98.11,93.6,41.1,1
VM-00094,Chamber_A,center,38,198.7,205.9,219.9,4.57,109.1,56.6,503,68.8,1.75,182.4,96.1,0.4978,,,,0
VM-00095,Chamber_C,center,31,195.3,210.8,218.1,4.9,96.4,47.6,535,107.0,2.06,177.1,98.9,0.5047,,,,0
