datum,dag_sinds_reiniging,hot_inlet_C,hot_outlet_C,hot_flow_m3h,cold_inlet_C,cold_outlet_C,cold_flow_m3h,drukval_hot_bar,drukval_cold_bar,U_actueel_Wm2K,effectiviteit,fouling_factor,onderhoudsstatus
2025-01-01 00:00,0,153.6,73.9,45.0,20.5,86.2,57.4,0.483,0.37,500.0,0.599,0.0,ok
2025-01-01 01:00,0,153.5,76.0,47.5,21.5,85.8,60.5,0.516,0.418,428.5,0.587,0.00033,ok
2025-01-01 02:00,0,151.1,71.5,51.4,18.7,85.4,52.5,0.525,0.398,500.0,0.601,0.0,ok
2025-01-01 03:00,0,151.7,73.3,52.1,18.7,84.6,69.8,0.479,0.419,444.8,0.589,0.00025,ok
2025-01-01 04:00,0,150.6,71.9,53.3,19.4,84.1,66.3,0.539,0.381,500.0,0.599,0.0,ok
2025-01-01 05:00,0,155.3,74.3,52.3,20.7,87.7,61.5,0.5,0.384,500.0,0.602,0.0,ok
2025-01-01 06:00,0,155.3,83.7,50.9,20.7,79.4,57.1,0.536,0.414,297.5,0.532,0.00136,ok
2025-01-01 07:00,0,150.8,71.3,47.9,19.5,84.7,66.1,0.546,0.431,500.0,0.606,0.0,ok
2025-01-01 08:00,0,147.6,85.8,49.1,19.4,71.4,57.5,0.579,0.499,224.1,0.482,0.00246,waarschuwing
2025-01-01 09:00,0,150.9,90.5,48.4,19.9,70.3,62.2,0.599,0.435,202.0,0.461,0.00295,waarschuwing
2025-01-01 10:00,0,148.7,77.0,54.2,19.1,78.3,60.0,0.517,0.394,349.4,0.553,0.00086,ok
2025-01-01 11:00,0,152.4,73.8,53.7,20.8,86.8,62.8,0.518,0.402,500.0,0.597,0.0,ok
2025-01-01 12:00,0,150.7,97.3,49.7,21.5,65.4,64.9,0.673,0.477,152.3,0.413,0.00457,gepland
2025-01-01 13:00,0,151.4,85.6,56.5,19.8,74.7,52.8,0.571,0.433,250.1,0.501,0.002,ok
2025-01-01 14:00,0,153.9,94.3,48.7,21.8,71.0,58.6,0.59,0.468,187.3,0.451,0.00334,gepland
2025-01-01 15:00,0,148.2,71.0,46.7,20.5,84.2,48.3,0.51,0.399,500.0,0.605,0.0,ok
2025-01-01 16:00,0,149.6,71.1,49.3,20.2,84.7,57.5,0.49,0.408,500.0,0.607,0.0,ok
2025-01-01 17:00,0,149.6,70.9,55.7,19.3,84.6,57.4,0.499,0.426,500.0,0.604,0.0,ok
2025-01-01 18:00,0,151.3,72.9,52.0,20.0,85.4,57.0,0.476,0.41,500.0,0.597,0.0,ok
2025-01-01 19:00,0,147.4,71.5,50.3,21.1,83.6,65.5,0.485,0.412,500.0,0.601,0.0,ok
2025-01-01 20:00,0,147.1,70.3,55.2,19.4,83.3,57.0,0.516,0.391,500.0,0.602,0.0,ok
2025-01-01 21:00,0,152.3,79.1,51.5,19.2,80.9,61.4,0.513,0.439,337.8,0.55,0.00096,ok
2025-01-01 22:00,0,149.7,87.9,47.6,20.3,72.3,61.1,0.576,0.449,221.8,0.477,0.00251,waarschuwing
2025-01-01 23:00,0,148.4,72.0,50.6,18.7,82.6,57.9,0.512,0.415,459.1,0.589,0.00018,ok
2025-01-02 00:00,1,150.9,91.5,48.8,21.0,70.1,63.3,0.554,0.438,191.2,0.457,0.00323,gepland
2025-01-02 01:00,1,147.7,71.8,44.6,20.4,84.8,59.3,0.495,0.405,500.0,0.596,0.0,ok
2025-01-02 02:00,1,150.2,83.2,54.1,19.1,74.4,57.2,0.574,0.445,271.7,0.511,0.00168,ok
2025-01-02 03:00,1,148.7,95.2,52.6,19.1,64.6,58.3,0.64,0.488,156.2,0.413,0.0044,gepland
2025-01-02 04:00,1,151.5,72.6,50.0,21.0,85.5,61.2,0.502,0.377,500.0,0.605,0.0,ok
2025-01-02 05:00,1,150.4,78.8,51.2,20.3,79.5,57.7,0.525,0.42,338.8,0.55,0.00095,ok
2025-01-02 06:00,1,148.2,71.9,48.8,19.9,84.5,63.5,0.479,0.403,500.0,0.594,0.0,ok
2025-01-02 07:00,1,150.7,76.0,49.2,20.2,82.7,67.3,0.526,0.385,397.1,0.573,0.00052,ok
2025-01-02 08:00,1,150.6,72.9,51.7,21.3,85.9,62.1,0.474,0.365,500.0,0.601,0.0,ok
2025-01-02 09:00,1,147.0,71.1,52.2,21.6,84.4,57.6,0.485,0.384,500.0,0.605,0.0,ok
2025-01-02 10:00,1,150.6,99.6,46.7,19.3,60.8,54.4,0.695,0.487,131.1,0.388,0.00563,gepland
2025-01-02 11:00,1,149.5,76.9,47.1,20.6,80.4,64.5,0.517,0.437,371.4,0.564,0.00069,ok
2025-01-02 12:00,1,147.2,82.2,50.0,20.2,75.3,59.2,0.551,0.441,280.6,0.512,0.00156,ok
2025-01-02 13:00,1,150.4,84.1,52.1,21.1,75.0,62.2,0.542,0.425,253.7,0.513,0.00194,ok
2025-01-02 14:00,1,153.3,73.1,45.4,18.1,85.6,55.8,0.511,0.386,500.0,0.593,0.0,ok
2025-01-02 15:00,1,152.0,78.9,51.4,18.0,78.5,57.9,0.531,0.405,322.0,0.545,0.00111,ok
2025-01-02 16:00,1,149.3,71.1,48.8,19.1,83.7,57.1,0.495,0.386,496.8,0.6,1e-05,ok
2025-01-02 17:00,1,151.0,83.8,48.3,21.4,77.1,63.7,0.561,0.418,282.9,0.519,0.00153,ok
2025-01-02 18:00,1,152.2,79.6,49.9,20.3,80.1,51.9,0.518,0.445,344.1,0.551,0.00091,ok
2025-01-02 19:00,1,150.0,103.5,50.4,20.0,59.5,59.4,0.714,0.524,115.7,0.357,0.00664,gepland
2025-01-02 20:00,1,147.0,77.1,46.8,19.9,79.0,62.2,0.562,0.408,342.0,0.55,0.00092,ok
2025-01-02 21:00,1,152.1,87.1,46.0,18.9,72.1,60.6,0.612,0.456,226.4,0.488,0.00242,waarschuwing
2025-01-02 22:00,1,149.3,78.5,47.6,19.7,78.5,63.2,0.543,0.433,330.2,0.546,0.00103,ok
2025-01-02 23:00,1,150.3,72.4,54.1,20.4,86.4,60.6,0.479,0.399,500.0,0.6,0.0,ok
2025-01-03 00:00,2,149.6,86.8,54.1,18.9,71.3,55.9,0.575,0.443,225.8,0.481,0.00243,waarschuwing
2025-01-03 01:00,2,152.5,79.6,53.1,20.0,81.0,62.9,0.534,0.424,336.7,0.55,0.00097,ok
2025-01-03 02:00,2,153.7,89.2,47.4,20.1,75.4,51.3,0.556,0.45,229.2,0.483,0.00236,waarschuwing
2025-01-03 03:00,2,148.8,73.7,49.5,19.7,82.7,57.6,0.492,0.412,442.3,0.581,0.00026,ok
2025-01-03 04:00,2,151.0,79.8,50.9,21.2,79.0,59.2,0.494,0.443,328.7,0.549,0.00104,ok
2025-01-03 05:00,2,151.3,84.7,43.3,20.6,76.1,56.7,0.556,0.402,260.4,0.51,0.00184,ok
2025-01-03 06:00,2,146.7,70.2,44.7,20.8,83.1,56.5,0.491,0.395,500.0,0.608,0.0,ok
2025-01-03 07:00,2,150.4,85.9,44.2,21.2,76.0,62.0,0.535,0.423,265.4,0.499,0.00177,ok
2025-01-03 08:00,2,149.0,75.3,55.4,20.7,82.1,61.4,0.494,0.432,397.5,0.574,0.00052,ok
2025-01-03 09:00,2,150.4,75.5,51.4,21.2,82.8,62.5,0.481,0.393,406.2,0.58,0.00046,ok
2025-01-03 10:00,2,145.4,69.7,50.5,18.6,81.3,61.0,0.511,0.413,500.0,0.597,0.0,ok
2025-01-03 11:00,2,147.9,72.8,47.7,21.7,84.3,60.5,0.487,0.406,500.0,0.595,0.0,ok
2025-01-03 12:00,2,151.5,90.0,49.2,20.2,71.0,58.5,0.563,0.445,199.4,0.468,0.00301,gepland
2025-01-03 13:00,2,151.4,79.7,51.7,20.1,79.5,63.8,0.493,0.394,337.8,0.546,0.00096,ok
2025-01-03 14:00,2,147.1,85.0,48.7,21.0,71.3,68.3,0.58,0.453,230.5,0.492,0.00234,waarschuwing
2025-01-03 15:00,2,155.2,77.0,51.3,21.7,86.3,62.0,0.52,0.434,424.6,0.586,0.00036,ok
2025-01-03 16:00,2,152.6,80.4,48.1,20.3,80.5,66.1,0.503,0.417,331.3,0.546,0.00102,ok
2025-01-03 17:00,2,148.4,87.2,51.2,18.6,69.4,56.9,0.584,0.45,207.4,0.471,0.00282,waarschuwing
2025-01-03 18:00,2,147.1,81.0,52.8,20.2,75.1,58.7,0.527,0.416,279.8,0.521,0.00157,ok
2025-01-03 19:00,2,146.7,71.4,52.6,19.8,83.7,63.5,0.468,0.393,500.0,0.594,0.0,ok
2025-01-03 20:00,2,148.4,73.3,50.8,20.3,82.8,63.3,0.531,0.429,453.0,0.586,0.00021,ok
2025-01-03 21:00,2,149.8,82.0,46.8,19.6,75.5,61.8,0.569,0.432,281.7,0.52,0.00155,ok
2025-01-03 22:00,2,147.9,90.4,49.2,20.0,68.3,58.8,0.609,0.459,189.3,0.45,0.00328,gepland
2025-01-03 23:00,2,150.5,73.5,45.7,20.9,84.5,62.2,0.484,0.428,479.6,0.594,9e-05,ok
2025-01-04 00:00,3,153.1,74.7,51.9,22.7,87.9,55.5,0.494,0.408,500.0,0.601,0.0,ok
2025-01-04 01:00,3,154.3,104.4,50.5,22.4,63.5,60.9,0.713,0.517,125.4,0.378,0.00598,gepland
